cell_type,annotation_level,ontology_id,sex,race,count,percentage
Afferent / Efferent Arteriole Endothelial,kidney_l3,CL_1001096,M,W,6,0.166945
B,kidney_l3,CL_0000785,M,W,3,0.083472
Connecting Tubule,kidney_l3,CL_1000768,M,W,198,5.509182
Connecting Tubule Intercalated Type A,kidney_l3,CL_0005011,M,W,4,0.111297
Connecting Tubule Principal,kidney_l3,CL_1001431,M,W,123,3.422371
Cortical Collecting Duct Intercalated Type A,kidney_l3,CL_0005011,M,W,228,6.343907
Cortical Collecting Duct Principal,kidney_l3,CL_1001431,M,W,96,2.671119
Cortical Thick Ascending Limb,kidney_l3,,M,W,371,10.322760
Cortical Vascular Smooth Muscle / Pericyte,kidney_l3,CL_0000359,M,W,6,0.166945
Descending Vasa Recta Endothelial ,kidney_l3,CL_1001285,M,W,2,0.055648
Distal Convoluted Tubule Type 1,kidney_l3,CL_1000849,M,W,696,19.365609
Distal Convoluted Tubule Type 2,kidney_l3,CL_1000849,M,W,52,1.446856
Fibroblast,kidney_l3,CL_0000057,M,W,49,1.363383
Glomerular Capillary Endothelial,kidney_l3,CL_1001005,M,W,62,1.725097
Intercalated Type B,kidney_l3,CL_0002201,M,W,111,3.088481
Lymphatic Endothelial,kidney_l3,CL_0002138,M,W,1,0.027824
Macula Densa,kidney_l3,CL_1000850,M,W,21,0.584307
Mast,kidney_l3,CL_0000097,M,W,1,0.027824
Medullary Thick Ascending Limb,kidney_l3,CL_1001108,M,W,3,0.083472
Mesangial,kidney_l3,CL_0000650,M,W,7,0.194769
Monocyte,kidney_l3,,M,W,2,0.055648
Monocyte-derived,kidney_l3,CL_0000576,M,W,26,0.723428
Natural Killer / Natural Killer T,kidney_l3,,M,W,12,0.333890
Neutrophil,kidney_l3,CL_0000775,M,W,2,0.055648
Outer Medullary Collecting Duct Intercalated Type A,kidney_l3,CL_1000717,M,W,2,0.055648
Parietal Epithelial,kidney_l3,CL_1000452,M,W,95,2.643294
Peritubular Capilary Endothelial ,kidney_l3,CL_1001033,M,W,126,3.505843
Plasma,kidney_l3,CL_0000786,M,W,3,0.083472
Plasmacytoid Dendritic,kidney_l3,CL_0000784,M,W,1,0.027824
Podocyte,kidney_l3,CL_0000653,M,W,88,2.448525
Proximal Tubule Epithelial Segment 1,kidney_l3,CL_0002306,M,W,653,18.169171
Proximal Tubule Epithelial Segment 2,kidney_l3,CL_0002306,M,W,195,5.425710
Proximal Tubule Epithelial Segment 3,kidney_l3,CL_0002306,M,W,265,7.373400
Renin-positive Juxtaglomerular Granular,kidney_l3,CL_0000648,M,W,3,0.083472
Schwann / Neural,kidney_l3,CL_0002573,M,W,1,0.027824
T,kidney_l3,CL_000084,M,W,34,0.946021
Tissue-resident Macrophage,kidney_l3,,M,W,39,1.085142
Vascular Smooth Muscle / Pericyte,kidney_l3,CL_0000359,M,W,7,0.194769
