cell_type,annotation_level,ontology_id,sex,race,count,percentage
Afferent / Efferent Arteriole Endothelial,kidney_l3,CL_1001096,M,W,50,0.386967
Ascending Thin Limb,kidney_l3,CL_1001107,M,W,3,0.023218
Ascending Vasa Recta Endothelial,kidney_l3,CL_1001131,M,W,20,0.154787
B,kidney_l3,CL_0000785,M,W,244,1.888399
Classical Dendritic,kidney_l3,CL_0000451,M,W,29,0.224441
Connecting Tubule,kidney_l3,CL_1000768,M,W,913,7.066017
Connecting Tubule Intercalated Type A,kidney_l3,CL_0005011,M,W,26,0.201223
Connecting Tubule Principal,kidney_l3,CL_1001431,M,W,301,2.329541
Cortical Collecting Duct Intercalated Type A,kidney_l3,CL_0005011,M,W,1030,7.971519
Cortical Collecting Duct Principal,kidney_l3,CL_1001431,M,W,621,4.806130
Cortical Thick Ascending Limb,kidney_l3,,M,W,1409,10.904729
Cortical Vascular Smooth Muscle / Pericyte,kidney_l3,CL_0000359,M,W,121,0.936460
Cycling Mononuclear Phagocyte,kidney_l3,CL_0000113,M,W,13,0.100611
Descending Thin Limb Type 1,kidney_l3,CL_1001111,M,W,14,0.108351
Descending Thin Limb Type 2,kidney_l3,CL_1001111,M,W,7,0.054175
Descending Vasa Recta Endothelial ,kidney_l3,CL_1001285,M,W,59,0.456621
Distal Convoluted Tubule Type 1,kidney_l3,CL_1000849,M,W,882,6.826097
Distal Convoluted Tubule Type 2,kidney_l3,CL_1000849,M,W,108,0.835849
Fibroblast,kidney_l3,CL_0000057,M,W,532,4.117328
Glomerular Capillary Endothelial,kidney_l3,CL_1001005,M,W,290,2.244408
Inner Medullary Collecting Duct,kidney_l3,CL_1000547,M,W,1,0.007739
Intercalated Type B,kidney_l3,CL_0002201,M,W,221,1.710394
Lymphatic Endothelial,kidney_l3,CL_0002138,M,W,29,0.224441
Macula Densa,kidney_l3,CL_1000850,M,W,724,5.603281
Mast,kidney_l3,CL_0000097,M,W,27,0.208962
Medullary Fibroblast,kidney_l3,CL_0000057,M,W,2,0.015479
Medullary Thick Ascending Limb,kidney_l3,CL_1001108,M,W,43,0.332792
Mesangial,kidney_l3,CL_0000650,M,W,55,0.425664
Monocyte,kidney_l3,,M,W,41,0.317313
Monocyte-derived,kidney_l3,CL_0000576,M,W,279,2.159276
Natural Killer / Natural Killer T,kidney_l3,,M,W,30,0.232180
Neutrophil,kidney_l3,CL_0000775,M,W,25,0.193483
Outer Medullary Collecting Duct Intercalated Type A,kidney_l3,CL_1000717,M,W,9,0.069654
Outer Medullary Collecting Duct Principal,kidney_l3,CL_1000716,M,W,3,0.023218
Papillary Tip Epithelial,kidney_l3,CL_1000597,M,W,2,0.015479
Parietal Epithelial,kidney_l3,CL_1000452,M,W,110,0.851327
Peritubular Capilary Endothelial ,kidney_l3,CL_1001033,M,W,460,3.560096
Plasma,kidney_l3,CL_0000786,M,W,50,0.386967
Plasmacytoid Dendritic,kidney_l3,CL_0000784,M,W,17,0.131569
Podocyte,kidney_l3,CL_0000653,M,W,288,2.228930
Proximal Tubule Epithelial Segment 1,kidney_l3,CL_0002306,M,W,1600,12.382942
Proximal Tubule Epithelial Segment 2,kidney_l3,CL_0002306,M,W,752,5.819983
Proximal Tubule Epithelial Segment 3,kidney_l3,CL_0002306,M,W,628,4.860305
Renin-positive Juxtaglomerular Granular,kidney_l3,CL_0000648,M,W,6,0.046436
Schwann / Neural,kidney_l3,CL_0002573,M,W,13,0.100611
T,kidney_l3,CL_000084,M,W,523,4.047674
Tissue-resident Macrophage,kidney_l3,,M,W,255,1.973531
Vascular Smooth Muscle / Pericyte,kidney_l3,CL_0000359,M,W,56,0.433403
