cell_type,annotation_level,ontology_id,sex,race,count,percentage
Afferent / Efferent Arteriole Endothelial,kidney_l3,CL_1001096,F,W,70,1.256507
Ascending Thin Limb,kidney_l3,CL_1001107,F,W,541,9.711003
Ascending Vasa Recta Endothelial,kidney_l3,CL_1001131,F,W,489,8.777598
B,kidney_l3,CL_0000785,F,W,2,0.035900
Connecting Tubule,kidney_l3,CL_1000768,F,W,1,0.017950
Connecting Tubule Principal,kidney_l3,CL_1001431,F,W,5,0.089750
Cortical Collecting Duct Intercalated Type A,kidney_l3,CL_0005011,F,W,2,0.035900
Cortical Collecting Duct Principal,kidney_l3,CL_1001431,F,W,5,0.089750
Cortical Thick Ascending Limb,kidney_l3,,F,W,3,0.053850
Cortical Vascular Smooth Muscle / Pericyte,kidney_l3,CL_0000359,F,W,1,0.017950
Cycling Mononuclear Phagocyte,kidney_l3,CL_0000113,F,W,8,0.143601
Descending Thin Limb Type 1,kidney_l3,CL_1001111,F,W,30,0.538503
Descending Thin Limb Type 2,kidney_l3,CL_1001111,F,W,26,0.466703
Descending Thin Limb Type 3,kidney_l3,CL_1001111,F,W,341,6.120984
Descending Vasa Recta Endothelial ,kidney_l3,CL_1001285,F,W,442,7.933944
Fibroblast,kidney_l3,CL_0000057,F,W,4,0.071800
Glomerular Capillary Endothelial,kidney_l3,CL_1001005,F,W,2,0.035900
Inner Medullary Collecting Duct,kidney_l3,CL_1000547,F,W,1167,20.947765
Lymphatic Endothelial,kidney_l3,CL_0002138,F,W,1,0.017950
Mast,kidney_l3,CL_0000097,F,W,7,0.125651
Medullary Fibroblast,kidney_l3,CL_0000057,F,W,1289,23.137677
Medullary Thick Ascending Limb,kidney_l3,CL_1001108,F,W,348,6.246634
Monocyte,kidney_l3,,F,W,4,0.071800
Monocyte-derived,kidney_l3,CL_0000576,F,W,34,0.610303
Natural Killer / Natural Killer T,kidney_l3,,F,W,6,0.107701
Neutrophil,kidney_l3,CL_0000775,F,W,2,0.035900
Outer Medullary Collecting Duct Intercalated Type A,kidney_l3,CL_1000717,F,W,114,2.046311
Outer Medullary Collecting Duct Principal,kidney_l3,CL_1000716,F,W,55,0.987255
Papillary Tip Epithelial,kidney_l3,CL_1000597,F,W,219,3.931072
Parietal Epithelial,kidney_l3,CL_1000452,F,W,1,0.017950
Peritubular Capilary Endothelial ,kidney_l3,CL_1001033,F,W,19,0.341052
Plasma,kidney_l3,CL_0000786,F,W,7,0.125651
Proximal Tubule Epithelial Segment 1,kidney_l3,CL_0002306,F,W,2,0.035900
Proximal Tubule Epithelial Segment 3,kidney_l3,CL_0002306,F,W,2,0.035900
T,kidney_l3,CL_000084,F,W,42,0.753904
Tissue-resident Macrophage,kidney_l3,,F,W,111,1.992461
Vascular Smooth Muscle / Pericyte,kidney_l3,CL_0000359,F,W,169,3.033567
