cell_type,annotation_level,ontology_id,sex,race,count,percentage
Afferent / Efferent Arteriole Endothelial,kidney_l3,CL_1001096,F,W,5,0.125849
Ascending Thin Limb,kidney_l3,CL_1001107,F,W,446,11.225774
Ascending Vasa Recta Endothelial,kidney_l3,CL_1001131,F,W,388,9.765920
Classical Dendritic,kidney_l3,CL_0000451,F,W,1,0.025170
Connecting Tubule,kidney_l3,CL_1000768,F,W,14,0.352379
Connecting Tubule Intercalated Type A,kidney_l3,CL_0005011,F,W,1,0.025170
Connecting Tubule Principal,kidney_l3,CL_1001431,F,W,5,0.125849
Cortical Collecting Duct Intercalated Type A,kidney_l3,CL_0005011,F,W,2,0.050340
Cortical Collecting Duct Principal,kidney_l3,CL_1001431,F,W,10,0.251699
Cortical Thick Ascending Limb,kidney_l3,,F,W,2,0.050340
Cycling Mononuclear Phagocyte,kidney_l3,CL_0000113,F,W,1,0.025170
Descending Thin Limb Type 1,kidney_l3,CL_1001111,F,W,13,0.327209
Descending Thin Limb Type 2,kidney_l3,CL_1001111,F,W,5,0.125849
Descending Thin Limb Type 3,kidney_l3,CL_1001111,F,W,319,8.029197
Descending Vasa Recta Endothelial ,kidney_l3,CL_1001285,F,W,46,1.157815
Inner Medullary Collecting Duct,kidney_l3,CL_1000547,F,W,1893,47.646615
Intercalated Type B,kidney_l3,CL_0002201,F,W,1,0.025170
Lymphatic Endothelial,kidney_l3,CL_0002138,F,W,3,0.075510
Medullary Fibroblast,kidney_l3,CL_0000057,F,W,556,13.994463
Monocyte,kidney_l3,,F,W,5,0.125849
Monocyte-derived,kidney_l3,CL_0000576,F,W,44,1.107475
Natural Killer / Natural Killer T,kidney_l3,,F,W,10,0.251699
Neutrophil,kidney_l3,CL_0000775,F,W,3,0.075510
Outer Medullary Collecting Duct Intercalated Type A,kidney_l3,CL_1000717,F,W,23,0.578908
Outer Medullary Collecting Duct Principal,kidney_l3,CL_1000716,F,W,24,0.604078
Papillary Tip Epithelial,kidney_l3,CL_1000597,F,W,10,0.251699
Peritubular Capilary Endothelial ,kidney_l3,CL_1001033,F,W,9,0.226529
Plasma,kidney_l3,CL_0000786,F,W,1,0.025170
Podocyte,kidney_l3,CL_0000653,F,W,2,0.050340
Proximal Tubule Epithelial Segment 1,kidney_l3,CL_0002306,F,W,1,0.025170
Renin-positive Juxtaglomerular Granular,kidney_l3,CL_0000648,F,W,1,0.025170
Schwann / Neural,kidney_l3,CL_0002573,F,W,2,0.050340
T,kidney_l3,CL_000084,F,W,29,0.729927
Tissue-resident Macrophage,kidney_l3,,F,W,67,1.686383
Vascular Smooth Muscle / Pericyte,kidney_l3,CL_0000359,F,W,31,0.780267
