cell_type,annotation_level,ontology_id,sex,race,count,percentage
Afferent / Efferent Arteriole Endothelial,kidney_l3,CL_1001096,M,W,3,0.186800
Ascending Vasa Recta Endothelial,kidney_l3,CL_1001131,M,W,1,0.062267
Connecting Tubule,kidney_l3,CL_1000768,M,W,112,6.973848
Connecting Tubule Intercalated Type A,kidney_l3,CL_0005011,M,W,2,0.124533
Connecting Tubule Principal,kidney_l3,CL_1001431,M,W,93,5.790785
Cortical Collecting Duct Intercalated Type A,kidney_l3,CL_0005011,M,W,138,8.592777
Cortical Collecting Duct Principal,kidney_l3,CL_1001431,M,W,17,1.058531
Cortical Thick Ascending Limb,kidney_l3,,M,W,36,2.241594
Cortical Vascular Smooth Muscle / Pericyte,kidney_l3,CL_0000359,M,W,3,0.186800
Descending Vasa Recta Endothelial ,kidney_l3,CL_1001285,M,W,1,0.062267
Distal Convoluted Tubule Type 1,kidney_l3,CL_1000849,M,W,379,23.599004
Distal Convoluted Tubule Type 2,kidney_l3,CL_1000849,M,W,12,0.747198
Fibroblast,kidney_l3,CL_0000057,M,W,6,0.373599
Glomerular Capillary Endothelial,kidney_l3,CL_1001005,M,W,3,0.186800
Intercalated Type B,kidney_l3,CL_0002201,M,W,19,1.183064
Macula Densa,kidney_l3,CL_1000850,M,W,4,0.249066
Medullary Thick Ascending Limb,kidney_l3,CL_1001108,M,W,1,0.062267
Monocyte,kidney_l3,,M,W,2,0.124533
Monocyte-derived,kidney_l3,CL_0000576,M,W,2,0.124533
Natural Killer / Natural Killer T,kidney_l3,,M,W,2,0.124533
Outer Medullary Collecting Duct Principal,kidney_l3,CL_1000716,M,W,1,0.062267
Parietal Epithelial,kidney_l3,CL_1000452,M,W,30,1.867995
Peritubular Capilary Endothelial ,kidney_l3,CL_1001033,M,W,63,3.922790
Podocyte,kidney_l3,CL_0000653,M,W,6,0.373599
Proximal Tubule Epithelial Segment 1,kidney_l3,CL_0002306,M,W,491,30.572852
Proximal Tubule Epithelial Segment 2,kidney_l3,CL_0002306,M,W,146,9.090909
Proximal Tubule Epithelial Segment 3,kidney_l3,CL_0002306,M,W,19,1.183064
T,kidney_l3,CL_000084,M,W,5,0.311333
Tissue-resident Macrophage,kidney_l3,,M,W,5,0.311333
Vascular Smooth Muscle / Pericyte,kidney_l3,CL_0000359,M,W,4,0.249066
