cell_type,annotation_level,ontology_id,count,percentage,sex,race
Afferent / Efferent Arteriole Endothelial,kidney_l3,CL_1001096,341,0.527105,HRA,HRA
Ascending Thin Limb,kidney_l3,CL_1001107,1765,2.728270,HRA,HRA
Ascending Vasa Recta Endothelial,kidney_l3,CL_1001131,2527,3.906141,HRA,HRA
B,kidney_l3,CL_0000785,331,0.511647,HRA,HRA
Classical Dendritic,kidney_l3,CL_0000451,57,0.088108,HRA,HRA
Connecting Tubule,kidney_l3,CL_1000768,2181,3.371308,HRA,HRA
Connecting Tubule Intercalated Type A,kidney_l3,CL_0005011,83,0.128298,HRA,HRA
Connecting Tubule Principal,kidney_l3,CL_1001431,957,1.479295,HRA,HRA
Cortical Collecting Duct Intercalated Type A,kidney_l3,CL_0005011,2578,3.984975,HRA,HRA
Cortical Collecting Duct Principal,kidney_l3,CL_1001431,2281,3.525884,HRA,HRA
Cortical Thick Ascending Limb,kidney_l3,,4205,6.499930,HRA,HRA
Cortical Vascular Smooth Muscle / Pericyte,kidney_l3,CL_0000359,457,0.706413,HRA,HRA
Cycling Mononuclear Phagocyte,kidney_l3,CL_0000113,47,0.072651,HRA,HRA
Descending Thin Limb Type 1,kidney_l3,CL_1001111,1524,2.355742,HRA,HRA
Descending Thin Limb Type 2,kidney_l3,CL_1001111,901,1.392732,HRA,HRA
Descending Thin Limb Type 3,kidney_l3,CL_1001111,1392,2.151701,HRA,HRA
Descending Vasa Recta Endothelial ,kidney_l3,CL_1001285,1838,2.841111,HRA,HRA
Distal Convoluted Tubule Type 1,kidney_l3,CL_1000849,3440,5.317422,HRA,HRA
Distal Convoluted Tubule Type 2,kidney_l3,CL_1000849,278,0.429722,HRA,HRA
Fibroblast,kidney_l3,CL_0000057,1851,2.861206,HRA,HRA
Glomerular Capillary Endothelial,kidney_l3,CL_1001005,1041,1.609139,HRA,HRA
Inner Medullary Collecting Duct,kidney_l3,CL_1000547,4095,6.329897,HRA,HRA
Intercalated Type B,kidney_l3,CL_0002201,768,1.187145,HRA,HRA
Lymphatic Endothelial,kidney_l3,CL_0002138,123,0.190129,HRA,HRA
M2 Macrophage,kidney_l3,CL_0000235,1263,1.952298,HRA,HRA
Macula Densa,kidney_l3,CL_1000850,1045,1.615322,HRA,HRA
Mast,kidney_l3,CL_0000097,109,0.168488,HRA,HRA
Medullary Fibroblast,kidney_l3,CL_0000057,4587,7.090412,HRA,HRA
Medullary Thick Ascending Limb,kidney_l3,CL_1001108,4160,6.430371,HRA,HRA
Mesangial,kidney_l3,CL_0000650,200,0.309152,HRA,HRA
Monocyte-derived,kidney_l3,CL_0000576,803,1.241247,HRA,HRA
Natural Killer T,kidney_l3,CL_0000542,211,0.326156,HRA,HRA
Neutrophil,kidney_l3,CL_0000775,58,0.089654,HRA,HRA
Non-classical monocyte,kidney_l3,CL_0000576,163,0.251959,HRA,HRA
Outer Medullary Collecting Duct Intercalated Type A,kidney_l3,CL_1000717,933,1.442196,HRA,HRA
Outer Medullary Collecting Duct Principal,kidney_l3,CL_1000716,894,1.381911,HRA,HRA
Papillary Tip Epithelial,kidney_l3,CL_1000597,322,0.497735,HRA,HRA
Parietal Epithelial,kidney_l3,CL_1000452,527,0.814617,HRA,HRA
Peritubular Capilary Endothelial ,kidney_l3,CL_1001033,2757,4.261667,HRA,HRA
Plasma,kidney_l3,CL_0000786,98,0.151485,HRA,HRA
Plasmacytoid Dendritic,kidney_l3,CL_0000784,31,0.047919,HRA,HRA
Podocyte,kidney_l3,CL_0000653,1028,1.589044,HRA,HRA
Proximal Tubule Epithelial Segment 1,kidney_l3,CL_0002306,4407,6.812174,HRA,HRA
Proximal Tubule Epithelial Segment 2,kidney_l3,CL_0002306,1355,2.094508,HRA,HRA
Proximal Tubule Epithelial Segment 3,kidney_l3,CL_0002306,2068,3.196636,HRA,HRA
Renin-positive Juxtaglomerular Granular,kidney_l3,CL_0000648,34,0.052556,HRA,HRA
Schwann / Neural,kidney_l3,CL_0002573,35,0.054102,HRA,HRA
T,kidney_l3,CL_000084,1341,2.072867,HRA,HRA
Vascular Smooth Muscle / Pericyte,kidney_l3,CL_0000359,1203,1.859552,HRA,HRA
