cell_type,annotation_level,ontology_id,sex,race,count,percentage
Afferent / Efferent Arteriole Endothelial,kidney_l3,CL_1001096,Female,W,10,0.886525
Ascending Thin Limb,kidney_l3,CL_1001107,Female,W,6,0.531915
Ascending Vasa Recta Endothelial,kidney_l3,CL_1001131,Female,W,72,6.382979
B,kidney_l3,CL_0000785,Female,W,2,0.177305
Connecting Tubule,kidney_l3,CL_1000768,Female,W,6,0.531915
Connecting Tubule Intercalated Type A,kidney_l3,CL_0005011,Female,W,1,0.088652
Connecting Tubule Principal,kidney_l3,CL_1001431,Female,W,2,0.177305
Cortical Collecting Duct Intercalated Type A,kidney_l3,CL_0005011,Female,W,3,0.265957
Cortical Collecting Duct Principal,kidney_l3,CL_1001431,Female,W,4,0.354610
Cortical Thick Ascending Limb,kidney_l3,,Female,W,75,6.648936
Cortical Vascular Smooth Muscle / Pericyte,kidney_l3,CL_0000359,Female,W,4,0.354610
Cycling Mononuclear Phagocyte,kidney_l3,CL_0000113,Female,W,2,0.177305
Descending Thin Limb Type 1,kidney_l3,CL_1001111,Female,W,105,9.308511
Descending Thin Limb Type 2,kidney_l3,CL_1001111,Female,W,42,3.723404
Descending Thin Limb Type 3,kidney_l3,CL_1001111,Female,W,16,1.418440
Descending Vasa Recta Endothelial ,kidney_l3,CL_1001285,Female,W,67,5.939716
Distal Convoluted Tubule Type 1,kidney_l3,CL_1000849,Female,W,2,0.177305
Fibroblast,kidney_l3,CL_0000057,Female,W,20,1.773050
Glomerular Capillary Endothelial,kidney_l3,CL_1001005,Female,W,2,0.177305
Inner Medullary Collecting Duct,kidney_l3,CL_1000547,Female,W,4,0.354610
Lymphatic Endothelial,kidney_l3,CL_0002138,Female,W,3,0.265957
Macula Densa,kidney_l3,CL_1000850,Female,W,1,0.088652
Mast,kidney_l3,CL_0000097,Female,W,4,0.354610
Medullary Fibroblast,kidney_l3,CL_0000057,Female,W,106,9.397163
Medullary Thick Ascending Limb,kidney_l3,CL_1001108,Female,W,284,25.177305
Monocyte,kidney_l3,,Female,W,1,0.088652
Monocyte-derived,kidney_l3,CL_0000576,Female,W,6,0.531915
Neutrophil,kidney_l3,CL_0000775,Female,W,1,0.088652
Outer Medullary Collecting Duct Intercalated Type A,kidney_l3,CL_1000717,Female,W,17,1.507092
Outer Medullary Collecting Duct Principal,kidney_l3,CL_1000716,Female,W,135,11.968085
Peritubular Capilary Endothelial ,kidney_l3,CL_1001033,Female,W,21,1.861702
Plasma,kidney_l3,CL_0000786,Female,W,3,0.265957
Proximal Tubule Epithelial Segment 1,kidney_l3,CL_0002306,Female,W,7,0.620567
Proximal Tubule Epithelial Segment 3,kidney_l3,CL_0002306,Female,W,36,3.191489
Schwann / Neural,kidney_l3,CL_0002573,Female,W,1,0.088652
T,kidney_l3,CL_000084,Female,W,6,0.531915
Tissue-resident Macrophage,kidney_l3,,Female,W,22,1.950355
Vascular Smooth Muscle / Pericyte,kidney_l3,CL_0000359,Female,W,29,2.570922
