cell_type,annotation_level,ontology_id,sex,race,count,percentage
Afferent / Efferent Arteriole Endothelial,kidney_l3,CL_1001096,Female,W,5,0.715308
Ascending Thin Limb,kidney_l3,CL_1001107,Female,W,26,3.719599
Ascending Vasa Recta Endothelial,kidney_l3,CL_1001131,Female,W,51,7.296137
Classical Dendritic,kidney_l3,CL_0000451,Female,W,1,0.143062
Connecting Tubule,kidney_l3,CL_1000768,Female,W,9,1.287554
Connecting Tubule Principal,kidney_l3,CL_1001431,Female,W,3,0.429185
Cortical Collecting Duct Principal,kidney_l3,CL_1001431,Female,W,11,1.573677
Cortical Thick Ascending Limb,kidney_l3,,Female,W,2,0.286123
Descending Thin Limb Type 1,kidney_l3,CL_1001111,Female,W,55,7.868383
Descending Thin Limb Type 2,kidney_l3,CL_1001111,Female,W,16,2.288984
Descending Thin Limb Type 3,kidney_l3,CL_1001111,Female,W,56,8.011445
Descending Vasa Recta Endothelial ,kidney_l3,CL_1001285,Female,W,25,3.576538
Distal Convoluted Tubule Type 1,kidney_l3,CL_1000849,Female,W,2,0.286123
Fibroblast,kidney_l3,CL_0000057,Female,W,1,0.143062
Inner Medullary Collecting Duct,kidney_l3,CL_1000547,Female,W,144,20.600858
Lymphatic Endothelial,kidney_l3,CL_0002138,Female,W,2,0.286123
Macula Densa,kidney_l3,CL_1000850,Female,W,1,0.143062
Mast,kidney_l3,CL_0000097,Female,W,19,2.718169
Medullary Fibroblast,kidney_l3,CL_0000057,Female,W,88,12.589413
Medullary Thick Ascending Limb,kidney_l3,CL_1001108,Female,W,3,0.429185
Monocyte,kidney_l3,,Female,W,1,0.143062
Monocyte-derived,kidney_l3,CL_0000576,Female,W,11,1.573677
Natural Killer / Natural Killer T,kidney_l3,,Female,W,4,0.572246
Neutrophil,kidney_l3,CL_0000775,Female,W,3,0.429185
Outer Medullary Collecting Duct Principal,kidney_l3,CL_1000716,Female,W,45,6.437768
Papillary Tip Epithelial,kidney_l3,CL_1000597,Female,W,28,4.005722
Peritubular Capilary Endothelial ,kidney_l3,CL_1001033,Female,W,23,3.290415
Plasma,kidney_l3,CL_0000786,Female,W,3,0.429185
Renin-positive Juxtaglomerular Granular,kidney_l3,CL_0000648,Female,W,1,0.143062
T,kidney_l3,CL_000084,Female,W,27,3.862661
Tissue-resident Macrophage,kidney_l3,,Female,W,11,1.573677
Vascular Smooth Muscle / Pericyte,kidney_l3,CL_0000359,Female,W,22,3.147353
