cell_type,annotation_level,ontology_id,sex,race,count,percentage
Afferent / Efferent Arteriole Endothelial,kidney_l3,CL_1001096,Male,W,18,0.551471
Ascending Thin Limb,kidney_l3,CL_1001107,Male,W,61,1.868873
Ascending Vasa Recta Endothelial,kidney_l3,CL_1001131,Male,W,304,9.313725
B,kidney_l3,CL_0000785,Male,W,1,0.030637
Classical Dendritic,kidney_l3,CL_0000451,Male,W,1,0.030637
Connecting Tubule,kidney_l3,CL_1000768,Male,W,7,0.214461
Connecting Tubule Principal,kidney_l3,CL_1001431,Male,W,10,0.306373
Cortical Collecting Duct Intercalated Type A,kidney_l3,CL_0005011,Male,W,7,0.214461
Cortical Collecting Duct Principal,kidney_l3,CL_1001431,Male,W,327,10.018382
Cortical Thick Ascending Limb,kidney_l3,,Male,W,109,3.339461
Cycling Mononuclear Phagocyte,kidney_l3,CL_0000113,Male,W,1,0.030637
Descending Thin Limb Type 1,kidney_l3,CL_1001111,Male,W,169,5.177696
Descending Thin Limb Type 2,kidney_l3,CL_1001111,Male,W,129,3.952206
Descending Thin Limb Type 3,kidney_l3,CL_1001111,Male,W,119,3.645833
Descending Vasa Recta Endothelial ,kidney_l3,CL_1001285,Male,W,232,7.107843
Fibroblast,kidney_l3,CL_0000057,Male,W,23,0.704657
Glomerular Capillary Endothelial,kidney_l3,CL_1001005,Male,W,1,0.030637
Inner Medullary Collecting Duct,kidney_l3,CL_1000547,Male,W,25,0.765931
Macula Densa,kidney_l3,CL_1000850,Male,W,11,0.337010
Mast,kidney_l3,CL_0000097,Male,W,2,0.061275
Medullary Fibroblast,kidney_l3,CL_0000057,Male,W,294,9.007353
Medullary Thick Ascending Limb,kidney_l3,CL_1001108,Male,W,684,20.955882
Monocyte,kidney_l3,,Male,W,2,0.061275
Monocyte-derived,kidney_l3,CL_0000576,Male,W,14,0.428922
Natural Killer / Natural Killer T,kidney_l3,,Male,W,1,0.030637
Neutrophil,kidney_l3,CL_0000775,Male,W,2,0.061275
Outer Medullary Collecting Duct Intercalated Type A,kidney_l3,CL_1000717,Male,W,383,11.734069
Outer Medullary Collecting Duct Principal,kidney_l3,CL_1000716,Male,W,73,2.236520
Peritubular Capilary Endothelial ,kidney_l3,CL_1001033,Male,W,82,2.512255
Proximal Tubule Epithelial Segment 1,kidney_l3,CL_0002306,Male,W,1,0.030637
Proximal Tubule Epithelial Segment 3,kidney_l3,CL_0002306,Male,W,9,0.275735
Schwann / Neural,kidney_l3,CL_0002573,Male,W,1,0.030637
T,kidney_l3,CL_000084,Male,W,10,0.306373
Tissue-resident Macrophage,kidney_l3,,Male,W,58,1.776961
Vascular Smooth Muscle / Pericyte,kidney_l3,CL_0000359,Male,W,93,2.849265
