cell_type,annotation_level,ontology_id,sex,race,count,percentage
Afferent / Efferent Arteriole Endothelial,kidney_l3,CL_1001096,Male,W,50,0.386967
Ascending Thin Limb,kidney_l3,CL_1001107,Male,W,3,0.023218
Ascending Vasa Recta Endothelial,kidney_l3,CL_1001131,Male,W,20,0.154787
B,kidney_l3,CL_0000785,Male,W,244,1.888399
Classical Dendritic,kidney_l3,CL_0000451,Male,W,29,0.224441
Connecting Tubule,kidney_l3,CL_1000768,Male,W,913,7.066017
Connecting Tubule Intercalated Type A,kidney_l3,CL_0005011,Male,W,26,0.201223
Connecting Tubule Principal,kidney_l3,CL_1001431,Male,W,301,2.329541
Cortical Collecting Duct Intercalated Type A,kidney_l3,CL_0005011,Male,W,1030,7.971519
Cortical Collecting Duct Principal,kidney_l3,CL_1001431,Male,W,621,4.806130
Cortical Thick Ascending Limb,kidney_l3,,Male,W,1409,10.904729
Cortical Vascular Smooth Muscle / Pericyte,kidney_l3,CL_0000359,Male,W,121,0.936460
Cycling Mononuclear Phagocyte,kidney_l3,CL_0000113,Male,W,13,0.100611
Descending Thin Limb Type 1,kidney_l3,CL_1001111,Male,W,14,0.108351
Descending Thin Limb Type 2,kidney_l3,CL_1001111,Male,W,7,0.054175
Descending Vasa Recta Endothelial ,kidney_l3,CL_1001285,Male,W,59,0.456621
Distal Convoluted Tubule Type 1,kidney_l3,CL_1000849,Male,W,882,6.826097
Distal Convoluted Tubule Type 2,kidney_l3,CL_1000849,Male,W,108,0.835849
Fibroblast,kidney_l3,CL_0000057,Male,W,532,4.117328
Glomerular Capillary Endothelial,kidney_l3,CL_1001005,Male,W,290,2.244408
Inner Medullary Collecting Duct,kidney_l3,CL_1000547,Male,W,1,0.007739
Intercalated Type B,kidney_l3,CL_0002201,Male,W,221,1.710394
Lymphatic Endothelial,kidney_l3,CL_0002138,Male,W,29,0.224441
Macula Densa,kidney_l3,CL_1000850,Male,W,724,5.603281
Mast,kidney_l3,CL_0000097,Male,W,27,0.208962
Medullary Fibroblast,kidney_l3,CL_0000057,Male,W,2,0.015479
Medullary Thick Ascending Limb,kidney_l3,CL_1001108,Male,W,43,0.332792
Mesangial,kidney_l3,CL_0000650,Male,W,55,0.425664
Monocyte,kidney_l3,,Male,W,41,0.317313
Monocyte-derived,kidney_l3,CL_0000576,Male,W,279,2.159276
Natural Killer / Natural Killer T,kidney_l3,,Male,W,30,0.232180
Neutrophil,kidney_l3,CL_0000775,Male,W,25,0.193483
Outer Medullary Collecting Duct Intercalated Type A,kidney_l3,CL_1000717,Male,W,9,0.069654
Outer Medullary Collecting Duct Principal,kidney_l3,CL_1000716,Male,W,3,0.023218
Papillary Tip Epithelial,kidney_l3,CL_1000597,Male,W,2,0.015479
Parietal Epithelial,kidney_l3,CL_1000452,Male,W,110,0.851327
Peritubular Capilary Endothelial ,kidney_l3,CL_1001033,Male,W,460,3.560096
Plasma,kidney_l3,CL_0000786,Male,W,50,0.386967
Plasmacytoid Dendritic,kidney_l3,CL_0000784,Male,W,17,0.131569
Podocyte,kidney_l3,CL_0000653,Male,W,288,2.228930
Proximal Tubule Epithelial Segment 1,kidney_l3,CL_0002306,Male,W,1600,12.382942
Proximal Tubule Epithelial Segment 2,kidney_l3,CL_0002306,Male,W,752,5.819983
Proximal Tubule Epithelial Segment 3,kidney_l3,CL_0002306,Male,W,628,4.860305
Renin-positive Juxtaglomerular Granular,kidney_l3,CL_0000648,Male,W,6,0.046436
Schwann / Neural,kidney_l3,CL_0002573,Male,W,13,0.100611
T,kidney_l3,CL_000084,Male,W,523,4.047674
Tissue-resident Macrophage,kidney_l3,,Male,W,255,1.973531
Vascular Smooth Muscle / Pericyte,kidney_l3,CL_0000359,Male,W,56,0.433403
