cell_type,annotation_level,ontology_id,sex,race,count,percentage
Afferent / Efferent Arteriole Endothelial,kidney_l3,CL_1001096,F,U,27,0.823673
Ascending Vasa Recta Endothelial,kidney_l3,CL_1001131,F,U,115,3.508237
B,kidney_l3,CL_0000785,F,U,3,0.091519
Classical Dendritic,kidney_l3,CL_0000451,F,U,2,0.061013
Connecting Tubule,kidney_l3,CL_1000768,F,U,90,2.745577
Connecting Tubule Intercalated Type A,kidney_l3,CL_0005011,F,U,2,0.061013
Connecting Tubule Principal,kidney_l3,CL_1001431,F,U,62,1.891397
Cortical Collecting Duct Intercalated Type A,kidney_l3,CL_0005011,F,U,135,4.118365
Cortical Collecting Duct Principal,kidney_l3,CL_1001431,F,U,192,5.857230
Cortical Thick Ascending Limb,kidney_l3,,F,U,373,11.378890
Cortical Vascular Smooth Muscle / Pericyte,kidney_l3,CL_0000359,F,U,47,1.433801
Cycling Mononuclear Phagocyte,kidney_l3,CL_0000113,F,U,7,0.213545
Descending Thin Limb Type 1,kidney_l3,CL_1001111,F,U,208,6.345333
Descending Thin Limb Type 2,kidney_l3,CL_1001111,F,U,123,3.752288
Descending Vasa Recta Endothelial ,kidney_l3,CL_1001285,F,U,102,3.111653
Distal Convoluted Tubule Type 1,kidney_l3,CL_1000849,F,U,75,2.287980
Distal Convoluted Tubule Type 2,kidney_l3,CL_1000849,F,U,17,0.518609
Fibroblast,kidney_l3,CL_0000057,F,U,169,5.155583
Glomerular Capillary Endothelial,kidney_l3,CL_1001005,F,U,67,2.043929
Intercalated Type B,kidney_l3,CL_0002201,F,U,18,0.549115
Lymphatic Endothelial,kidney_l3,CL_0002138,F,U,16,0.488103
Macula Densa,kidney_l3,CL_1000850,F,U,39,1.189750
Mast,kidney_l3,CL_0000097,F,U,5,0.152532
Medullary Fibroblast,kidney_l3,CL_0000057,F,U,138,4.209884
Medullary Thick Ascending Limb,kidney_l3,CL_1001108,F,U,206,6.284320
Mesangial,kidney_l3,CL_0000650,F,U,22,0.671141
Monocyte,kidney_l3,,F,U,11,0.335570
Monocyte-derived,kidney_l3,CL_0000576,F,U,52,1.586333
Natural Killer / Natural Killer T,kidney_l3,,F,U,13,0.396583
Outer Medullary Collecting Duct Intercalated Type A,kidney_l3,CL_1000717,F,U,49,1.494814
Outer Medullary Collecting Duct Principal,kidney_l3,CL_1000716,F,U,13,0.396583
Parietal Epithelial,kidney_l3,CL_1000452,F,U,11,0.335570
Peritubular Capilary Endothelial ,kidney_l3,CL_1001033,F,U,233,7.107993
Podocyte,kidney_l3,CL_0000653,F,U,93,2.837096
Proximal Tubule Epithelial Segment 1,kidney_l3,CL_0002306,F,U,175,5.338621
Proximal Tubule Epithelial Segment 2,kidney_l3,CL_0002306,F,U,5,0.152532
Proximal Tubule Epithelial Segment 3,kidney_l3,CL_0002306,F,U,151,4.606467
Renin-positive Juxtaglomerular Granular,kidney_l3,CL_0000648,F,U,2,0.061013
Schwann / Neural,kidney_l3,CL_0002573,F,U,3,0.091519
T,kidney_l3,CL_000084,F,U,46,1.403295
Tissue-resident Macrophage,kidney_l3,,F,U,67,2.043929
Vascular Smooth Muscle / Pericyte,kidney_l3,CL_0000359,F,U,94,2.867602
