cell_type,annotation_level,ontology_id,sex,race,count,percentage
Afferent / Efferent Arteriole Endothelial,kidney_l3,CL_1001096,M,W,32,0.651068
Ascending Thin Limb,kidney_l3,CL_1001107,M,W,1,0.020346
Ascending Vasa Recta Endothelial,kidney_l3,CL_1001131,M,W,263,5.350966
B,kidney_l3,CL_0000785,M,W,2,0.040692
Connecting Tubule,kidney_l3,CL_1000768,M,W,12,0.244151
Connecting Tubule Principal,kidney_l3,CL_1001431,M,W,16,0.325534
Cortical Collecting Duct Intercalated Type A,kidney_l3,CL_0005011,M,W,39,0.793489
Cortical Collecting Duct Principal,kidney_l3,CL_1001431,M,W,18,0.366226
Cortical Thick Ascending Limb,kidney_l3,,M,W,409,8.321465
Cortical Vascular Smooth Muscle / Pericyte,kidney_l3,CL_0000359,M,W,5,0.101729
Cycling Mononuclear Phagocyte,kidney_l3,CL_0000113,M,W,1,0.020346
Descending Thin Limb Type 1,kidney_l3,CL_1001111,M,W,404,8.219736
Descending Thin Limb Type 2,kidney_l3,CL_1001111,M,W,358,7.283825
Descending Vasa Recta Endothelial ,kidney_l3,CL_1001285,M,W,324,6.592065
Distal Convoluted Tubule Type 1,kidney_l3,CL_1000849,M,W,12,0.244151
Distal Convoluted Tubule Type 2,kidney_l3,CL_1000849,M,W,2,0.040692
Fibroblast,kidney_l3,CL_0000057,M,W,63,1.281790
Glomerular Capillary Endothelial,kidney_l3,CL_1001005,M,W,15,0.305188
Inner Medullary Collecting Duct,kidney_l3,CL_1000547,M,W,2,0.040692
Intercalated Type B,kidney_l3,CL_0002201,M,W,3,0.061038
Lymphatic Endothelial,kidney_l3,CL_0002138,M,W,11,0.223805
Macula Densa,kidney_l3,CL_1000850,M,W,10,0.203459
Mast,kidney_l3,CL_0000097,M,W,1,0.020346
Medullary Fibroblast,kidney_l3,CL_0000057,M,W,206,4.191251
Medullary Thick Ascending Limb,kidney_l3,CL_1001108,M,W,1597,32.492370
Mesangial,kidney_l3,CL_0000650,M,W,2,0.040692
Monocyte,kidney_l3,,M,W,6,0.122075
Monocyte-derived,kidney_l3,CL_0000576,M,W,16,0.325534
Natural Killer / Natural Killer T,kidney_l3,,M,W,5,0.101729
Outer Medullary Collecting Duct Intercalated Type A,kidney_l3,CL_1000717,M,W,86,1.749746
Outer Medullary Collecting Duct Principal,kidney_l3,CL_1000716,M,W,495,10.071211
Parietal Epithelial,kidney_l3,CL_1000452,M,W,8,0.162767
Peritubular Capilary Endothelial ,kidney_l3,CL_1001033,M,W,104,2.115972
Plasma,kidney_l3,CL_0000786,M,W,1,0.020346
Podocyte,kidney_l3,CL_0000653,M,W,9,0.183113
Proximal Tubule Epithelial Segment 1,kidney_l3,CL_0002306,M,W,38,0.773143
Proximal Tubule Epithelial Segment 2,kidney_l3,CL_0002306,M,W,2,0.040692
Proximal Tubule Epithelial Segment 3,kidney_l3,CL_0002306,M,W,185,3.763988
Schwann / Neural,kidney_l3,CL_0002573,M,W,4,0.081384
T,kidney_l3,CL_000084,M,W,8,0.162767
Tissue-resident Macrophage,kidney_l3,,M,W,28,0.569685
Vascular Smooth Muscle / Pericyte,kidney_l3,CL_0000359,M,W,112,2.278739
