cell_type,annotation_level,ontology_id,sex,race,count,percentage
Afferent / Efferent Arteriole Endothelial,kidney_l3,CL_1001096,Male,U,32,0.679694
Ascending Vasa Recta Endothelial,kidney_l3,CL_1001131,Male,U,5,0.106202
B,kidney_l3,CL_0000785,Male,U,13,0.276126
Classical Dendritic,kidney_l3,CL_0000451,Male,U,5,0.106202
Connecting Tubule,kidney_l3,CL_1000768,Male,U,332,7.051827
Connecting Tubule Intercalated Type A,kidney_l3,CL_0005011,Male,U,13,0.276126
Connecting Tubule Principal,kidney_l3,CL_1001431,Male,U,82,1.741716
Cortical Collecting Duct Intercalated Type A,kidney_l3,CL_0005011,Male,U,296,6.287171
Cortical Collecting Duct Principal,kidney_l3,CL_1001431,Male,U,70,1.486831
Cortical Thick Ascending Limb,kidney_l3,,Male,U,88,1.869159
Cortical Vascular Smooth Muscle / Pericyte,kidney_l3,CL_0000359,Male,U,117,2.485132
Cycling Mononuclear Phagocyte,kidney_l3,CL_0000113,Male,U,2,0.042481
Descending Thin Limb Type 2,kidney_l3,CL_1001111,Male,U,3,0.063721
Descending Vasa Recta Endothelial ,kidney_l3,CL_1001285,Male,U,27,0.573492
Distal Convoluted Tubule Type 1,kidney_l3,CL_1000849,Male,U,318,6.754460
Distal Convoluted Tubule Type 2,kidney_l3,CL_1000849,Male,U,19,0.403568
Fibroblast,kidney_l3,CL_0000057,Male,U,677,14.379779
Glomerular Capillary Endothelial,kidney_l3,CL_1001005,Male,U,249,5.288870
Intercalated Type B,kidney_l3,CL_0002201,Male,U,80,1.699235
Lymphatic Endothelial,kidney_l3,CL_0002138,Male,U,3,0.063721
Macula Densa,kidney_l3,CL_1000850,Male,U,62,1.316907
Mast,kidney_l3,CL_0000097,Male,U,8,0.169924
Medullary Fibroblast,kidney_l3,CL_0000057,Male,U,2,0.042481
Medullary Thick Ascending Limb,kidney_l3,CL_1001108,Male,U,2,0.042481
Mesangial,kidney_l3,CL_0000650,Male,U,61,1.295667
Monocyte,kidney_l3,,Male,U,46,0.977060
Monocyte-derived,kidney_l3,CL_0000576,Male,U,115,2.442651
Natural Killer / Natural Killer T,kidney_l3,,Male,U,65,1.380629
Neutrophil,kidney_l3,CL_0000775,Male,U,3,0.063721
Outer Medullary Collecting Duct Intercalated Type A,kidney_l3,CL_1000717,Male,U,4,0.084962
Parietal Epithelial,kidney_l3,CL_1000452,Male,U,129,2.740017
Peritubular Capilary Endothelial ,kidney_l3,CL_1001033,Male,U,632,13.423959
Plasma,kidney_l3,CL_0000786,Male,U,3,0.063721
Plasmacytoid Dendritic,kidney_l3,CL_0000784,Male,U,1,0.021240
Podocyte,kidney_l3,CL_0000653,Male,U,167,3.547154
Proximal Tubule Epithelial Segment 1,kidney_l3,CL_0002306,Male,U,153,3.249788
Proximal Tubule Epithelial Segment 2,kidney_l3,CL_0002306,Male,U,75,1.593033
Proximal Tubule Epithelial Segment 3,kidney_l3,CL_0002306,Male,U,59,1.253186
Renin-positive Juxtaglomerular Granular,kidney_l3,CL_0000648,Male,U,8,0.169924
Schwann / Neural,kidney_l3,CL_0002573,Male,U,2,0.042481
T,kidney_l3,CL_000084,Male,U,194,4.120646
Tissue-resident Macrophage,kidney_l3,,Male,U,198,4.205607
Vascular Smooth Muscle / Pericyte,kidney_l3,CL_0000359,Male,U,288,6.117247
