cell_type,annotation_level,ontology_id,sex,race,count,percentage
Afferent / Efferent Arteriole Endothelial,kidney_l3,CL_1001096,Female,W,5,0.125849
Ascending Thin Limb,kidney_l3,CL_1001107,Female,W,446,11.225774
Ascending Vasa Recta Endothelial,kidney_l3,CL_1001131,Female,W,388,9.765920
Classical Dendritic,kidney_l3,CL_0000451,Female,W,1,0.025170
Connecting Tubule,kidney_l3,CL_1000768,Female,W,14,0.352379
Connecting Tubule Intercalated Type A,kidney_l3,CL_0005011,Female,W,1,0.025170
Connecting Tubule Principal,kidney_l3,CL_1001431,Female,W,5,0.125849
Cortical Collecting Duct Intercalated Type A,kidney_l3,CL_0005011,Female,W,2,0.050340
Cortical Collecting Duct Principal,kidney_l3,CL_1001431,Female,W,10,0.251699
Cortical Thick Ascending Limb,kidney_l3,,Female,W,2,0.050340
Cycling Mononuclear Phagocyte,kidney_l3,CL_0000113,Female,W,1,0.025170
Descending Thin Limb Type 1,kidney_l3,CL_1001111,Female,W,13,0.327209
Descending Thin Limb Type 2,kidney_l3,CL_1001111,Female,W,5,0.125849
Descending Thin Limb Type 3,kidney_l3,CL_1001111,Female,W,319,8.029197
Descending Vasa Recta Endothelial ,kidney_l3,CL_1001285,Female,W,46,1.157815
Inner Medullary Collecting Duct,kidney_l3,CL_1000547,Female,W,1893,47.646615
Intercalated Type B,kidney_l3,CL_0002201,Female,W,1,0.025170
Lymphatic Endothelial,kidney_l3,CL_0002138,Female,W,3,0.075510
Medullary Fibroblast,kidney_l3,CL_0000057,Female,W,556,13.994463
Monocyte,kidney_l3,,Female,W,5,0.125849
Monocyte-derived,kidney_l3,CL_0000576,Female,W,44,1.107475
Natural Killer / Natural Killer T,kidney_l3,,Female,W,10,0.251699
Neutrophil,kidney_l3,CL_0000775,Female,W,3,0.075510
Outer Medullary Collecting Duct Intercalated Type A,kidney_l3,CL_1000717,Female,W,23,0.578908
Outer Medullary Collecting Duct Principal,kidney_l3,CL_1000716,Female,W,24,0.604078
Papillary Tip Epithelial,kidney_l3,CL_1000597,Female,W,10,0.251699
Peritubular Capilary Endothelial ,kidney_l3,CL_1001033,Female,W,9,0.226529
Plasma,kidney_l3,CL_0000786,Female,W,1,0.025170
Podocyte,kidney_l3,CL_0000653,Female,W,2,0.050340
Proximal Tubule Epithelial Segment 1,kidney_l3,CL_0002306,Female,W,1,0.025170
Renin-positive Juxtaglomerular Granular,kidney_l3,CL_0000648,Female,W,1,0.025170
Schwann / Neural,kidney_l3,CL_0002573,Female,W,2,0.050340
T,kidney_l3,CL_000084,Female,W,29,0.729927
Tissue-resident Macrophage,kidney_l3,,Female,W,67,1.686383
Vascular Smooth Muscle / Pericyte,kidney_l3,CL_0000359,Female,W,31,0.780267
