cell_type,annotation_level,ontology_id,sex,race,count,percentage
Afferent / Efferent Arteriole Endothelial,kidney_l3,CL_1001096,Female,W,7,0.183679
B,kidney_l3,CL_0000785,Female,W,48,1.259512
Classical Dendritic,kidney_l3,CL_0000451,Female,W,12,0.314878
Connecting Tubule,kidney_l3,CL_1000768,Female,W,199,5.221727
Connecting Tubule Intercalated Type A,kidney_l3,CL_0005011,Female,W,2,0.052480
Connecting Tubule Principal,kidney_l3,CL_1001431,Female,W,161,4.224613
Cortical Collecting Duct Intercalated Type A,kidney_l3,CL_0005011,Female,W,289,7.583311
Cortical Collecting Duct Principal,kidney_l3,CL_1001431,Female,W,284,7.452112
Cortical Thick Ascending Limb,kidney_l3,,Female,W,227,5.956442
Cortical Vascular Smooth Muscle / Pericyte,kidney_l3,CL_0000359,Female,W,8,0.209919
Cycling Mononuclear Phagocyte,kidney_l3,CL_0000113,Female,W,3,0.078719
Descending Thin Limb Type 1,kidney_l3,CL_1001111,Female,W,5,0.131199
Descending Thin Limb Type 2,kidney_l3,CL_1001111,Female,W,2,0.052480
Descending Vasa Recta Endothelial ,kidney_l3,CL_1001285,Female,W,3,0.078719
Distal Convoluted Tubule Type 1,kidney_l3,CL_1000849,Female,W,343,9.000262
Distal Convoluted Tubule Type 2,kidney_l3,CL_1000849,Female,W,12,0.314878
Fibroblast,kidney_l3,CL_0000057,Female,W,86,2.256626
Glomerular Capillary Endothelial,kidney_l3,CL_1001005,Female,W,87,2.282865
Inner Medullary Collecting Duct,kidney_l3,CL_1000547,Female,W,4,0.104959
Intercalated Type B,kidney_l3,CL_0002201,Female,W,168,4.408292
Lymphatic Endothelial,kidney_l3,CL_0002138,Female,W,24,0.629756
Macula Densa,kidney_l3,CL_1000850,Female,W,79,2.072947
Mast,kidney_l3,CL_0000097,Female,W,26,0.682236
Medullary Thick Ascending Limb,kidney_l3,CL_1001108,Female,W,1,0.026240
Mesangial,kidney_l3,CL_0000650,Female,W,13,0.341118
Monocyte,kidney_l3,,Female,W,4,0.104959
Monocyte-derived,kidney_l3,CL_0000576,Female,W,51,1.338231
Natural Killer / Natural Killer T,kidney_l3,,Female,W,16,0.419837
Outer Medullary Collecting Duct Principal,kidney_l3,CL_1000716,Female,W,2,0.052480
Papillary Tip Epithelial,kidney_l3,CL_1000597,Female,W,1,0.026240
Parietal Epithelial,kidney_l3,CL_1000452,Female,W,45,1.180792
Peritubular Capilary Endothelial ,kidney_l3,CL_1001033,Female,W,159,4.172133
Plasma,kidney_l3,CL_0000786,Female,W,15,0.393597
Plasmacytoid Dendritic,kidney_l3,CL_0000784,Female,W,11,0.288638
Podocyte,kidney_l3,CL_0000653,Female,W,93,2.440304
Proximal Tubule Epithelial Segment 1,kidney_l3,CL_0002306,Female,W,633,16.609814
Proximal Tubule Epithelial Segment 2,kidney_l3,CL_0002306,Female,W,89,2.335345
Proximal Tubule Epithelial Segment 3,kidney_l3,CL_0002306,Female,W,227,5.956442
Schwann / Neural,kidney_l3,CL_0002573,Female,W,4,0.104959
T,kidney_l3,CL_000084,Female,W,253,6.638678
Tissue-resident Macrophage,kidney_l3,,Female,W,97,2.545264
Vascular Smooth Muscle / Pericyte,kidney_l3,CL_0000359,Female,W,18,0.472317
