,dataset_name,cell_type,cell_type_ontology_id,sex,race,development_stage,count,percentage
0,Survey of human embryonic development,native cell,CL:0000003,female,unknown,10th week post-fertilization human stage,14198,9.137245311675441
1,Survey of human embryonic development,taste receptor cell,CL:0000209,female,unknown,10th week post-fertilization human stage,1707,1.0985545673355386
2,Survey of human embryonic development,stromal cell,CL:0000499,female,unknown,10th week post-fertilization human stage,116,0.07465280012356326
3,Survey of human embryonic development,megakaryocyte,CL:0000556,female,unknown,10th week post-fertilization human stage,23,0.01480184830036168
4,Survey of human embryonic development,mesangial cell,CL:0000650,female,unknown,10th week post-fertilization human stage,2869,1.846369685814681
5,Survey of human embryonic development,myeloid cell,CL:0000763,female,unknown,10th week post-fertilization human stage,46,0.02960369660072336
6,Survey of human embryonic development,erythroblast,CL:0000765,female,unknown,10th week post-fertilization human stage,25,0.01608896554387139
7,Survey of human embryonic development,innate lymphoid cell,CL:0001065,female,unknown,10th week post-fertilization human stage,5,0.0032177931087742783
8,Survey of human embryonic development,endothelial cell of vascular tree,CL:0002139,female,unknown,10th week post-fertilization human stage,523,0.3365811591777895
9,Survey of human embryonic development,native cell,CL:0000003,female,unknown,12th week post-fertilization human stage,12289,7.908691902745421
10,Survey of human embryonic development,taste receptor cell,CL:0000209,female,unknown,12th week post-fertilization human stage,1165,0.7497457943444068
11,Survey of human embryonic development,stromal cell,CL:0000499,female,unknown,12th week post-fertilization human stage,72,0.046336220766349606
12,Survey of human embryonic development,mesangial cell,CL:0000650,female,unknown,12th week post-fertilization human stage,3992,2.569086018045384
13,Survey of human embryonic development,myeloid cell,CL:0000763,female,unknown,12th week post-fertilization human stage,256,0.16475100716924304
14,Survey of human embryonic development,erythroblast,CL:0000765,female,unknown,12th week post-fertilization human stage,14,0.009009820704567979
15,Survey of human embryonic development,innate lymphoid cell,CL:0001065,female,unknown,12th week post-fertilization human stage,28,0.018019641409135957
16,Survey of human embryonic development,endothelial cell of vascular tree,CL:0002139,female,unknown,12th week post-fertilization human stage,413,0.2657897107847554
17,Survey of human embryonic development,native cell,CL:0000003,female,unknown,15th week post-fertilization human stage,6947,4.4708017453309825
18,Survey of human embryonic development,taste receptor cell,CL:0000209,female,unknown,15th week post-fertilization human stage,986,0.6345488010502877
19,Survey of human embryonic development,stromal cell,CL:0000499,female,unknown,15th week post-fertilization human stage,51,0.03282148970949764
20,Survey of human embryonic development,megakaryocyte,CL:0000556,female,unknown,15th week post-fertilization human stage,5,0.0032177931087742783
21,Survey of human embryonic development,mesangial cell,CL:0000650,female,unknown,15th week post-fertilization human stage,2813,1.8103304029964091
22,Survey of human embryonic development,myeloid cell,CL:0000763,female,unknown,15th week post-fertilization human stage,66,0.04247486903582047
23,Survey of human embryonic development,erythroblast,CL:0000765,female,unknown,15th week post-fertilization human stage,4,0.0025742344870194225
24,Survey of human embryonic development,innate lymphoid cell,CL:0001065,female,unknown,15th week post-fertilization human stage,7,0.004504910352283989
25,Survey of human embryonic development,endothelial cell of vascular tree,CL:0002139,female,unknown,15th week post-fertilization human stage,467,0.30054187635951757
26,Survey of human embryonic development,native cell,CL:0000003,female,unknown,16th week post-fertilization human stage,24247,15.604365901689984
27,Survey of human embryonic development,taste receptor cell,CL:0000209,female,unknown,16th week post-fertilization human stage,2434,1.5664216853513184
28,Survey of human embryonic development,stromal cell,CL:0000499,female,unknown,16th week post-fertilization human stage,91,0.058563834579691866
29,Survey of human embryonic development,megakaryocyte,CL:0000556,female,unknown,16th week post-fertilization human stage,18,0.011584055191587402
30,Survey of human embryonic development,mesangial cell,CL:0000650,female,unknown,16th week post-fertilization human stage,24952,16.05807473002716
31,Survey of human embryonic development,myeloid cell,CL:0000763,female,unknown,16th week post-fertilization human stage,1728,1.1120692983923905
32,Survey of human embryonic development,erythroblast,CL:0000765,female,unknown,16th week post-fertilization human stage,116,0.07465280012356326
33,Survey of human embryonic development,innate lymphoid cell,CL:0001065,female,unknown,16th week post-fertilization human stage,221,0.14222645540782308
34,Survey of human embryonic development,endothelial cell of vascular tree,CL:0002139,female,unknown,16th week post-fertilization human stage,2720,1.7504794511732074
35,Survey of human embryonic development,native cell,CL:0000003,male,unknown,13th week post-fertilization human stage,4260,2.741559728675685
36,Survey of human embryonic development,taste receptor cell,CL:0000209,male,unknown,13th week post-fertilization human stage,486,0.3127694901728598
37,Survey of human embryonic development,stromal cell,CL:0000499,male,unknown,13th week post-fertilization human stage,13,0.008366262082813124
38,Survey of human embryonic development,megakaryocyte,CL:0000556,male,unknown,13th week post-fertilization human stage,4,0.0025742344870194225
39,Survey of human embryonic development,mesangial cell,CL:0000650,male,unknown,13th week post-fertilization human stage,1154,0.7426666495051034
40,Survey of human embryonic development,myeloid cell,CL:0000763,male,unknown,13th week post-fertilization human stage,13,0.008366262082813124
41,Survey of human embryonic development,erythroblast,CL:0000765,male,unknown,13th week post-fertilization human stage,7,0.004504910352283989
42,Survey of human embryonic development,innate lymphoid cell,CL:0001065,male,unknown,13th week post-fertilization human stage,3,0.001930675865264567
43,Survey of human embryonic development,endothelial cell of vascular tree,CL:0002139,male,unknown,13th week post-fertilization human stage,127,0.08173194496286668
44,Survey of human embryonic development,native cell,CL:0000003,male,unknown,14th week post-fertilization human stage,23377,15.04446990076326
45,Survey of human embryonic development,taste receptor cell,CL:0000209,male,unknown,14th week post-fertilization human stage,1763,1.1345938501538104
46,Survey of human embryonic development,stromal cell,CL:0000499,male,unknown,14th week post-fertilization human stage,641,0.4125210765448624
47,Survey of human embryonic development,megakaryocyte,CL:0000556,male,unknown,14th week post-fertilization human stage,17,0.010940496569832547
48,Survey of human embryonic development,mesangial cell,CL:0000650,male,unknown,14th week post-fertilization human stage,7180,4.620750904199864
