,dataset_name,cell_type,cell_type_ontology_id,sex,race,count,percentage
0,Spatial transcriptomics in the healthy human kidney: Puck_200115_18,endothelial cell,CL:0000115,male,European,12809,25.955420466058765
1,Spatial transcriptomics in the healthy human kidney: Puck_200115_18,macrophage,CL:0000235,male,European,558,1.1306990881458967
2,Spatial transcriptomics in the healthy human kidney: Puck_200115_18,kidney granular cell,CL:0000648,male,European,12,0.0243161094224924
3,Spatial transcriptomics in the healthy human kidney: Puck_200115_18,mesangial cell,CL:0000650,male,European,4,0.008105369807497468
4,Spatial transcriptomics in the healthy human kidney: Puck_200115_18,glomerular visceral epithelial cell,CL:0000653,male,European,65,0.13171225937183384
5,Spatial transcriptomics in the healthy human kidney: Puck_200115_18,leukocyte,CL:0000738,male,European,2381,4.8247213779128675
6,Spatial transcriptomics in the healthy human kidney: Puck_200115_18,blood vessel smooth muscle cell,CL:0019018,male,European,1126,2.281661600810537
7,Spatial transcriptomics in the healthy human kidney: Puck_200115_18,kidney interstitial fibroblast,CL:1000692,male,European,1407,2.851063829787234
8,Spatial transcriptomics in the healthy human kidney: Puck_200115_18,kidney proximal convoluted tubule epithelial cell,CL:1000838,male,European,1449,2.9361702127659575
9,Spatial transcriptomics in the healthy human kidney: Puck_200115_18,kidney distal convoluted tubule epithelial cell,CL:1000849,male,European,142,0.2877406281661601
10,Spatial transcriptomics in the healthy human kidney: Puck_200115_18,macula densa epithelial cell,CL:1000850,male,European,37,0.07497467071935157
11,Spatial transcriptomics in the healthy human kidney: Puck_200115_18,kidney loop of Henle thick ascending limb epithelial cell,CL:1001106,male,European,2477,5.019250253292807
12,Spatial transcriptomics in the healthy human kidney: Puck_200115_18,kidney collecting duct principal cell,CL:1001431,male,European,1418,2.8733535967578523
13,Spatial transcriptomics in the healthy human kidney: Puck_200115_18,kidney collecting duct intercalated cell,CL:1001432,male,European,790,1.60081053698075
14,Spatial transcriptomics in the healthy human kidney: Puck_200115_18,endothelial cell,CL:0000115,male,European,12809,25.955420466058765
15,Spatial transcriptomics in the healthy human kidney: Puck_200115_18,macrophage,CL:0000235,male,European,558,1.1306990881458967
16,Spatial transcriptomics in the healthy human kidney: Puck_200115_18,kidney granular cell,CL:0000648,male,European,12,0.0243161094224924
17,Spatial transcriptomics in the healthy human kidney: Puck_200115_18,mesangial cell,CL:0000650,male,European,4,0.008105369807497468
18,Spatial transcriptomics in the healthy human kidney: Puck_200115_18,glomerular visceral epithelial cell,CL:0000653,male,European,65,0.13171225937183384
19,Spatial transcriptomics in the healthy human kidney: Puck_200115_18,leukocyte,CL:0000738,male,European,2381,4.8247213779128675
20,Spatial transcriptomics in the healthy human kidney: Puck_200115_18,blood vessel smooth muscle cell,CL:0019018,male,European,1126,2.281661600810537
21,Spatial transcriptomics in the healthy human kidney: Puck_200115_18,kidney interstitial fibroblast,CL:1000692,male,European,1407,2.851063829787234
22,Spatial transcriptomics in the healthy human kidney: Puck_200115_18,kidney proximal convoluted tubule epithelial cell,CL:1000838,male,European,1449,2.9361702127659575
23,Spatial transcriptomics in the healthy human kidney: Puck_200115_18,kidney distal convoluted tubule epithelial cell,CL:1000849,male,European,142,0.2877406281661601
24,Spatial transcriptomics in the healthy human kidney: Puck_200115_18,macula densa epithelial cell,CL:1000850,male,European,37,0.07497467071935157
25,Spatial transcriptomics in the healthy human kidney: Puck_200115_18,kidney loop of Henle thick ascending limb epithelial cell,CL:1001106,male,European,2477,5.019250253292807
26,Spatial transcriptomics in the healthy human kidney: Puck_200115_18,kidney collecting duct principal cell,CL:1001431,male,European,1418,2.8733535967578523
27,Spatial transcriptomics in the healthy human kidney: Puck_200115_18,kidney collecting duct intercalated cell,CL:1001432,male,European,790,1.60081053698075
