,dataset_name,cell_type,cell_type_ontology_id,sex,race,count,percentage
0,Spatial transcriptomics in the healthy human kidney: Puck_200131_24,endothelial cell,CL:0000115,female,European,5325,21.320467648942984
1,Spatial transcriptomics in the healthy human kidney: Puck_200131_24,macrophage,CL:0000235,female,European,25,0.10009609224855862
2,Spatial transcriptomics in the healthy human kidney: Puck_200131_24,kidney granular cell,CL:0000648,female,European,27,0.10810377962844331
3,Spatial transcriptomics in the healthy human kidney: Puck_200131_24,mesangial cell,CL:0000650,female,European,6,0.02402306213965407
4,Spatial transcriptomics in the healthy human kidney: Puck_200131_24,glomerular visceral epithelial cell,CL:0000653,female,European,138,0.5525304292120435
5,Spatial transcriptomics in the healthy human kidney: Puck_200131_24,leukocyte,CL:0000738,female,European,931,3.7275784753363226
6,Spatial transcriptomics in the healthy human kidney: Puck_200131_24,blood vessel smooth muscle cell,CL:0019018,female,European,397,1.5895259449071109
7,Spatial transcriptomics in the healthy human kidney: Puck_200131_24,kidney interstitial fibroblast,CL:1000692,female,European,260,1.0409993593850098
8,Spatial transcriptomics in the healthy human kidney: Puck_200131_24,kidney proximal convoluted tubule epithelial cell,CL:1000838,female,European,3026,12.115631005765536
9,Spatial transcriptomics in the healthy human kidney: Puck_200131_24,kidney distal convoluted tubule epithelial cell,CL:1000849,female,European,785,3.1430172966047407
10,Spatial transcriptomics in the healthy human kidney: Puck_200131_24,macula densa epithelial cell,CL:1000850,female,European,48,0.19218449711723257
11,Spatial transcriptomics in the healthy human kidney: Puck_200131_24,kidney loop of Henle thick ascending limb epithelial cell,CL:1001106,female,European,761,3.0469250480461243
12,Spatial transcriptomics in the healthy human kidney: Puck_200131_24,kidney collecting duct principal cell,CL:1001431,female,European,519,2.0779948750800767
13,Spatial transcriptomics in the healthy human kidney: Puck_200131_24,kidney collecting duct intercalated cell,CL:1001432,female,European,240,0.9609224855861628
14,Spatial transcriptomics in the healthy human kidney: Puck_200131_24,endothelial cell,CL:0000115,female,European,5325,21.320467648942984
15,Spatial transcriptomics in the healthy human kidney: Puck_200131_24,macrophage,CL:0000235,female,European,25,0.10009609224855862
16,Spatial transcriptomics in the healthy human kidney: Puck_200131_24,kidney granular cell,CL:0000648,female,European,27,0.10810377962844331
17,Spatial transcriptomics in the healthy human kidney: Puck_200131_24,mesangial cell,CL:0000650,female,European,6,0.02402306213965407
18,Spatial transcriptomics in the healthy human kidney: Puck_200131_24,glomerular visceral epithelial cell,CL:0000653,female,European,138,0.5525304292120435
19,Spatial transcriptomics in the healthy human kidney: Puck_200131_24,leukocyte,CL:0000738,female,European,931,3.7275784753363226
20,Spatial transcriptomics in the healthy human kidney: Puck_200131_24,blood vessel smooth muscle cell,CL:0019018,female,European,397,1.5895259449071109
21,Spatial transcriptomics in the healthy human kidney: Puck_200131_24,kidney interstitial fibroblast,CL:1000692,female,European,260,1.0409993593850098
22,Spatial transcriptomics in the healthy human kidney: Puck_200131_24,kidney proximal convoluted tubule epithelial cell,CL:1000838,female,European,3026,12.115631005765536
23,Spatial transcriptomics in the healthy human kidney: Puck_200131_24,kidney distal convoluted tubule epithelial cell,CL:1000849,female,European,785,3.1430172966047407
24,Spatial transcriptomics in the healthy human kidney: Puck_200131_24,macula densa epithelial cell,CL:1000850,female,European,48,0.19218449711723257
25,Spatial transcriptomics in the healthy human kidney: Puck_200131_24,kidney loop of Henle thick ascending limb epithelial cell,CL:1001106,female,European,761,3.0469250480461243
26,Spatial transcriptomics in the healthy human kidney: Puck_200131_24,kidney collecting duct principal cell,CL:1001431,female,European,519,2.0779948750800767
27,Spatial transcriptomics in the healthy human kidney: Puck_200131_24,kidney collecting duct intercalated cell,CL:1001432,female,European,240,0.9609224855861628
