cell_type,count,percentage
Astro L1-6 FGFR3 PLCG1,54,0.891530
Endo L2-5 NOSTRIN SRGN,1,0.0165098
Exc L2 LINC00507 ATP7B,4,0.0660393
Exc L2 LINC00507 GLRA3,678,11.1937
Exc L2-3 LINC00507 DSG3,42,0.693413
Exc L2-3 RORB CCDC68,207,3.41753
Exc L2-3 RORB PTPN3,57,0.941060
Exc L2-3 RORB RTKN2,54,0.891530
Exc L3 LAMP5 CARM1P1,445,7.34687
Exc L3 RORB OTOGL,153,2.52600
Exc L3 THEMIS ENPEP,161,2.65808
Exc L3-5 FEZF2 ASGR2,45,0.742942
Exc L3-5 FEZF2 LINC01107,2,0.0330196
Exc L3-5 RORB LAMA4,32,0.528314
Exc L3-5 RORB LINC01202,63,1.04012
Exc L3-5 RORB LNX2,401,6.62044
Exc L3-5 RORB RPRM,99,1.63447
Exc L3-5 RORB TNNT2,44,0.726432
Exc L5 FEZF2 CSN1S1,43,0.709922
Exc L5 FEZF2 NREP-AS1,12,0.198118
Exc L5 FEZF2 PKD2L1,40,0.660393
Exc L5 FEZF2 RNF144A-AS1,16,0.264157
Exc L5 RORB MED8,37,0.610863
Exc L5 THEMIS FGF10,12,0.198118
Exc L5 THEMIS LINC01116,13,0.214628
Exc L5 THEMIS RGPD6,2,0.0330196
Exc L5 THEMIS SLC22A18,160,2.64157
Exc L5 THEMIS VILL,29,0.478785
Exc L5-6 FEZF2 C9orf135-AS1,202,3.33498
Exc L5-6 FEZF2 CFTR,4,0.0660393
Exc L5-6 FEZF2 FILIP1L,30,0.495295
Exc L5-6 FEZF2 IFNG-AS1,94,1.55192
Exc L5-6 FEZF2 LPO,12,0.198118
Exc L5-6 FEZF2 OR1L8,17,0.280667
Exc L5-6 THEMIS SMYD1,130,2.14628
Exc L5-6 THEMIS TNFAIP6,202,3.33498
Exc L6 FEZF2 FFAR4,7,0.115569
Exc L6 FEZF2 KLK7,163,2.69110
Exc L6 FEZF2 POGK,12,0.198118
Exc L6 FEZF2 PROKR2,8,0.132079
Exc L6 THEMIS LINC00343,262,4.32557
Exc L6 THEMIS SLN,30,0.495295
Exc L6 THEMIS SNTG2,174,2.87271
Inh L1 LAMP5 NMBR,1,0.0165098
Inh L1 LAMP5 PVRL2,4,0.0660393
Inh L1 LAMP5 RAB11FIP1,5,0.0825491
Inh L1 PAX6 CHRFAM7A,3,0.0495295
Inh L1 PAX6 MIR101-1,5,0.0825491
Inh L1 VIP KLHDC8B,1,0.0165098
Inh L1-2 SST CCNJL,17,0.280667
Inh L1-2 SST CLIC6,2,0.0330196
Inh L1-2 SST PRRT4,5,0.0825491
Inh L1-2 VIP EXPH5,36,0.594354
Inh L1-2 VIP SCML4,1,0.0165098
Inh L1-3 SST FAM20A,63,1.04012
Inh L1-3 VIP CBLN1,20,0.330196
Inh L1-3 VIP CHRNA2,21,0.346706
Inh L1-3 VIP FNDC1,5,0.0825491
Inh L1-3 VIP HSPB6,26,0.429255
Inh L1-5 VIP CD27-AS1,1,0.0165098
Inh L1-5 VIP LINC01013,10,0.165098
Inh L1-5 VIP SMOC1,61,1.00710
Inh L1-6 LAMP5 AARD,110,1.81608
Inh L1-6 LAMP5 CA1,34,0.561334
Inh L1-6 LAMP5 NES,19,0.313687
Inh L1-6 PVALB COL15A1,12,0.198118
Inh L1-6 SST NPY,4,0.0660393
Inh L1-6 VIP SLC7A6OS,2,0.0330196
Inh L2 PAX6 FREM2,4,0.0660393
Inh L2 PVALB FRZB,2,0.0330196
Inh L2 VIP SLC6A16,15,0.247647
Inh L2-3 SST NMU,23,0.379726
Inh L2-5 PVALB HHIPL1,23,0.379726
Inh L2-5 PVALB RPH3AL,194,3.20291
Inh L2-5 VIP SOX11,9,0.148588
Inh L3 PVALB SAMD13,143,2.36090
Inh L3-5 PVALB ISG20,19,0.313687
Inh L3-5 SST CDH3,1,0.0165098
Inh L3-5 SST GGTLC3,87,1.43635
Inh L3-5 SST OR5AH1P,14,0.231138
Inh L3-5 VIP HS3ST3A1,21,0.346706
Inh L3-5 VIP IGDCC3,31,0.511805
Inh L3-5 VIP TAC3,30,0.495295
Inh L3-6 PAX6 LINC01497,1,0.0165098
Inh L3-6 VIP UG0898H09,5,0.0825491
Inh L3-6 VIP ZIM2-AS1,18,0.297177
Inh L5 PVALB LRIG3,47,0.775962
Inh L5 SST RPL35AP11,95,1.56843
Inh L5-6 LAMP5 CRABP1,65,1.07314
Inh L5-6 PVALB FAM150B,20,0.330196
Inh L5-6 PVALB GAPDHP60,9,0.148588
Inh L5-6 PVALB KCNIP2,4,0.0660393
Inh L5-6 PVALB MEPE,21,0.346706
Inh L5-6 PVALB SST CRHR2,20,0.330196
Inh L5-6 PVALB ZFPM2-AS1,52,0.858511
Inh L5-6 SST BEAN1,11,0.181608
Inh L5-6 SST C4orf26,4,0.0660393
Inh L5-6 SST DNAJC14,4,0.0660393
Inh L5-6 SST FBN2,12,0.198118
Inh L5-6 SST KLHL1,16,0.264157
Inh L5-6 SST PAWR,20,0.330196
Inh L5-6 SST PIK3CD,1,0.0165098
Inh L5-6 VIP COL4A3,2,0.0330196
Inh L6 SST TH,8,0.132079
Micro L1-6 TYROBP CD74,23,0.379726
Oligo L2-6 OPALIN FTH1P3,182,3.00479
Oligo L2-6 OPALIN MAP6D1,6,0.0990589
Oligo L3-6 OPALIN ENPP6,44,0.726432
Oligo L3-6 OPALIN LRP4-AS1,2,0.0330196
OPC L1-6 PDGFRA COL20A1,24,0.396236
VLMC L1-5 PDGFRA COLEC12,4,0.0660393
