cell_type,count,percentage
Astro L1 FGFR3 SERPINI2,5,0.0723694
Astro L1-6 FGFR3 AQP1,46,0.665798
Astro L1-6 FGFR3 PLCG1,293,4.24085
Endo L2-5 NOSTRIN SRGN,18,0.260530
Exc L2 LAMP5 KCNG3,22,0.318425
Exc L2 LINC00507 GLRA3,1559,22.5648
Exc L2-3 RORB CCDC68,3,0.0434216
Exc L2-3 RORB PTPN3,8,0.115791
Exc L3 LAMP5 CARM1P1,3,0.0434216
Exc L3 RORB OTOGL,6,0.0868432
Exc L3-5 FEZF2 ASGR2,2,0.0289477
Exc L3-5 RORB LNX2,8,0.115791
Exc L5 FEZF2 PKD2L1,299,4.32769
Exc L5 RORB MED8,12,0.173686
Exc L5 THEMIS SLC22A18,4,0.0578955
Exc L5-6 FEZF2 C9orf135-AS1,29,0.419742
Exc L5-6 FEZF2 OR1L8,75,1.08554
Exc L5-6 THEMIS SMYD1,1191,17.2384
Exc L5-6 THEMIS TNFAIP6,1,0.0144739
Exc L6 FEZF2 FFAR4,14,0.202634
Exc L6 FEZF2 PROKR2,76,1.10001
Exc L6 THEMIS SLN,104,1.50528
Exc L6 THEMIS SNTG2,212,3.06846
Inh L1 LAMP5 BMP2,32,0.463164
Inh L1 LAMP5 NMBR,33,0.477638
Inh L1 LAMP5 PVRL2,4,0.0578955
Inh L1 LAMP5 RAB11FIP1,32,0.463164
Inh L1 PAX6 CHRFAM7A,128,1.85266
Inh L1 PAX6 MIR101-1,38,0.550007
Inh L1 PVALB SST ASIC4,1,0.0144739
Inh L1 SST DEFB108B,38,0.550007
Inh L1 SST P4HA3,10,0.144739
Inh L1 VIP KLHDC8B,74,1.07107
Inh L1-2 PVALB CDK20,13,0.188160
Inh L1-2 SST CCNJL,37,0.535533
Inh L1-2 SST CLIC6,8,0.115791
Inh L1-2 VIP EXPH5,8,0.115791
Inh L1-2 VIP HTR3A,1,0.0144739
Inh L1-2 VIP PTGER3,7,0.101317
Inh L1-2 VIP WNT4,19,0.275004
Inh L1-3 SST FAM20A,190,2.75004
Inh L1-3 VIP CHRNA2,4,0.0578955
Inh L1-3 VIP HSPB6,71,1.02765
Inh L1-5 VIP CD27-AS1,3,0.0434216
Inh L1-5 VIP LINC01013,7,0.101317
Inh L1-5 VIP PHLDB3,1,0.0144739
Inh L1-5 VIP SMOC1,178,2.57635
Inh L1-6 LAMP5 CA1,97,1.40397
Inh L1-6 LAMP5 NES,81,1.17238
Inh L1-6 PVALB COL15A1,41,0.593429
Inh L1-6 SST NPY,36,0.521059
Inh L1-6 VIP SLC7A6OS,6,0.0868432
Inh L2 PAX6 FREM2,45,0.651324
Inh L2 PVALB FRZB,2,0.0289477
Inh L2 VIP SLC6A16,17,0.246056
Inh L2-3 SST NMU,4,0.0578955
Inh L2-5 PVALB RPH3AL,66,0.955276
Inh L2-5 VIP BSPRY,1,0.0144739
Inh L2-5 VIP SOX11,19,0.275004
Inh L3-5 SST GGTLC3,5,0.0723694
Inh L3-5 VIP IGDCC3,113,1.63555
Inh L3-5 VIP TAC3,5,0.0723694
Inh L3-6 PAX6 LINC01497,2,0.0289477
Inh L3-6 VIP ZIM2-AS1,9,0.130265
Inh L5 PVALB LRIG3,4,0.0578955
Inh L5 SST RPL35AP11,2,0.0289477
Inh L5-6 LAMP5 CRABP1,21,0.303951
Inh L5-6 PVALB GAPDHP60,16,0.231582
Inh L5-6 PVALB KCNIP2,9,0.130265
Inh L5-6 PVALB MEPE,16,0.231582
Inh L5-6 PVALB SST CRHR2,2,0.0289477
Inh L5-6 PVALB ZFPM2-AS1,34,0.492112
Inh L5-6 SST C4orf26,10,0.144739
Inh L5-6 SST DNAJC14,12,0.173686
Inh L5-6 SST ISX,1,0.0144739
Inh L5-6 SST PAWR,14,0.202634
Inh L5-6 VIP COL4A3,7,0.101317
Inh L6 SST TH,1,0.0144739
Micro L1-6 TYROBP CD74,136,1.96845
Oligo L2-6 OPALIN FTH1P3,774,11.2028
Oligo L2-6 OPALIN MAP6D1,14,0.202634
Oligo L3-6 OPALIN ENPP6,65,0.940802
Oligo L3-6 OPALIN LRP4-AS1,12,0.173686
OPC L1-6 PDGFRA COL20A1,250,3.61847
VLMC L1-5 PDGFRA COLEC12,33,0.477638
