cell_type,count,percentage
Astro L1-6 FGFR3 PLCG1,137,1.82229
Endo L2-5 NOSTRIN SRGN,4,0.0532056
Exc L2 LINC00507 ATP7B,18,0.239425
Exc L2 LINC00507 GLRA3,1901,25.2860
Exc L2-3 RORB CCDC68,182,2.42086
Exc L2-3 RORB PTPN3,95,1.26363
Exc L2-3 RORB RTKN2,59,0.784783
Exc L3 LAMP5 CARM1P1,91,1.21043
Exc L3 RORB OTOGL,173,2.30114
Exc L3 THEMIS ENPEP,149,1.98191
Exc L3-5 RORB LAMA4,41,0.545358
Exc L3-5 RORB LINC01202,537,7.14286
Exc L3-5 RORB LNX2,615,8.18037
Exc L3-5 RORB RPRM,102,1.35674
Exc L3-5 RORB TNNT2,9,0.119713
Exc L5 FEZF2 CSN1S1,22,0.292631
Exc L5 FEZF2 NREP-AS1,9,0.119713
Exc L5 FEZF2 PKD2L1,1,0.0133014
Exc L5 FEZF2 RNF144A-AS1,8,0.106411
Exc L5 RORB MED8,100,1.33014
Exc L5 THEMIS FGF10,55,0.731578
Exc L5 THEMIS SLC22A18,36,0.478851
Exc L5 THEMIS VILL,3,0.0399042
Exc L5-6 FEZF2 C9orf135-AS1,83,1.10402
Exc L5-6 FEZF2 IFNG-AS1,93,1.23703
Exc L5-6 FEZF2 LPO,5,0.0665070
Exc L5-6 FEZF2 OR1L8,18,0.239425
Exc L5-6 THEMIS SMYD1,88,1.17052
Exc L5-6 THEMIS TNFAIP6,93,1.23703
Exc L6 FEZF2 FFAR4,17,0.226124
Exc L6 FEZF2 KLK7,90,1.19713
Exc L6 FEZF2 POGK,1,0.0133014
Exc L6 FEZF2 PROKR2,6,0.0798085
Exc L6 THEMIS LINC00343,183,2.43416
Exc L6 THEMIS SLN,11,0.146316
Exc L6 THEMIS SNTG2,92,1.22373
Inh L1 LAMP5 BMP2,32,0.425645
Inh L1 LAMP5 NMBR,13,0.172918
Inh L1 LAMP5 PVRL2,3,0.0399042
Inh L1 LAMP5 RAB11FIP1,19,0.252727
Inh L1 PAX6 CHRFAM7A,7,0.0931099
Inh L1 PAX6 MIR101-1,16,0.212823
Inh L1 PVALB SST ASIC4,20,0.266028
Inh L1 SST DEFB108B,33,0.438947
Inh L1 VIP KLHDC8B,9,0.119713
Inh L1-2 PVALB CDK20,10,0.133014
Inh L1-2 SST CCNJL,70,0.931099
Inh L1-2 SST PRRT4,111,1.47646
Inh L1-2 VIP EXPH5,106,1.40995
Inh L1-2 VIP SCML4,3,0.0399042
Inh L1-3 SST FAM20A,128,1.70258
Inh L1-3 VIP CBLN1,38,0.505454
Inh L1-3 VIP CHRNA2,32,0.425645
Inh L1-3 VIP FNDC1,15,0.199521
Inh L1-3 VIP HSPB6,88,1.17052
Inh L1-5 VIP LINC01013,11,0.146316
Inh L1-5 VIP PHLDB3,1,0.0133014
Inh L1-5 VIP SMOC1,67,0.891194
Inh L1-6 LAMP5 AARD,83,1.10402
Inh L1-6 LAMP5 CA1,19,0.252727
Inh L1-6 LAMP5 NES,14,0.186220
Inh L1-6 PVALB COL15A1,49,0.651769
Inh L1-6 SST NPY,3,0.0399042
Inh L2 PAX6 FREM2,5,0.0665070
Inh L2 PVALB FRZB,18,0.239425
Inh L2 VIP SLC6A16,14,0.186220
Inh L2-3 SST NMU,26,0.345837
Inh L2-5 PVALB HHIPL1,8,0.106411
Inh L2-5 PVALB RPH3AL,266,3.53818
Inh L2-5 VIP SOX11,14,0.186220
Inh L3 PVALB SAMD13,39,0.518755
Inh L3-5 PVALB ISG20,20,0.266028
Inh L3-5 SST GGTLC3,147,1.95531
Inh L3-5 SST OR5AH1P,18,0.239425
Inh L3-5 VIP HS3ST3A1,11,0.146316
Inh L3-5 VIP IGDCC3,48,0.638468
Inh L3-5 VIP TAC3,28,0.372439
Inh L3-6 PAX6 LINC01497,4,0.0532056
Inh L3-6 VIP ZIM2-AS1,3,0.0399042
Inh L5 PVALB LRIG3,4,0.0532056
Inh L5 SST RPL35AP11,64,0.851290
Inh L5-6 LAMP5 CRABP1,47,0.625166
Inh L5-6 PVALB GAPDHP60,3,0.0399042
Inh L5-6 PVALB KCNIP2,8,0.106411
Inh L5-6 PVALB MEPE,10,0.133014
Inh L5-6 PVALB SST CRHR2,9,0.119713
Inh L5-6 PVALB ZFPM2-AS1,11,0.146316
Inh L5-6 SST C4orf26,6,0.0798085
Inh L5-6 SST FBN2,17,0.226124
Inh L5-6 SST KLHL1,9,0.119713
Inh L5-6 SST PAWR,20,0.266028
Inh L5-6 SST PIK3CD,5,0.0665070
Inh L5-6 VIP COL4A3,1,0.0133014
Inh L6 SST TH,2,0.0266028
Micro L1-6 TYROBP CD74,147,1.95531
Oligo L2-6 OPALIN FTH1P3,275,3.65789
Oligo L2-6 OPALIN MAP6D1,24,0.319234
Oligo L3-6 OPALIN ENPP6,26,0.345837
OPC L1-6 PDGFRA COL20A1,34,0.452248
