cell_type,count,percentage
Astro L1 FGFR3 SERPINI2,2,0.0243457
Astro L1-6 FGFR3 AQP1,21,0.255630
Astro L1-6 FGFR3 PLCG1,165,2.00852
Endo L2-5 NOSTRIN SRGN,4,0.0486914
Exc L2 LINC00507 ATP7B,7,0.0852100
Exc L2 LINC00507 GLRA3,2445,29.7626
Exc L2-3 RORB CCDC68,107,1.30250
Exc L2-3 RORB PTPN3,175,2.13025
Exc L2-3 RORB RTKN2,90,1.09556
Exc L3 LAMP5 CARM1P1,26,0.316494
Exc L3 RORB OTOGL,123,1.49726
Exc L3 THEMIS ENPEP,93,1.13208
Exc L3-5 FEZF2 ASGR2,6,0.0730371
Exc L3-5 RORB LAMA4,4,0.0486914
Exc L3-5 RORB LINC01202,492,5.98904
Exc L3-5 RORB LNX2,339,4.12660
Exc L3-5 RORB RPRM,172,2.09373
Exc L3-5 RORB TNNT2,9,0.109556
Exc L5 FEZF2 CSN1S1,21,0.255630
Exc L5 FEZF2 NREP-AS1,16,0.194766
Exc L5 FEZF2 PKD2L1,13,0.158247
Exc L5 FEZF2 RNF144A-AS1,16,0.194766
Exc L5 RORB MED8,144,1.75289
Exc L5 THEMIS FGF10,4,0.0486914
Exc L5 THEMIS SLC22A18,65,0.791236
Exc L5 THEMIS VILL,8,0.0973828
Exc L5-6 FEZF2 C9orf135-AS1,156,1.89897
Exc L5-6 FEZF2 FILIP1L,2,0.0243457
Exc L5-6 FEZF2 IFNG-AS1,84,1.02252
Exc L5-6 FEZF2 LPO,2,0.0243457
Exc L5-6 FEZF2 OR1L8,15,0.182593
Exc L5-6 FEZF2 SH2D1B,4,0.0486914
Exc L5-6 THEMIS SMYD1,143,1.74072
Exc L5-6 THEMIS TNFAIP6,46,0.559951
Exc L6 FEZF2 FFAR4,17,0.206939
Exc L6 FEZF2 KLK7,112,1.36336
Exc L6 FEZF2 PROKR2,4,0.0486914
Exc L6 THEMIS LINC00343,240,2.92149
Exc L6 THEMIS SLN,5,0.0608643
Exc L6 THEMIS SNTG2,54,0.657334
Inh L1 LAMP5 BMP2,44,0.535606
Inh L1 LAMP5 NMBR,50,0.608643
Inh L1 LAMP5 PVRL2,15,0.182593
Inh L1 LAMP5 RAB11FIP1,32,0.389531
Inh L1 PAX6 CHRFAM7A,38,0.462568
Inh L1 PAX6 MIR101-1,31,0.377358
Inh L1 PVALB SST ASIC4,60,0.730371
Inh L1 SST DEFB108B,57,0.693853
Inh L1 SST P4HA3,1,0.0121729
Inh L1 VIP KLHDC8B,12,0.146074
Inh L1-2 PVALB CDK20,13,0.158247
Inh L1-2 SST CCNJL,90,1.09556
Inh L1-2 SST CLIC6,7,0.0852100
Inh L1-2 SST PRRT4,92,1.11990
Inh L1-2 VIP EXPH5,71,0.864273
Inh L1-2 VIP PTGER3,3,0.0365186
Inh L1-2 VIP SCML4,16,0.194766
Inh L1-3 SST FAM20A,186,2.26415
Inh L1-3 VIP CBLN1,25,0.304321
Inh L1-3 VIP CHRNA2,39,0.474741
Inh L1-3 VIP FNDC1,26,0.316494
Inh L1-3 VIP HSPB6,60,0.730371
Inh L1-5 VIP CD27-AS1,6,0.0730371
Inh L1-5 VIP LINC01013,27,0.328667
Inh L1-5 VIP PHLDB3,6,0.0730371
Inh L1-5 VIP SMOC1,67,0.815581
Inh L1-6 LAMP5 AARD,108,1.31467
Inh L1-6 LAMP5 CA1,38,0.462568
Inh L1-6 LAMP5 NES,24,0.292149
Inh L1-6 PVALB COL15A1,8,0.0973828
Inh L1-6 SST NPY,2,0.0243457
Inh L1-6 VIP SLC7A6OS,1,0.0121729
Inh L2 PAX6 FREM2,6,0.0730371
Inh L2 PVALB FRZB,24,0.292149
Inh L2 VIP SLC6A16,26,0.316494
Inh L2-3 SST NMU,106,1.29032
Inh L2-5 PVALB HHIPL1,28,0.340840
Inh L2-5 PVALB RPH3AL,399,4.85697
Inh L2-5 VIP SOX11,19,0.231284
Inh L3 PVALB SAMD13,54,0.657334
Inh L3-5 SST GGTLC3,163,1.98418
Inh L3-5 SST OR5AH1P,14,0.170420
Inh L3-5 VIP HS3ST3A1,4,0.0486914
Inh L3-5 VIP IGDCC3,58,0.706026
Inh L3-5 VIP TAC3,17,0.206939
Inh L3-6 VIP ZIM2-AS1,4,0.0486914
Inh L5 PVALB LRIG3,11,0.133901
Inh L5 SST RPL35AP11,75,0.912964
Inh L5-6 LAMP5 CRABP1,57,0.693853
Inh L5-6 PVALB GAPDHP60,15,0.182593
Inh L5-6 PVALB KCNIP2,1,0.0121729
Inh L5-6 PVALB MEPE,12,0.146074
Inh L5-6 PVALB SST CRHR2,13,0.158247
Inh L5-6 PVALB ZFPM2-AS1,20,0.243457
Inh L5-6 SST C4orf26,1,0.0121729
Inh L5-6 SST FBN2,15,0.182593
Inh L5-6 SST KLHL1,15,0.182593
Inh L5-6 SST PAWR,11,0.133901
Inh L5-6 VIP COL4A3,4,0.0486914
Inh L6 SST TH,10,0.121729
Micro L1-6 TYROBP CD74,45,0.547778
Oligo L2-6 OPALIN FTH1P3,129,1.57030
Oligo L2-6 OPALIN MAP6D1,80,0.973828
Oligo L3-6 OPALIN ENPP6,12,0.146074
Oligo L3-6 OPALIN LRP4-AS1,10,0.121729
OPC L1-6 PDGFRA COL20A1,51,0.620816
