cell_type,count,percentage
Astro L1-6 FGFR3 PLCG1,182,2.22630
Endo L2-5 NOSTRIN SRGN,9,0.110092
Exc L2 LAMP5 KCNG3,1,0.0122324
Exc L2 LINC00507 ATP7B,9,0.110092
Exc L2 LINC00507 GLRA3,2436,29.7982
Exc L2-3 RORB CCDC68,96,1.17431
Exc L2-3 RORB PTPN3,176,2.15291
Exc L2-3 RORB RTKN2,63,0.770642
Exc L3 LAMP5 CARM1P1,32,0.391437
Exc L3 RORB OTOGL,142,1.73700
Exc L3 THEMIS ENPEP,88,1.07645
Exc L3-5 FEZF2 ASGR2,17,0.207951
Exc L3-5 RORB LAMA4,2,0.0244648
Exc L3-5 RORB LINC01202,452,5.52905
Exc L3-5 RORB LNX2,324,3.96330
Exc L3-5 RORB RPRM,174,2.12844
Exc L3-5 RORB TNNT2,8,0.0978593
Exc L5 FEZF2 CSN1S1,26,0.318043
Exc L5 FEZF2 NREP-AS1,23,0.281346
Exc L5 FEZF2 PKD2L1,12,0.146789
Exc L5 FEZF2 RNF144A-AS1,15,0.183486
Exc L5 RORB MED8,168,2.05505
Exc L5 THEMIS FGF10,3,0.0366972
Exc L5 THEMIS SLC22A18,77,0.941896
Exc L5 THEMIS VILL,11,0.134557
Exc L5-6 FEZF2 C9orf135-AS1,182,2.22630
Exc L5-6 FEZF2 IFNG-AS1,80,0.978593
Exc L5-6 FEZF2 LPO,1,0.0122324
Exc L5-6 FEZF2 OR1L8,4,0.0489297
Exc L5-6 FEZF2 SH2D1B,4,0.0489297
Exc L5-6 THEMIS SMYD1,142,1.73700
Exc L5-6 THEMIS TNFAIP6,16,0.195719
Exc L6 FEZF2 FFAR4,13,0.159021
Exc L6 FEZF2 KLK7,92,1.12538
Exc L6 FEZF2 POGK,4,0.0489297
Exc L6 FEZF2 PROKR2,7,0.0856269
Exc L6 THEMIS LINC00343,252,3.08257
Exc L6 THEMIS SLN,2,0.0244648
Exc L6 THEMIS SNTG2,72,0.880734
Inh L1 LAMP5 BMP2,23,0.281346
Inh L1 LAMP5 NMBR,36,0.440367
Inh L1 LAMP5 PVRL2,6,0.0733945
Inh L1 LAMP5 RAB11FIP1,57,0.697248
Inh L1 PAX6 CHRFAM7A,33,0.403670
Inh L1 PAX6 MIR101-1,31,0.379205
Inh L1 PVALB SST ASIC4,35,0.428135
Inh L1 SST DEFB108B,59,0.721713
Inh L1 SST P4HA3,9,0.110092
Inh L1 VIP KLHDC8B,9,0.110092
Inh L1-2 PVALB CDK20,12,0.146789
Inh L1-2 SST CCNJL,75,0.917431
Inh L1-2 SST CLIC6,13,0.159021
Inh L1-2 SST PRRT4,113,1.38226
Inh L1-2 VIP EXPH5,92,1.12538
Inh L1-2 VIP PTGER3,10,0.122324
Inh L1-2 VIP SCML4,2,0.0244648
Inh L1-2 VIP WNT4,3,0.0366972
Inh L1-3 SST FAM20A,177,2.16514
Inh L1-3 VIP CBLN1,27,0.330275
Inh L1-3 VIP CHRNA2,39,0.477064
Inh L1-3 VIP FNDC1,16,0.195719
Inh L1-3 VIP HSPB6,54,0.660550
Inh L1-5 VIP CD27-AS1,14,0.171254
Inh L1-5 VIP LINC01013,25,0.305810
Inh L1-5 VIP PHLDB3,5,0.0611621
Inh L1-5 VIP SMOC1,39,0.477064
Inh L1-6 LAMP5 AARD,97,1.18654
Inh L1-6 LAMP5 CA1,54,0.660550
Inh L1-6 LAMP5 NES,33,0.403670
Inh L1-6 PVALB COL15A1,11,0.134557
Inh L1-6 SST NPY,12,0.146789
Inh L2 PAX6 FREM2,5,0.0611621
Inh L2 PVALB FRZB,28,0.342508
Inh L2 VIP SLC6A16,23,0.281346
Inh L2-3 SST NMU,66,0.807339
Inh L2-5 PVALB HHIPL1,15,0.183486
Inh L2-5 PVALB RPH3AL,406,4.96636
Inh L2-5 VIP SOX11,22,0.269113
Inh L3 PVALB SAMD13,70,0.856269
Inh L3-5 SST CDH3,2,0.0244648
Inh L3-5 SST GGTLC3,146,1.78593
Inh L3-5 SST OR5AH1P,12,0.146789
Inh L3-5 VIP HS3ST3A1,13,0.159021
Inh L3-5 VIP IGDCC3,28,0.342508
Inh L3-5 VIP TAC3,21,0.256881
Inh L3-6 VIP UG0898H09,2,0.0244648
Inh L3-6 VIP ZIM2-AS1,6,0.0733945
Inh L5 PVALB LRIG3,14,0.171254
Inh L5 SST RPL35AP11,84,1.02752
Inh L5-6 LAMP5 CRABP1,64,0.782875
Inh L5-6 PVALB GAPDHP60,6,0.0733945
Inh L5-6 PVALB KCNIP2,3,0.0366972
Inh L5-6 PVALB MEPE,13,0.159021
Inh L5-6 PVALB SST CRHR2,19,0.232416
Inh L5-6 PVALB ZFPM2-AS1,25,0.305810
Inh L5-6 SST BEAN1,1,0.0122324
Inh L5-6 SST C4orf26,1,0.0122324
Inh L5-6 SST DNAJC14,3,0.0366972
Inh L5-6 SST FBN2,18,0.220183
Inh L5-6 SST ISX,2,0.0244648
Inh L5-6 SST KLHL1,19,0.232416
Inh L5-6 SST PAWR,10,0.122324
Inh L5-6 SST PIK3CD,4,0.0489297
Inh L5-6 VIP COL4A3,2,0.0244648
Inh L6 SST TH,13,0.159021
Micro L1-6 TYROBP CD74,93,1.13761
Oligo L2-6 OPALIN FTH1P3,111,1.35780
Oligo L2-6 OPALIN MAP6D1,87,1.06422
Oligo L3-6 OPALIN ENPP6,8,0.0978593
Oligo L3-6 OPALIN LRP4-AS1,15,0.183486
OPC L1-6 PDGFRA COL20A1,55,0.672783
VLMC L1-5 PDGFRA COLEC12,2,0.0244648
