cell_type,count,percentage
Astro L1-6 FGFR3 AQP1,3,0.0413964
Astro L1-6 FGFR3 PLCG1,174,2.40099
Endo L2-5 NOSTRIN SRGN,37,0.510556
Exc L2 LINC00507 GLRA3,212,2.92535
Exc L3 LAMP5 CARM1P1,44,0.607148
Exc L3-5 FEZF2 ASGR2,1,0.0137988
Exc L5 FEZF2 CSN1S1,168,2.31820
Exc L5 FEZF2 PKD2L1,8,0.110391
Exc L5 THEMIS SLC22A18,1,0.0137988
Exc L5-6 FEZF2 IFNG-AS1,1,0.0137988
Exc L5-6 FEZF2 LPO,1,0.0137988
Exc L6 FEZF2 FFAR4,431,5.94729
Exc L6 FEZF2 PROKR2,5,0.0689941
Inh L1 LAMP5 BMP2,5,0.0689941
Inh L1 LAMP5 NMBR,2,0.0275976
Inh L1 PAX6 CHRFAM7A,8,0.110391
Inh L1 PAX6 MIR101-1,17,0.234580
Inh L1-2 VIP EXPH5,48,0.662343
Inh L1-2 VIP PTGER3,1,0.0137988
Inh L1-3 SST FAM20A,66,0.910722
Inh L1-3 VIP CBLN1,2,0.0275976
Inh L1-3 VIP HSPB6,1,0.0137988
Inh L1-5 VIP CD27-AS1,13,0.179385
Inh L1-6 SST NPY,3356,46.3088
Inh L1-6 VIP SLC7A6OS,8,0.110391
Inh L2 PAX6 FREM2,1,0.0137988
Inh L2 VIP SLC6A16,1,0.0137988
Inh L2-5 VIP BSPRY,7,0.0965917
Inh L2-5 VIP SOX11,328,4.52601
Inh L3 PVALB SAMD13,9,0.124189
Inh L3-5 PVALB ISG20,34,0.469160
Inh L3-5 SST GGTLC3,2,0.0275976
Inh L3-6 PAX6 LINC01497,9,0.124189
Inh L3-6 VIP ZIM2-AS1,40,0.551953
Inh L5 PVALB LRIG3,101,1.39368
Inh L5-6 PVALB FAM150B,5,0.0689941
Inh L5-6 PVALB KCNIP2,27,0.372568
Inh L5-6 SST C4orf26,135,1.86284
Inh L5-6 SST DNAJC14,7,0.0965917
Micro L1-6 TYROBP CD74,180,2.48379
Oligo L2-6 OPALIN FTH1P3,616,8.50007
Oligo L3-6 OPALIN ENPP6,728,10.0455
Oligo L3-6 OPALIN LRP4-AS1,21,0.289775
OPC L1-6 PDGFRA COL20A1,258,3.56009
VLMC L1-5 PDGFRA COLEC12,125,1.72485
