cell_type,count,percentage
Astro L1 FGFR3 SERPINI2,1,0.0126438
Astro L1-6 FGFR3 AQP1,21,0.265520
Astro L1-6 FGFR3 PLCG1,132,1.66898
Endo L2-5 NOSTRIN SRGN,11,0.139082
Exc L2 LAMP5 KCNG3,5,0.0632191
Exc L2 LINC00507 ATP7B,9,0.113794
Exc L2 LINC00507 GLRA3,1185,14.9829
Exc L2-3 LINC00507 DSG3,61,0.771273
Exc L2-3 RORB CCDC68,268,3.38854
Exc L2-3 RORB PTPN3,94,1.18852
Exc L2-3 RORB RTKN2,70,0.885068
Exc L3 LAMP5 CARM1P1,399,5.04489
Exc L3 RORB OTOGL,218,2.75635
Exc L3 THEMIS ENPEP,122,1.54255
Exc L3-5 FEZF2 ASGR2,67,0.847136
Exc L3-5 FEZF2 LINC01107,2,0.0252876
Exc L3-5 RORB LAMA4,23,0.290808
Exc L3-5 RORB LINC01202,48,0.606904
Exc L3-5 RORB LNX2,387,4.89316
Exc L3-5 RORB RPRM,73,0.922999
Exc L3-5 RORB TNNT2,40,0.505753
Exc L5 FEZF2 CSN1S1,23,0.290808
Exc L5 FEZF2 NREP-AS1,13,0.164370
Exc L5 FEZF2 PKD2L1,45,0.568972
Exc L5 FEZF2 RNF144A-AS1,49,0.619547
Exc L5 RORB MED8,26,0.328739
Exc L5 THEMIS FGF10,13,0.164370
Exc L5 THEMIS LINC01116,7,0.0885068
Exc L5 THEMIS RGPD6,20,0.252876
Exc L5 THEMIS SLC22A18,170,2.14945
Exc L5 THEMIS VILL,48,0.606904
Exc L5-6 FEZF2 C9orf135-AS1,349,4.41269
Exc L5-6 FEZF2 CFTR,11,0.139082
Exc L5-6 FEZF2 FILIP1L,16,0.202301
Exc L5-6 FEZF2 IFNG-AS1,95,1.20116
Exc L5-6 FEZF2 LPO,5,0.0632191
Exc L5-6 FEZF2 OR1L8,32,0.404602
Exc L5-6 FEZF2 SH2D1B,5,0.0632191
Exc L5-6 THEMIS SMYD1,146,1.84600
Exc L5-6 THEMIS TNFAIP6,245,3.09774
Exc L6 FEZF2 FFAR4,10,0.126438
Exc L6 FEZF2 KLK7,135,1.70692
Exc L6 FEZF2 PDYN,2,0.0252876
Exc L6 FEZF2 POGK,16,0.202301
Exc L6 FEZF2 PROKR2,14,0.177014
Exc L6 THEMIS LINC00343,191,2.41497
Exc L6 THEMIS SLN,49,0.619547
Exc L6 THEMIS SNTG2,167,2.11152
Inh L1 LAMP5 BMP2,25,0.316096
Inh L1 LAMP5 NMBR,21,0.265520
Inh L1 LAMP5 PVRL2,14,0.177014
Inh L1 LAMP5 RAB11FIP1,23,0.290808
Inh L1 PAX6 CHRFAM7A,24,0.303452
Inh L1 PAX6 MIR101-1,15,0.189657
Inh L1 PVALB SST ASIC4,16,0.202301
Inh L1 SST DEFB108B,27,0.341383
Inh L1 VIP KLHDC8B,6,0.0758629
Inh L1-2 PVALB CDK20,1,0.0126438
Inh L1-2 SST CCNJL,27,0.341383
Inh L1-2 SST CLIC6,7,0.0885068
Inh L1-2 SST PRRT4,23,0.290808
Inh L1-2 VIP EXPH5,60,0.758629
Inh L1-2 VIP HTR3A,9,0.113794
Inh L1-2 VIP PTGER3,8,0.101151
Inh L1-2 VIP SCML4,11,0.139082
Inh L1-3 SST FAM20A,114,1.44140
Inh L1-3 VIP CBLN1,26,0.328739
Inh L1-3 VIP CHRNA2,17,0.214945
Inh L1-3 VIP FNDC1,16,0.202301
Inh L1-3 VIP HSPB6,12,0.151726
Inh L1-5 VIP CD27-AS1,4,0.0505753
Inh L1-5 VIP LINC01013,18,0.227589
Inh L1-5 VIP PHLDB3,2,0.0252876
Inh L1-5 VIP SMOC1,59,0.745986
Inh L1-6 LAMP5 AARD,141,1.78278
Inh L1-6 LAMP5 CA1,48,0.606904
Inh L1-6 LAMP5 NES,44,0.556328
Inh L1-6 PVALB COL15A1,10,0.126438
Inh L1-6 SST NPY,7,0.0885068
Inh L1-6 VIP SLC7A6OS,1,0.0126438
Inh L2 PAX6 FREM2,6,0.0758629
Inh L2 PVALB FRZB,9,0.113794
Inh L2 VIP SLC6A16,24,0.303452
Inh L2-3 SST NMU,29,0.366671
Inh L2-5 PVALB HHIPL1,25,0.316096
Inh L2-5 PVALB RPH3AL,355,4.48856
Inh L2-5 VIP BSPRY,5,0.0632191
Inh L2-5 VIP SOX11,4,0.0505753
Inh L3 PVALB SAMD13,141,1.78278
Inh L3-5 PVALB ISG20,17,0.214945
Inh L3-5 SST CDH3,1,0.0126438
Inh L3-5 SST GGTLC3,136,1.71956
Inh L3-5 SST OR5AH1P,13,0.164370
Inh L3-5 VIP HS3ST3A1,6,0.0758629
Inh L3-5 VIP IGDCC3,32,0.404602
Inh L3-5 VIP TAC3,42,0.531041
Inh L3-6 PAX6 LINC01497,3,0.0379315
Inh L3-6 VIP UG0898H09,12,0.151726
Inh L3-6 VIP ZIM2-AS1,9,0.113794
Inh L5 PVALB LRIG3,64,0.809205
Inh L5 SST RPL35AP11,111,1.40346
Inh L5-6 LAMP5 CRABP1,91,1.15059
Inh L5-6 PVALB FAM150B,5,0.0632191
Inh L5-6 PVALB GAPDHP60,13,0.164370
Inh L5-6 PVALB KCNIP2,8,0.101151
Inh L5-6 PVALB MEPE,28,0.354027
Inh L5-6 PVALB SST CRHR2,27,0.341383
Inh L5-6 PVALB ZFPM2-AS1,52,0.657479
Inh L5-6 SST BEAN1,2,0.0252876
Inh L5-6 SST C4orf26,3,0.0379315
Inh L5-6 SST DNAJC14,6,0.0758629
Inh L5-6 SST ISX,14,0.177014
Inh L5-6 SST KLHL1,27,0.341383
Inh L5-6 SST PAWR,22,0.278164
Inh L5-6 SST PIK3CD,13,0.164370
Inh L5-6 VIP COL4A3,5,0.0632191
Inh L6 SST TH,7,0.0885068
Micro L1-6 TYROBP CD74,13,0.164370
Oligo L2-6 OPALIN FTH1P3,368,4.65293
Oligo L2-6 OPALIN MAP6D1,50,0.632191
Oligo L3-6 OPALIN ENPP6,73,0.922999
Oligo L3-6 OPALIN LRP4-AS1,17,0.214945
OPC L1-6 PDGFRA COL20A1,39,0.493109
VLMC L1-5 PDGFRA COLEC12,8,0.101151
