cell_type,count,percentage
Astro L1 FGFR3 SERPINI2,21,0.280899
Astro L1-6 FGFR3 AQP1,81,1.08347
Astro L1-6 FGFR3 PLCG1,333,4.45425
Endo L2-5 NOSTRIN SRGN,56,0.749064
Exc L2 LINC00507 GLRA3,1240,16.5864
Exc L2-3 RORB PTPN3,5,0.0668807
Exc L2-3 RORB RTKN2,25,0.334403
Exc L3 LAMP5 CARM1P1,3,0.0401284
Exc L3 RORB OTOGL,11,0.147138
Exc L3 THEMIS ENPEP,13,0.173890
Exc L3-5 RORB LAMA4,1,0.0133761
Exc L3-5 RORB LNX2,1,0.0133761
Exc L5 FEZF2 CSN1S1,23,0.307651
Exc L5 FEZF2 PKD2L1,16,0.214018
Exc L5 THEMIS VILL,16,0.214018
Exc L5-6 FEZF2 C9orf135-AS1,56,0.749064
Exc L5-6 FEZF2 LPO,275,3.67844
Exc L6 FEZF2 FFAR4,632,8.45372
Inh L1 LAMP5 BMP2,2,0.0267523
Inh L1 PAX6 CHRFAM7A,9,0.120385
Inh L1 PAX6 MIR101-1,1,0.0133761
Inh L1 SST DEFB108B,17,0.227394
Inh L1-2 VIP EXPH5,9,0.120385
Inh L1-2 VIP WNT4,1,0.0133761
Inh L1-3 SST FAM20A,97,1.29749
Inh L1-3 VIP CBLN1,1,0.0133761
Inh L1-3 VIP HSPB6,14,0.187266
Inh L1-5 VIP CD27-AS1,3,0.0401284
Inh L1-5 VIP SMOC1,2,0.0267523
Inh L1-6 LAMP5 NES,1,0.0133761
Inh L1-6 SST NPY,1000,13.3761
Inh L1-6 VIP SLC7A6OS,39,0.521669
Inh L2-5 PVALB RPH3AL,2,0.0267523
Inh L2-5 VIP BSPRY,82,1.09684
Inh L2-5 VIP SOX11,269,3.59818
Inh L3 PVALB SAMD13,2,0.0267523
Inh L3-5 PVALB ISG20,4,0.0535045
Inh L3-5 SST GGTLC3,34,0.454789
Inh L3-6 PAX6 LINC01497,480,6.42055
Inh L3-6 VIP ZIM2-AS1,47,0.628678
Inh L5 PVALB LRIG3,430,5.75174
Inh L5-6 PVALB FAM150B,11,0.147138
Inh L5-6 PVALB KCNIP2,374,5.00268
Inh L5-6 SST C4orf26,43,0.575174
Inh L5-6 SST DNAJC14,1,0.0133761
Inh L5-6 SST PIK3CD,84,1.12360
Micro L1-6 TYROBP CD74,96,1.28411
Oligo L2-6 OPALIN FTH1P3,633,8.46709
Oligo L3-6 OPALIN ENPP6,597,7.98555
Oligo L3-6 OPALIN LRP4-AS1,35,0.468165
OPC L1-6 PDGFRA COL20A1,195,2.60835
VLMC L1-5 PDGFRA COLEC12,53,0.708935
