cell_type,count,percentage
Astro L1-6 FGFR3 AQP1,181,2.24121
Astro L1-6 FGFR3 PLCG1,210,2.60030
Endo L2-5 NOSTRIN SRGN,31,0.383853
Exc L2 LAMP5 KCNG3,76,0.941060
Exc L2 LINC00507 ATP7B,1,0.0123824
Exc L2 LINC00507 GLRA3,361,4.47003
Exc L2-3 RORB CCDC68,4,0.0495295
Exc L3 LAMP5 CARM1P1,116,1.43635
Exc L3-5 RORB LAMA4,1,0.0123824
Exc L5 FEZF2 PKD2L1,153,1.89450
Exc L5-6 FEZF2 C9orf135-AS1,34,0.421000
Exc L5-6 FEZF2 LPO,851,10.5374
Exc L5-6 THEMIS SMYD1,47,0.581971
Exc L6 FEZF2 FFAR4,1408,17.4344
Inh L1 LAMP5 BMP2,18,0.222883
Inh L1 LAMP5 NMBR,4,0.0495295
Inh L1 LAMP5 PVRL2,8,0.0990589
Inh L1 PAX6 CHRFAM7A,14,0.173353
Inh L1 PAX6 MIR101-1,26,0.321942
Inh L1 SST DEFB108B,8,0.0990589
Inh L1 SST P4HA3,2,0.0247647
Inh L1 VIP KLHDC8B,2,0.0247647
Inh L1-2 PVALB CDK20,2,0.0247647
Inh L1-2 SST CCNJL,3,0.0371471
Inh L1-2 VIP SCML4,3,0.0371471
Inh L1-2 VIP WNT4,13,0.160971
Inh L1-3 SST FAM20A,10,0.123824
Inh L1-3 VIP FNDC1,3,0.0371471
Inh L1-3 VIP HSPB6,7,0.0866766
Inh L1-5 VIP SMOC1,15,0.185736
Inh L1-6 LAMP5 CA1,36,0.445765
Inh L1-6 LAMP5 NES,36,0.445765
Inh L1-6 PVALB COL15A1,24,0.297177
Inh L1-6 SST NPY,1901,23.5389
Inh L1-6 VIP SLC7A6OS,3,0.0371471
Inh L2 VIP SLC6A16,1,0.0123824
Inh L2-5 PVALB RPH3AL,9,0.111441
Inh L2-5 VIP SOX11,1,0.0123824
Inh L3-5 SST GGTLC3,2,0.0247647
Inh L3-5 VIP IGDCC3,7,0.0866766
Inh L3-6 PAX6 LINC01497,18,0.222883
Inh L3-6 VIP ZIM2-AS1,23,0.284794
Inh L5 PVALB LRIG3,215,2.66221
Inh L5-6 PVALB FAM150B,884,10.9460
Inh L5-6 SST ISX,3,0.0371471
Inh L6 SST TH,6,0.0742942
Micro L1-6 TYROBP CD74,303,3.75186
Oligo L2-6 OPALIN FTH1P3,394,4.87865
Oligo L3-6 OPALIN ENPP6,97,1.20109
Oligo L3-6 OPALIN LRP4-AS1,38,0.470530
OPC L1-6 PDGFRA COL20A1,398,4.92818
VLMC L1-5 PDGFRA COLEC12,65,0.804854
