cell_type,count,percentage
Astro L1 FGFR3 SERPINI2,9,0.127569
Astro L1-6 FGFR3 AQP1,47,0.666194
Astro L1-6 FGFR3 PLCG1,302,4.28065
Endo L2-5 NOSTRIN SRGN,37,0.524451
Exc L2 LINC00507 GLRA3,1519,21.5308
Exc L2-3 RORB CCDC68,2,0.0283487
Exc L2-3 RORB PTPN3,1,0.0141743
Exc L2-3 RORB RTKN2,80,1.13395
Exc L3 RORB OTOGL,20,0.283487
Exc L3-5 FEZF2 ASGR2,5,0.0708717
Exc L3-5 RORB LINC01202,3,0.0425230
Exc L3-5 RORB LNX2,19,0.269313
Exc L3-5 RORB RPRM,29,0.411056
Exc L5 FEZF2 CSN1S1,39,0.552799
Exc L5 FEZF2 PKD2L1,6,0.0850461
Exc L5 RORB MED8,5,0.0708717
Exc L5-6 FEZF2 C9orf135-AS1,31,0.439405
Exc L5-6 FEZF2 OR1L8,90,1.27569
Exc L5-6 THEMIS SMYD1,1183,16.7682
Exc L5-6 THEMIS TNFAIP6,12,0.170092
Exc L6 FEZF2 FFAR4,13,0.184266
Exc L6 FEZF2 PROKR2,82,1.16230
Exc L6 THEMIS SLN,118,1.67257
Exc L6 THEMIS SNTG2,192,2.72147
Inh L1 LAMP5 BMP2,37,0.524451
Inh L1 LAMP5 NMBR,36,0.510276
Inh L1 LAMP5 PVRL2,28,0.396882
Inh L1 LAMP5 RAB11FIP1,4,0.0566974
Inh L1 PAX6 CHRFAM7A,95,1.34656
Inh L1 PAX6 MIR101-1,29,0.411056
Inh L1 SST DEFB108B,39,0.552799
Inh L1 SST P4HA3,2,0.0283487
Inh L1 VIP KLHDC8B,3,0.0425230
Inh L1-2 PVALB CDK20,10,0.141743
Inh L1-2 SST CCNJL,35,0.496102
Inh L1-2 SST CLIC6,25,0.354359
Inh L1-2 VIP PTGER3,5,0.0708717
Inh L1-2 VIP WNT4,19,0.269313
Inh L1-3 SST FAM20A,231,3.27427
Inh L1-3 VIP CHRNA2,13,0.184266
Inh L1-3 VIP FNDC1,15,0.212615
Inh L1-3 VIP HSPB6,74,1.04890
Inh L1-5 VIP CD27-AS1,24,0.340184
Inh L1-5 VIP LINC01013,1,0.0141743
Inh L1-5 VIP SMOC1,497,7.04465
Inh L1-6 LAMP5 AARD,5,0.0708717
Inh L1-6 LAMP5 CA1,85,1.20482
Inh L1-6 LAMP5 NES,77,1.09142
Inh L1-6 PVALB COL15A1,48,0.680369
Inh L1-6 SST NPY,43,0.609497
Inh L1-6 VIP SLC7A6OS,28,0.396882
Inh L2 PAX6 FREM2,31,0.439405
Inh L2 PVALB FRZB,1,0.0141743
Inh L2 VIP SLC6A16,6,0.0850461
Inh L2-3 SST NMU,11,0.155918
Inh L2-5 PVALB RPH3AL,49,0.694543
Inh L2-5 VIP BSPRY,4,0.0566974
Inh L2-5 VIP SOX11,11,0.155918
Inh L3-5 SST GGTLC3,4,0.0566974
Inh L3-5 VIP HS3ST3A1,6,0.0850461
Inh L3-5 VIP IGDCC3,19,0.269313
Inh L3-5 VIP TAC3,4,0.0566974
Inh L3-6 PAX6 LINC01497,126,1.78597
Inh L3-6 VIP ZIM2-AS1,10,0.141743
Inh L5 PVALB LRIG3,9,0.127569
Inh L5 SST RPL35AP11,2,0.0283487
Inh L5-6 LAMP5 CRABP1,49,0.694543
Inh L5-6 PVALB GAPDHP60,19,0.269313
Inh L5-6 PVALB MEPE,10,0.141743
Inh L5-6 PVALB ZFPM2-AS1,23,0.326010
Inh L5-6 SST C4orf26,14,0.198441
Inh L5-6 SST DNAJC14,11,0.155918
Inh L5-6 SST ISX,6,0.0850461
Inh L5-6 SST PAWR,14,0.198441
Inh L5-6 SST PIK3CD,6,0.0850461
Inh L5-6 VIP COL4A3,8,0.113395
Inh L6 SST TH,2,0.0283487
Micro L1-6 TYROBP CD74,139,1.97023
Oligo L2-6 OPALIN FTH1P3,759,10.7583
Oligo L3-6 OPALIN ENPP6,77,1.09142
Oligo L3-6 OPALIN LRP4-AS1,17,0.240964
OPC L1-6 PDGFRA COL20A1,213,3.01914
VLMC L1-5 PDGFRA COLEC12,43,0.609497
