cell_type,count,percentage
Astro L1-6 FGFR3 PLCG1,39,0.602131
Endo L2-5 NOSTRIN SRGN,6,0.0926355
Exc L2 LINC00507 GLRA3,655,10.1127
Exc L2-3 LINC00507 DSG3,45,0.694766
Exc L2-3 RORB CCDC68,284,4.38475
Exc L2-3 RORB PTPN3,90,1.38953
Exc L2-3 RORB RTKN2,70,1.08075
Exc L3 LAMP5 CARM1P1,492,7.59611
Exc L3 RORB OTOGL,143,2.20781
Exc L3 THEMIS ENPEP,145,2.23869
Exc L3-5 FEZF2 ASGR2,39,0.602131
Exc L3-5 FEZF2 LINC01107,4,0.0617570
Exc L3-5 RORB LAMA4,32,0.494056
Exc L3-5 RORB LINC01202,66,1.01899
Exc L3-5 RORB LNX2,500,7.71962
Exc L3-5 RORB RPRM,119,1.83727
Exc L3-5 RORB TNNT2,57,0.880037
Exc L5 FEZF2 CSN1S1,24,0.370542
Exc L5 FEZF2 NREP-AS1,22,0.339663
Exc L5 FEZF2 PKD2L1,61,0.941794
Exc L5 FEZF2 RNF144A-AS1,12,0.185271
Exc L5 RORB MED8,30,0.463177
Exc L5 THEMIS FGF10,10,0.154392
Exc L5 THEMIS LINC01116,12,0.185271
Exc L5 THEMIS RGPD6,7,0.108075
Exc L5 THEMIS SLC22A18,142,2.19237
Exc L5 THEMIS VILL,57,0.880037
Exc L5-6 FEZF2 C9orf135-AS1,214,3.30400
Exc L5-6 FEZF2 CFTR,13,0.200710
Exc L5-6 FEZF2 FILIP1L,27,0.416860
Exc L5-6 FEZF2 IFNG-AS1,81,1.25058
Exc L5-6 FEZF2 LPO,9,0.138953
Exc L5-6 FEZF2 OR1L8,29,0.447738
Exc L5-6 FEZF2 SH2D1B,12,0.185271
Exc L5-6 THEMIS SMYD1,130,2.00710
Exc L5-6 THEMIS TNFAIP6,238,3.67454
Exc L6 FEZF2 FFAR4,10,0.154392
Exc L6 FEZF2 KLK7,167,2.57835
Exc L6 FEZF2 PDYN,1,0.0154392
Exc L6 FEZF2 POGK,24,0.370542
Exc L6 FEZF2 PROKR2,12,0.185271
Exc L6 THEMIS LINC00343,262,4.04508
Exc L6 THEMIS SLN,40,0.617570
Exc L6 THEMIS SNTG2,176,2.71731
Inh L1 LAMP5 BMP2,1,0.0154392
Inh L1 LAMP5 NMBR,6,0.0926355
Inh L1 PAX6 MIR101-1,3,0.0463177
Inh L1 SST DEFB108B,1,0.0154392
Inh L1 VIP KLHDC8B,1,0.0154392
Inh L1-2 PVALB CDK20,1,0.0154392
Inh L1-2 SST CCNJL,19,0.293346
Inh L1-2 SST CLIC6,3,0.0463177
Inh L1-2 SST PRRT4,8,0.123514
Inh L1-2 VIP EXPH5,47,0.725645
Inh L1-2 VIP PTGER3,3,0.0463177
Inh L1-2 VIP SCML4,4,0.0617570
Inh L1-3 SST FAM20A,75,1.15794
Inh L1-3 VIP CBLN1,23,0.355103
Inh L1-3 VIP CHRNA2,30,0.463177
Inh L1-3 VIP FNDC1,2,0.0308785
Inh L1-3 VIP HSPB6,17,0.262467
Inh L1-5 VIP CD27-AS1,12,0.185271
Inh L1-5 VIP LINC01013,13,0.200710
Inh L1-5 VIP SMOC1,60,0.926355
Inh L1-6 LAMP5 AARD,111,1.71376
Inh L1-6 LAMP5 CA1,44,0.679327
Inh L1-6 LAMP5 NES,22,0.339663
Inh L1-6 PVALB COL15A1,24,0.370542
Inh L1-6 SST NPY,4,0.0617570
Inh L1-6 VIP SLC7A6OS,7,0.108075
Inh L2 PAX6 FREM2,8,0.123514
Inh L2 VIP SLC6A16,20,0.308785
Inh L2-3 SST NMU,29,0.447738
Inh L2-5 PVALB HHIPL1,25,0.385981
Inh L2-5 PVALB RPH3AL,205,3.16505
Inh L2-5 VIP BSPRY,1,0.0154392
Inh L2-5 VIP SOX11,4,0.0617570
Inh L3 PVALB SAMD13,76,1.17338
Inh L3-5 PVALB ISG20,13,0.200710
Inh L3-5 SST CDH3,3,0.0463177
Inh L3-5 SST GGTLC3,89,1.37409
Inh L3-5 SST OR5AH1P,10,0.154392
Inh L3-5 VIP HS3ST3A1,27,0.416860
Inh L3-5 VIP IGDCC3,35,0.540374
Inh L3-5 VIP TAC3,36,0.555813
Inh L3-6 VIP ZIM2-AS1,15,0.231589
Inh L5 PVALB LRIG3,52,0.802841
Inh L5 SST RPL35AP11,93,1.43585
Inh L5-6 LAMP5 CRABP1,84,1.29690
Inh L5-6 PVALB FAM150B,13,0.200710
Inh L5-6 PVALB GAPDHP60,16,0.247028
Inh L5-6 PVALB KCNIP2,20,0.308785
Inh L5-6 PVALB MEPE,35,0.540374
Inh L5-6 PVALB SST CRHR2,31,0.478617
Inh L5-6 PVALB ZFPM2-AS1,30,0.463177
Inh L5-6 SST BEAN1,15,0.231589
Inh L5-6 SST C4orf26,11,0.169832
Inh L5-6 SST DNAJC14,3,0.0463177
Inh L5-6 SST ISX,34,0.524934
Inh L5-6 SST KLHL1,30,0.463177
Inh L5-6 SST PAWR,14,0.216149
Inh L5-6 SST PIK3CD,10,0.154392
Inh L5-6 VIP COL4A3,3,0.0463177
Inh L6 SST TH,8,0.123514
Micro L1-6 TYROBP CD74,10,0.154392
Oligo L2-6 OPALIN FTH1P3,152,2.34677
Oligo L2-6 OPALIN MAP6D1,23,0.355103
Oligo L3-6 OPALIN ENPP6,17,0.262467
Oligo L3-6 OPALIN LRP4-AS1,5,0.0771962
OPC L1-6 PDGFRA COL20A1,12,0.185271
VLMC L1-5 PDGFRA COLEC12,11,0.169832
