cell_type,count,percentage
Astro L1-6 FGFR3 AQP1,3,0.0415053
Astro L1-6 FGFR3 PLCG1,136,1.88157
Endo L2-5 NOSTRIN SRGN,4,0.0553403
Exc L2 LINC00507 ATP7B,4,0.0553403
Exc L2 LINC00507 GLRA3,2351,32.5263
Exc L2-3 RORB CCDC68,64,0.885445
Exc L2-3 RORB PTPN3,89,1.23132
Exc L3 LAMP5 CARM1P1,34,0.470393
Exc L3 RORB OTOGL,92,1.27283
Exc L3 THEMIS ENPEP,106,1.46652
Exc L3-5 RORB LINC01202,565,7.81682
Exc L3-5 RORB LNX2,396,5.47869
Exc L3-5 RORB RPRM,157,2.17211
Exc L3-5 RORB TNNT2,7,0.0968456
Exc L5 FEZF2 CSN1S1,11,0.152186
Exc L5 FEZF2 RNF144A-AS1,9,0.124516
Exc L5 RORB MED8,90,1.24516
Exc L5 THEMIS SLC22A18,46,0.636414
Exc L5-6 FEZF2 C9orf135-AS1,129,1.78473
Exc L5-6 FEZF2 IFNG-AS1,88,1.21749
Exc L5-6 FEZF2 LPO,2,0.0276702
Exc L5-6 FEZF2 OR1L8,4,0.0553403
Exc L5-6 THEMIS SMYD1,111,1.53569
Exc L5-6 THEMIS TNFAIP6,36,0.498063
Exc L6 FEZF2 FFAR4,6,0.0830105
Exc L6 FEZF2 KLK7,51,0.705589
Exc L6 FEZF2 PROKR2,16,0.221361
Exc L6 THEMIS LINC00343,184,2.54566
Exc L6 THEMIS SLN,46,0.636414
Exc L6 THEMIS SNTG2,2,0.0276702
Inh L1 LAMP5 BMP2,31,0.428888
Inh L1 LAMP5 NMBR,12,0.166021
Inh L1 LAMP5 PVRL2,4,0.0553403
Inh L1 LAMP5 RAB11FIP1,14,0.193691
Inh L1 PAX6 CHRFAM7A,49,0.677919
Inh L1 PAX6 MIR101-1,5,0.0691754
Inh L1 PVALB SST ASIC4,30,0.415053
Inh L1 SST DEFB108B,40,0.553403
Inh L1 SST P4HA3,9,0.124516
Inh L1 VIP KLHDC8B,3,0.0415053
Inh L1-2 PVALB CDK20,35,0.484228
Inh L1-2 SST CCNJL,51,0.705589
Inh L1-2 SST CLIC6,17,0.235196
Inh L1-2 SST PRRT4,84,1.16215
Inh L1-2 VIP EXPH5,48,0.664084
Inh L1-2 VIP HTR3A,2,0.0276702
Inh L1-2 VIP SCML4,19,0.262867
Inh L1-3 SST FAM20A,169,2.33813
Inh L1-3 VIP CBLN1,50,0.691754
Inh L1-3 VIP CHRNA2,29,0.401217
Inh L1-3 VIP FNDC1,12,0.166021
Inh L1-3 VIP HSPB6,105,1.45268
Inh L1-5 VIP CD27-AS1,1,0.0138351
Inh L1-5 VIP LINC01013,28,0.387382
Inh L1-5 VIP SMOC1,66,0.913116
Inh L1-6 LAMP5 AARD,89,1.23132
Inh L1-6 LAMP5 CA1,34,0.470393
Inh L1-6 LAMP5 NES,34,0.470393
Inh L1-6 PVALB COL15A1,9,0.124516
Inh L1-6 SST NPY,11,0.152186
Inh L2 PAX6 FREM2,2,0.0276702
Inh L2 PVALB FRZB,5,0.0691754
Inh L2 VIP SLC6A16,18,0.249032
Inh L2-3 SST NMU,18,0.249032
Inh L2-5 PVALB HHIPL1,1,0.0138351
Inh L2-5 PVALB RPH3AL,269,3.72164
Inh L2-5 VIP SOX11,9,0.124516
Inh L3 PVALB SAMD13,11,0.152186
Inh L3-5 SST GGTLC3,113,1.56336
Inh L3-5 SST OR5AH1P,8,0.110681
Inh L3-5 VIP HS3ST3A1,13,0.179856
Inh L3-5 VIP IGDCC3,30,0.415053
Inh L3-5 VIP TAC3,12,0.166021
Inh L3-6 PAX6 LINC01497,2,0.0276702
Inh L3-6 VIP ZIM2-AS1,6,0.0830105
Inh L5 PVALB LRIG3,2,0.0276702
Inh L5 SST RPL35AP11,68,0.940786
Inh L5-6 LAMP5 CRABP1,39,0.539568
Inh L5-6 PVALB GAPDHP60,7,0.0968456
Inh L5-6 PVALB MEPE,28,0.387382
Inh L5-6 PVALB SST CRHR2,7,0.0968456
Inh L5-6 PVALB ZFPM2-AS1,19,0.262867
Inh L5-6 SST C4orf26,6,0.0830105
Inh L5-6 SST DNAJC14,2,0.0276702
Inh L5-6 SST KLHL1,23,0.318207
Inh L5-6 SST PAWR,8,0.110681
Inh L5-6 SST PIK3CD,4,0.0553403
Inh L5-6 VIP COL4A3,2,0.0276702
Inh L6 SST TH,3,0.0415053
Micro L1-6 TYROBP CD74,90,1.24516
Oligo L2-6 OPALIN FTH1P3,365,5.04981
Oligo L2-6 OPALIN MAP6D1,15,0.207526
Oligo L3-6 OPALIN ENPP6,4,0.0553403
Oligo L3-6 OPALIN LRP4-AS1,2,0.0276702
OPC L1-6 PDGFRA COL20A1,70,0.968456
VLMC L1-5 PDGFRA COLEC12,18,0.249032
