cell_type,count,percentage
Astro L1-6 FGFR3 AQP1,2,0.0297442
Astro L1-6 FGFR3 PLCG1,119,1.76978
Endo L2-5 NOSTRIN SRGN,3,0.0446163
Exc L2 LINC00507 ATP7B,3,0.0446163
Exc L2 LINC00507 GLRA3,2741,40.7644
Exc L2-3 LINC00507 DSG3,1,0.0148721
Exc L2-3 RORB CCDC68,66,0.981559
Exc L2-3 RORB PTPN3,95,1.41285
Exc L2-3 RORB RTKN2,33,0.490779
Exc L3 LAMP5 CARM1P1,116,1.72516
Exc L3 RORB OTOGL,199,2.95955
Exc L3 THEMIS ENPEP,70,1.04105
Exc L3-5 RORB LINC01202,343,5.10113
Exc L3-5 RORB LNX2,323,4.80369
Exc L3-5 RORB RPRM,83,1.23438
Exc L3-5 RORB TNNT2,10,0.148721
Exc L5 FEZF2 CSN1S1,11,0.163593
Exc L5 FEZF2 NREP-AS1,4,0.0594884
Exc L5 FEZF2 RNF144A-AS1,8,0.118977
Exc L5 RORB MED8,54,0.803093
Exc L5 THEMIS FGF10,4,0.0594884
Exc L5 THEMIS SLC22A18,17,0.252826
Exc L5-6 FEZF2 C9orf135-AS1,15,0.223081
Exc L5-6 FEZF2 IFNG-AS1,32,0.475907
Exc L5-6 THEMIS SMYD1,27,0.401547
Exc L5-6 THEMIS TNFAIP6,21,0.312314
Exc L6 FEZF2 KLK7,5,0.0743605
Exc L6 THEMIS LINC00343,51,0.758477
Exc L6 THEMIS SNTG2,2,0.0297442
Inh L1 LAMP5 BMP2,31,0.461035
Inh L1 LAMP5 NMBR,44,0.654372
Inh L1 LAMP5 PVRL2,10,0.148721
Inh L1 LAMP5 RAB11FIP1,32,0.475907
Inh L1 PAX6 CHRFAM7A,25,0.371802
Inh L1 PAX6 MIR101-1,25,0.371802
Inh L1 PVALB SST ASIC4,59,0.877454
Inh L1 SST DEFB108B,43,0.639500
Inh L1 SST P4HA3,7,0.104105
Inh L1 VIP KLHDC8B,10,0.148721
Inh L1-2 PVALB CDK20,17,0.252826
Inh L1-2 SST CCNJL,98,1.45747
Inh L1-2 SST CLIC6,3,0.0446163
Inh L1-2 SST PRRT4,107,1.59131
Inh L1-2 VIP EXPH5,100,1.48721
Inh L1-2 VIP SCML4,21,0.312314
Inh L1-3 SST FAM20A,200,2.97442
Inh L1-3 VIP CBLN1,41,0.609756
Inh L1-3 VIP CHRNA2,40,0.594884
Inh L1-3 VIP FNDC1,31,0.461035
Inh L1-3 VIP HSPB6,93,1.38311
Inh L1-5 VIP CD27-AS1,3,0.0446163
Inh L1-5 VIP LINC01013,22,0.327186
Inh L1-5 VIP PHLDB3,2,0.0297442
Inh L1-5 VIP SMOC1,49,0.728733
Inh L1-6 LAMP5 AARD,91,1.35336
Inh L1-6 LAMP5 CA1,21,0.312314
Inh L1-6 PVALB COL15A1,21,0.312314
Inh L1-6 SST NPY,2,0.0297442
Inh L2 PAX6 FREM2,2,0.0297442
Inh L2 PVALB FRZB,15,0.223081
Inh L2 VIP SLC6A16,44,0.654372
Inh L2-3 SST NMU,22,0.327186
Inh L2-5 PVALB HHIPL1,7,0.104105
Inh L2-5 PVALB RPH3AL,278,4.13444
Inh L3 PVALB SAMD13,15,0.223081
Inh L3-5 SST GGTLC3,107,1.59131
Inh L3-5 SST OR5AH1P,12,0.178465
Inh L3-5 VIP HS3ST3A1,17,0.252826
Inh L3-5 VIP IGDCC3,31,0.461035
Inh L3-5 VIP TAC3,20,0.297442
Inh L3-6 PAX6 LINC01497,3,0.0446163
Inh L3-6 VIP ZIM2-AS1,4,0.0594884
Inh L5 PVALB LRIG3,1,0.0148721
Inh L5 SST RPL35AP11,23,0.342058
Inh L5-6 LAMP5 CRABP1,19,0.282570
Inh L5-6 PVALB FAM150B,3,0.0446163
Inh L5-6 PVALB GAPDHP60,4,0.0594884
Inh L5-6 PVALB KCNIP2,4,0.0594884
Inh L5-6 PVALB MEPE,3,0.0446163
Inh L5-6 PVALB SST CRHR2,12,0.178465
Inh L5-6 PVALB ZFPM2-AS1,1,0.0148721
Inh L5-6 SST KLHL1,10,0.148721
Inh L5-6 SST PAWR,5,0.0743605
Inh L6 SST TH,3,0.0446163
Micro L1-6 TYROBP CD74,32,0.475907
Oligo L2-6 OPALIN FTH1P3,228,3.39084
Oligo L2-6 OPALIN MAP6D1,25,0.371802
Oligo L3-6 OPALIN ENPP6,6,0.0892326
Oligo L3-6 OPALIN LRP4-AS1,1,0.0148721
OPC L1-6 PDGFRA COL20A1,50,0.743605
VLMC L1-5 PDGFRA COLEC12,11,0.163593
