cell_type,count,percentage
Astro L1-6 FGFR3 AQP1,21,0.165811
Astro L1-6 FGFR3 PLCG1,331,2.61350
Endo L2-5 NOSTRIN SRGN,38,0.300039
Exc L2 LAMP5 KCNG3,8,0.0631662
Exc L2 LINC00507 ATP7B,18,0.142124
Exc L2 LINC00507 GLRA3,3591,28.3537
Exc L2-3 LINC00507 DSG3,9,0.0710620
Exc L2-3 RORB CCDC68,128,1.01066
Exc L2-3 RORB PTPN3,189,1.49230
Exc L2-3 RORB RTKN2,64,0.505330
Exc L3 LAMP5 CARM1P1,43,0.339518
Exc L3 RORB OTOGL,295,2.32925
Exc L3 THEMIS ENPEP,114,0.900118
Exc L3-5 FEZF2 ASGR2,10,0.0789578
Exc L3-5 RORB LAMA4,5,0.0394789
Exc L3-5 RORB LINC01202,756,5.96921
Exc L3-5 RORB LNX2,828,6.53770
Exc L3-5 RORB RPRM,432,3.41098
Exc L3-5 RORB TNNT2,56,0.442163
Exc L5 FEZF2 CSN1S1,38,0.300039
Exc L5 FEZF2 NREP-AS1,35,0.276352
Exc L5 FEZF2 RNF144A-AS1,26,0.205290
Exc L5 RORB MED8,188,1.48441
Exc L5 THEMIS FGF10,10,0.0789578
Exc L5 THEMIS SLC22A18,184,1.45282
Exc L5 THEMIS VILL,5,0.0394789
Exc L5-6 FEZF2 C9orf135-AS1,152,1.20016
Exc L5-6 FEZF2 FILIP1L,2,0.0157916
Exc L5-6 FEZF2 IFNG-AS1,101,0.797473
Exc L5-6 FEZF2 LPO,2,0.0157916
Exc L5-6 FEZF2 OR1L8,4,0.0315831
Exc L5-6 THEMIS SMYD1,157,1.23964
Exc L5-6 THEMIS TNFAIP6,76,0.600079
Exc L6 FEZF2 FFAR4,11,0.0868535
Exc L6 FEZF2 KLK7,144,1.13699
Exc L6 FEZF2 POGK,1,0.00789578
Exc L6 FEZF2 PROKR2,9,0.0710620
Exc L6 THEMIS LINC00343,290,2.28977
Exc L6 THEMIS SLN,39,0.307935
Exc L6 THEMIS SNTG2,72,0.568496
Inh L1 LAMP5 BMP2,57,0.450059
Inh L1 LAMP5 NMBR,42,0.331623
Inh L1 LAMP5 PVRL2,7,0.0552704
Inh L1 LAMP5 RAB11FIP1,29,0.228977
Inh L1 PAX6 CHRFAM7A,54,0.426372
Inh L1 PAX6 MIR101-1,28,0.221082
Inh L1 PVALB SST ASIC4,46,0.363206
Inh L1 SST DEFB108B,68,0.536913
Inh L1 SST P4HA3,23,0.181603
Inh L1 VIP KLHDC8B,14,0.110541
Inh L1-2 PVALB CDK20,30,0.236873
Inh L1-2 SST CCNJL,123,0.971180
Inh L1-2 SST CLIC6,4,0.0315831
Inh L1-2 SST PRRT4,148,1.16857
Inh L1-2 VIP EXPH5,139,1.09751
Inh L1-2 VIP HTR3A,2,0.0157916
Inh L1-2 VIP PTGER3,10,0.0789578
Inh L1-2 VIP SCML4,9,0.0710620
Inh L1-3 SST FAM20A,318,2.51086
Inh L1-3 VIP CBLN1,50,0.394789
Inh L1-3 VIP CHRNA2,48,0.378997
Inh L1-3 VIP FNDC1,28,0.221082
Inh L1-3 VIP HSPB6,132,1.04224
Inh L1-5 VIP CD27-AS1,14,0.110541
Inh L1-5 VIP LINC01013,20,0.157916
Inh L1-5 VIP PHLDB3,12,0.0947493
Inh L1-5 VIP SMOC1,116,0.915910
Inh L1-6 LAMP5 AARD,90,0.710620
Inh L1-6 LAMP5 CA1,40,0.315831
Inh L1-6 LAMP5 NES,49,0.386893
Inh L1-6 PVALB COL15A1,52,0.410580
Inh L1-6 SST NPY,7,0.0552704
Inh L1-6 VIP SLC7A6OS,9,0.0710620
Inh L2 PAX6 FREM2,11,0.0868535
Inh L2 PVALB FRZB,27,0.213186
Inh L2 VIP SLC6A16,53,0.418476
Inh L2-3 SST NMU,70,0.552704
Inh L2-5 PVALB HHIPL1,19,0.150020
Inh L2-5 PVALB RPH3AL,534,4.21634
Inh L2-5 VIP BSPRY,1,0.00789578
Inh L2-5 VIP SOX11,13,0.102645
Inh L3 PVALB SAMD13,56,0.442163
Inh L3-5 SST CDH3,3,0.0236873
Inh L3-5 SST GGTLC3,257,2.02921
Inh L3-5 SST OR5AH1P,11,0.0868535
Inh L3-5 VIP HS3ST3A1,34,0.268456
Inh L3-5 VIP IGDCC3,59,0.465851
Inh L3-5 VIP TAC3,38,0.300039
Inh L3-6 PAX6 LINC01497,12,0.0947493
Inh L3-6 VIP ZIM2-AS1,13,0.102645
Inh L5 PVALB LRIG3,9,0.0710620
Inh L5 SST RPL35AP11,96,0.757994
Inh L5-6 LAMP5 CRABP1,53,0.418476
Inh L5-6 PVALB FAM150B,5,0.0394789
Inh L5-6 PVALB GAPDHP60,14,0.110541
Inh L5-6 PVALB KCNIP2,2,0.0157916
Inh L5-6 PVALB MEPE,27,0.213186
Inh L5-6 PVALB SST CRHR2,17,0.134228
Inh L5-6 PVALB ZFPM2-AS1,21,0.165811
Inh L5-6 SST BEAN1,5,0.0394789
Inh L5-6 SST C4orf26,12,0.0947493
Inh L5-6 SST FBN2,13,0.102645
Inh L5-6 SST ISX,9,0.0710620
Inh L5-6 SST KLHL1,18,0.142124
Inh L5-6 SST PAWR,18,0.142124
Inh L5-6 SST PIK3CD,4,0.0315831
Inh L5-6 VIP COL4A3,1,0.00789578
Inh L6 SST TH,11,0.0868535
Micro L1-6 TYROBP CD74,180,1.42124
Oligo L2-6 OPALIN FTH1P3,450,3.55310
Oligo L2-6 OPALIN MAP6D1,48,0.378997
Oligo L3-6 OPALIN ENPP6,15,0.118437
Oligo L3-6 OPALIN LRP4-AS1,5,0.0394789
OPC L1-6 PDGFRA COL20A1,120,0.947493
VLMC L1-5 PDGFRA COLEC12,1,0.00789578
