"","cell_type","count","percentage"
"1","aDC1",81,0.0307635046088287
"2","aDC2",16,0.00607674165112667
"3","aDC3",83,0.0315230973152196
"4","Basal cells",55,0.0208887994257479
"5","C1Q HLA macrophages",301,0.11431870231182
"6","CD14+CD55+ FDC",36,0.013672668715035
"7","CD16-CD56- NK",142,0.0539310821537492
"8","CD16-CD56+ NK",142,0.0539310821537492
"9","CD16+CD56- NK",54,0.0205090030725525
"10","CD56+ gd T",215,0.0816562159370146
"11","CD8 Tf",341,0.129510556439637
"12","class switch MBC",44,0.0167110395405983
"13","CM CD8 T",750,0.284847264896562
"14","CM Pre-non-Tfh",4528,1.71971788726885
"15","CM PreTfh",5320,2.02051659899962
"16","Crypt",88,0.0334220790811967
"17","csMBC",20611,7.82798263571073
"18","csMBC FCRL4+",5973,2.26852361763622
"19","CXCR6+ RM CD8 T",1312,0.498292815392387
"20","Cycling",70,0.0265857447236792
"21","cycling FDC",223,0.0846945867625779
"22","cycling T",1860,0.706421216943475
"23","Dark Zone GCBC",8,0.00303837082556333
"24","DC recruiters CD8 T",434,0.164831617286811
"25","DC1 mature",86,0.0326624863748058
"26","DC1 precursor",104,0.0394988207323233
"27","DC2",181,0.0687431399283704
"28","DC3",20,0.00759592706390833
"29","DC4",28,0.0106342978894717
"30","DC5",95,0.0360806535535646
"31","DN",694,0.263578669117619
"32","DZ FDC",275,0.10444399712874
"33","DZ migratory PC precursor",90,0.0341816717875875
"34","DZ_G2M_CCNBHigh",5347,2.03077110053589
"35","DZ_G2M_HistoneHigh",4722,1.79339837978876
"36","DZ_Sphase",6366,2.41778358444202
"37","DZ_Sphase_HistoneHigh",7977,3.02963550943984
"38","DZ-cell cycle exit",605,0.229776793683227
"39","DZ-nonproliferative",1705,0.647552782198185
"40","DZ-nonproliferative_FOXP1hi",7690,2.92063395607275
"41","DZ/LZ",17603,6.68555520529892
"42","Early GC-commited MYC+",2564,0.973797849593048
"43","Early MBC",948,0.360046942829255
"44","Early PC precursor",130,0.0493735259154042
"45","Eff-Tregs",1986,0.754275557446097
"46","epithelial_multiome",84,0.031902893668415
"47","FCRL5+ MBC",1733,0.658187080087657
"48","FDC_multiome",54,0.0205090030725525
"49","FDCSP epithelium",33,0.0125332796554487
"50","FRC",26,0.00987470518308083
"51","GC DZ Noproli",362,0.137486279856741
"52","GC LZ Noproli",188,0.0714017144007383
"53","GC-commited metabolic activation",4006,1.52146419090084
"54","GC-commited MIR155HG-",1724,0.654768912908898
"55","GC-commited MIR155HG+",1666,0.632740724423564
"56","GC-Tf-regs",1101,0.418155784868154
"57","GC-Tfh-0X40",1615,0.613371110410598
"58","GC-Tfh-SAP",7465,2.83517977660378
"59","IFN CD8 T",60,0.022787781191725
"60","IFN1+ PDC",50,0.0189898176597708
"61","IgD PC precursor",267,0.101405626303176
"62","IgG+ PC precursor",2064,0.78389967299534
