,hubmap_id,organ,sex,type_of_hubmap_id
0,CODEX_Florida_19-003-lymph-node-R2,Lymph_Node_HuBMAP_Portal,none,none
1,CODEX_Florida_20-008-lymphnode10_righthalf,Lymph_Node_HuBMAP_Portal,none,none
2,HBM892.HQDK.764,Kidney_HuBMAP_Portal,['Male'],dataset
3,HBM537.GVTL.683,Kidney_HuBMAP_Portal,['Male'],dataset
4,HBM932.TBDW.952,Kidney_HuBMAP_Portal,['Female'],dataset
5,HBM679.ZVHH.999,Kidney_HuBMAP_Portal,['Male'],dataset
6,HBM837.TDQQ.538,Kidney_HuBMAP_Portal,['Female'],dataset
7,HBM724.LVHJ.956,Kidney_HuBMAP_Portal,[nan],dataset
8,HBM987.ZCTQ.736,Kidney_HuBMAP_Portal,['Male'],dataset
9,HBM688.FLJB.475,Kidney_HuBMAP_Portal,['Male'],dataset
10,HBM495.ZFDT.229,Kidney_HuBMAP_Portal,['Male'],dataset
11,HBM537.SKND.632,Kidney_HuBMAP_Portal,['Female'],dataset
12,HBM996.XSNK.694,Kidney_HuBMAP_Portal,['Male'],dataset
13,HBM494.MQQL.234,Kidney_HuBMAP_Portal,[nan],dataset
14,HBM476.VHDB.268,Kidney_HuBMAP_Portal,['Male'],dataset
15,HBM837.HQNL.776,Kidney_HuBMAP_Portal,[nan],dataset
16,HBM994.XRGN.328,Kidney_HuBMAP_Portal,['Male'],dataset
17,HBM865.TRVX.355,Kidney_HuBMAP_Portal,['Female'],dataset
18,HBM332.KQWB.454,Kidney_HuBMAP_Portal,['Male'],dataset
19,HBM349.BJZL.272,Kidney_HuBMAP_Portal,['Male'],dataset
20,HBM786.HSRC.868,Kidney_HuBMAP_Portal,[nan],dataset
21,HBM532.RKTB.483,Kidney_HuBMAP_Portal,['Male'],dataset
22,HBM729.RCXL.887,Kidney_HuBMAP_Portal,['Male'],dataset
23,HBM944.XPFX.655,Kidney_HuBMAP_Portal,['Male'],dataset
24,HBM664.LQSH.693,Kidney_HuBMAP_Portal,['Male'],dataset
25,HBM799.ZJDP.379,Kidney_HuBMAP_Portal,['Male'],dataset
26,HBM243.MTZV.726,Kidney_HuBMAP_Portal,['Male'],dataset
27,HBM258.HQCL.349,Kidney_HuBMAP_Portal,['Male'],dataset
28,HBM938.FTRX.289,Kidney_HuBMAP_Portal,['Female'],dataset
29,HBM297.XVDG.492,Kidney_HuBMAP_Portal,['Male'],dataset
30,HBM252.JLSW.848,Kidney_HuBMAP_Portal,['Male'],dataset
31,HBM388.SGMJ.342,Kidney_HuBMAP_Portal,['Male'],dataset
