"","cell_type","count"
"1","Afferent / Efferent Arteriole Endothelial",10
"2","Ascending Thin Limb",1
"3","Ascending Vasa Recta Endothelial",1
"4","Connecting Tubule",663
"5","Cortical Collecting Duct Intercalated Type A",1
"6","Cortical Vascular Smooth Muscle / Pericyte",83
"7","Descending Thin Limb Type 1",210
"8","Descending Thin Limb Type 3",1
"9","Descending Vasa Recta Endothelial ",12
"10","Fibroblast",106
"11","Inner Medullary Collecting Duct",4204
"12","Lymphatic Endothelial",5
"13","M2 Macrophage",31
"14","Medullary Fibroblast",305
"15","Papillary Tip Epithelial",332
"16","Peritubular Capilary Endothelial ",14
"17","Vascular Smooth Muscle / Pericyte",19
