"","cell_type","count"
"1","Ascending Thin Limb",62
"2","Ascending Vasa Recta Endothelial",11
"3","Connecting Tubule",147
"4","Cortical Collecting Duct Principal",72
"5","Cortical Thick Ascending Limb",18
"6","Descending Thin Limb Type 1",344
"7","Descending Thin Limb Type 2",9
"8","Descending Thin Limb Type 3",12
"9","Descending Vasa Recta Endothelial ",3
"10","Fibroblast",1
"11","Inner Medullary Collecting Duct",141
"12","Intercalated Type B",1
"13","Lymphatic Endothelial",1
"14","M2 Macrophage",2
"15","Macula Densa",5
"16","Medullary Fibroblast",31
"17","Medullary Thick Ascending Limb",580
"18","Natural Killer T",1
"19","Outer Medullary Collecting Duct Intercalated Type A",34
"20","Outer Medullary Collecting Duct Principal",13
"21","Papillary Tip Epithelial",3
"22","Parietal Epithelial",1
"23","Vascular Smooth Muscle / Pericyte",8
