"","cell_type","count"
"1","Afferent / Efferent Arteriole Endothelial",2
"2","Ascending Thin Limb",9
"3","Ascending Vasa Recta Endothelial",18
"4","B",1
"5","Connecting Tubule",78
"6","Connecting Tubule Principal",5
"7","Cortical Collecting Duct Intercalated Type A",33
"8","Cortical Collecting Duct Principal",138
"9","Cortical Thick Ascending Limb",797
"10","Cortical Vascular Smooth Muscle / Pericyte",1
"11","Descending Thin Limb Type 1",981
"12","Descending Thin Limb Type 2",33
"13","Descending Thin Limb Type 3",4
"14","Descending Vasa Recta Endothelial ",21
"15","Distal Convoluted Tubule Type 1",49
"16","Fibroblast",1
"17","Glomerular Capillary Endothelial",8
"18","Inner Medullary Collecting Duct",1082
"19","Intercalated Type B",3
"20","Macula Densa",32
"21","Medullary Fibroblast",6
"22","Medullary Thick Ascending Limb",547
"23","Non-classical monocyte",1
"24","Outer Medullary Collecting Duct Intercalated Type A",18
"25","Outer Medullary Collecting Duct Principal",3
"26","Parietal Epithelial",1
"27","Peritubular Capilary Endothelial ",20
"28","Podocyte",28
"29","Proximal Tubule Epithelial Segment 1",48
"30","Proximal Tubule Epithelial Segment 2",1
"31","Proximal Tubule Epithelial Segment 3",11
"32","Vascular Smooth Muscle / Pericyte",2
