"cell_type","annotation_level","cell_type_ontology_term_id","sex","race","count","percentage","location","laterality","y_pos"
"Afferent / Efferent Arteriole Endothelial","kidney_l3","CL:1001096","Female","W","18","0.647017","upper pole","left","109.724"
"Ascending Vasa Recta Endothelial","kidney_l3","CL:1001131","Female","W","18","0.647017","upper pole","left",""
"B","kidney_l3","CL:0000785","Female","W","2","0.0718907","upper pole","left",""
"Classical Dendritic","kidney_l3","CL:0000451","Female","W","3","0.107836","upper pole","left",""
"Connecting Tubule","kidney_l3","CL:1000768","Female","W","99","3.55859","upper pole","left",""
"Connecting Tubule Intercalated Type A","kidney_l3","CL:0005011","Female","W","3","0.107836","upper pole","left",""
"Connecting Tubule Principal","kidney_l3","CL:1001431","Female","W","9","0.323508","upper pole","left",""
"Cortical Collecting Duct Intercalated Type A","kidney_l3","CL:0005011","Female","W","117","4.20561","upper pole","left",""
"Cortical Collecting Duct Principal","kidney_l3","CL:1001431","Female","W","129","4.63695","upper pole","left",""
"Cortical Thick Ascending Limb","kidney_l3","","Female","W","399","14.3422","upper pole","left",""
"Cortical Vascular Smooth Muscle / Pericyte","kidney_l3","CL:0000359","Female","W","38","1.36592","upper pole","left",""
"Descending Thin Limb Type 1","kidney_l3","CL:1001111","Female","W","1","0.0359454","upper pole","left",""
"Descending Thin Limb Type 2","kidney_l3","CL:1001111","Female","W","13","0.46729","upper pole","left",""
"Descending Vasa Recta Endothelial","kidney_l3","CL:1001285","Female","W","14","0.503235","upper pole","left",""
"Distal Convoluted Tubule Type 1","kidney_l3","CL:1000849","Female","W","287","10.3163","upper pole","left",""
"Distal Convoluted Tubule Type 2","kidney_l3","CL:1000849","Female","W","44","1.5816","upper pole","left",""
"Fibroblast","kidney_l3","CL:0000057","Female","W","15","0.53918","upper pole","left",""
"Glomerular Capillary Endothelial","kidney_l3","CL:1001005","Female","W","120","4.31344","upper pole","left",""
"Intercalated Type B","kidney_l3","CL:0002201","Female","W","26","0.934579","upper pole","left",""
"Lymphatic Endothelial","kidney_l3","CL:0002138","Female","W","7","0.251618","upper pole","left",""
"Macula Densa","kidney_l3","CL:1000850","Female","W","64","2.3005","upper pole","left",""
"Mast","kidney_l3","CL:0000097","Female","W","4","0.143781","upper pole","left",""
"Medullary Thick Ascending Limb","kidney_l3","CL:1001108","Female","W","1","0.0359454","upper pole","left",""
"Mesangial","kidney_l3","CL:0000650","Female","W","7","0.251618","upper pole","left",""
"Monocyte","kidney_l3","","Female","W","7","0.251618","upper pole","left",""
"Monocyte-derived","kidney_l3","CL:0000576","Female","W","22","0.790798","upper pole","left",""
"Natural Killer / Natural Killer T","kidney_l3","","Female","W","18","0.647017","upper pole","left",""
"Neutrophil","kidney_l3","CL:0000775","Female","W","2","0.0718907","upper pole","left",""
"Outer Medullary Collecting Duct Intercalated Type A","kidney_l3","CL:1000717","Female","W","1","0.0359454","upper pole","left",""
"Papillary Tip Epithelial","kidney_l3","CL:1000597","Female","W","1","0.0359454","upper pole","left",""
"Parietal Epithelial","kidney_l3","CL:1000452","Female","W","36","1.29403","upper pole","left",""
"Peritubular Capilary Endothelial","kidney_l3","CL:1001033","Female","W","303","10.8914","upper pole","left",""
"Plasma","kidney_l3","CL:0000786","Female","W","2","0.0718907","upper pole","left",""
"Podocyte","kidney_l3","CL:0000653","Female","W","165","5.93098","upper pole","left",""
"Proximal Tubule Epithelial Segment 1","kidney_l3","CL:0002306","Female","W","407","14.6298","upper pole","left",""
"Proximal Tubule Epithelial Segment 2","kidney_l3","CL:0002306","Female","W","42","1.50971","upper pole","left",""
"Proximal Tubule Epithelial Segment 3","kidney_l3","CL:0002306","Female","W","202","7.26096","upper pole","left",""
"Renin-positive Juxtaglomerular Granular","kidney_l3","CL:0000648","Female","W","3","0.107836","upper pole","left",""
"T","kidney_l3","CL:000084","Female","W","58","2.08483","upper pole","left",""
"Tissue-resident Macrophage","kidney_l3","","Female","W","36","1.29403","upper pole","left",""
"Vascular Smooth Muscle / Pericyte","kidney_l3","CL:0000359","Female","W","39","1.40187","upper pole","left",""
