"","cell_type","count"
"1","Ascending Thin Limb",394
"2","Ascending Vasa Recta Endothelial",6
"3","Connecting Tubule",2581
"4","Connecting Tubule Principal",14
"5","Cortical Collecting Duct Principal",86
"6","Cortical Thick Ascending Limb",236
"7","Cortical Vascular Smooth Muscle / Pericyte",1
"8","Descending Thin Limb Type 1",4447
"9","Descending Thin Limb Type 2",43
"10","Descending Thin Limb Type 3",22
"11","Descending Vasa Recta Endothelial ",8
"12","Distal Convoluted Tubule Type 1",106
"13","Fibroblast",608
"14","Inner Medullary Collecting Duct",3450
"15","M2 Macrophage",17
"16","Macula Densa",42
"17","Medullary Fibroblast",144
"18","Medullary Thick Ascending Limb",2706
"19","Outer Medullary Collecting Duct Intercalated Type A",6
"20","Outer Medullary Collecting Duct Principal",6
"21","Papillary Tip Epithelial",24
"22","Parietal Epithelial",5
"23","Peritubular Capilary Endothelial ",6
"24","Podocyte",1
"25","Proximal Tubule Epithelial Segment 1",2
"26","Proximal Tubule Epithelial Segment 3",32
"27","T",1
"28","Vascular Smooth Muscle / Pericyte",4
