"","cell_type","count"
"1","Afferent / Efferent Arteriole Endothelial",1
"2","Ascending Vasa Recta Endothelial",3
"3","Connecting Tubule",846
"4","Connecting Tubule Principal",1
"5","Cortical Collecting Duct Intercalated Type A",3
"6","Cortical Collecting Duct Principal",317
"7","Cortical Vascular Smooth Muscle / Pericyte",54
"8","Descending Thin Limb Type 1",526
"9","Descending Thin Limb Type 2",3
"10","Descending Vasa Recta Endothelial ",19
"11","Distal Convoluted Tubule Type 1",10
"12","Fibroblast",362
"13","Inner Medullary Collecting Duct",7557
"14","M2 Macrophage",7
"15","Medullary Fibroblast",207
"16","Outer Medullary Collecting Duct Intercalated Type A",19
"17","Papillary Tip Epithelial",370
"18","Parietal Epithelial",1
"19","Peritubular Capilary Endothelial ",72
"20","Vascular Smooth Muscle / Pericyte",20
