"","cell_type","count"
"1","Afferent / Efferent Arteriole Endothelial",1
"2","Ascending Vasa Recta Endothelial",1
"3","Connecting Tubule",933
"4","Cortical Thick Ascending Limb",18
"5","Descending Thin Limb Type 1",491
"6","Descending Thin Limb Type 2",3
"7","Descending Thin Limb Type 3",1
"8","Distal Convoluted Tubule Type 1",1
"9","Fibroblast",10
"10","Inner Medullary Collecting Duct",25
"11","M2 Macrophage",4
"12","Macula Densa",2
"13","Medullary Fibroblast",37
"14","Medullary Thick Ascending Limb",857
"15","Outer Medullary Collecting Duct Principal",1
"16","Proximal Tubule Epithelial Segment 2",1
"17","Proximal Tubule Epithelial Segment 3",1
