"cell_type","annotation_level","cell_type_ontology_term_id","sex","race","count","percentage","location","laterality","y_pos"
"Afferent / Efferent Arteriole Endothelial","kidney_l3","CL:1001096","Male","W","18","0.551471","upper pole","left","18.225"
"Ascending Thin Limb","kidney_l3","CL:1001107","Male","W","61","1.86887","upper pole","left",""
"Ascending Vasa Recta Endothelial","kidney_l3","CL:1001131","Male","W","304","9.31373","upper pole","left",""
"B","kidney_l3","CL:0000785","Male","W","1","0.0306373","upper pole","left",""
"Classical Dendritic","kidney_l3","CL:0000451","Male","W","1","0.0306373","upper pole","left",""
"Connecting Tubule","kidney_l3","CL:1000768","Male","W","7","0.214461","upper pole","left",""
"Connecting Tubule Principal","kidney_l3","CL:1001431","Male","W","10","0.306373","upper pole","left",""
"Cortical Collecting Duct Intercalated Type A","kidney_l3","CL:0005011","Male","W","7","0.214461","upper pole","left",""
"Cortical Collecting Duct Principal","kidney_l3","CL:1001431","Male","W","327","10.0184","upper pole","left",""
"Cortical Thick Ascending Limb","kidney_l3","","Male","W","109","3.33946","upper pole","left",""
"Cycling Mononuclear Phagocyte","kidney_l3","CL:0000113","Male","W","1","0.0306373","upper pole","left",""
"Descending Thin Limb Type 1","kidney_l3","CL:1001111","Male","W","169","5.1777","upper pole","left",""
"Descending Thin Limb Type 2","kidney_l3","CL:1001111","Male","W","129","3.95221","upper pole","left",""
"Descending Thin Limb Type 3","kidney_l3","CL:1001111","Male","W","119","3.64583","upper pole","left",""
"Descending Vasa Recta Endothelial","kidney_l3","CL:1001285","Male","W","232","7.10784","upper pole","left",""
"Fibroblast","kidney_l3","CL:0000057","Male","W","23","0.704657","upper pole","left",""
"Glomerular Capillary Endothelial","kidney_l3","CL:1001005","Male","W","1","0.0306373","upper pole","left",""
"Inner Medullary Collecting Duct","kidney_l3","CL:1000547","Male","W","25","0.765931","upper pole","left",""
"Macula Densa","kidney_l3","CL:1000850","Male","W","11","0.33701","upper pole","left",""
"Mast","kidney_l3","CL:0000097","Male","W","2","0.0612745","upper pole","left",""
"Medullary Fibroblast","kidney_l3","CL:0000057","Male","W","294","9.00735","upper pole","left",""
"Medullary Thick Ascending Limb","kidney_l3","CL:1001108","Male","W","684","20.9559","upper pole","left",""
"Monocyte","kidney_l3","","Male","W","2","0.0612745","upper pole","left",""
"Monocyte-derived","kidney_l3","CL:0000576","Male","W","14","0.428922","upper pole","left",""
"Natural Killer / Natural Killer T","kidney_l3","","Male","W","1","0.0306373","upper pole","left",""
"Neutrophil","kidney_l3","CL:0000775","Male","W","2","0.0612745","upper pole","left",""
"Outer Medullary Collecting Duct Intercalated Type A","kidney_l3","CL:1000717","Male","W","383","11.7341","upper pole","left",""
"Outer Medullary Collecting Duct Principal","kidney_l3","CL:1000716","Male","W","73","2.23652","upper pole","left",""
"Peritubular Capilary Endothelial","kidney_l3","CL:1001033","Male","W","82","2.51225","upper pole","left",""
"Proximal Tubule Epithelial Segment 1","kidney_l3","CL:0002306","Male","W","1","0.0306373","upper pole","left",""
"Proximal Tubule Epithelial Segment 3","kidney_l3","CL:0002306","Male","W","9","0.275735","upper pole","left",""
"Schwann / Neural","kidney_l3","CL:0002573","Male","W","1","0.0306373","upper pole","left",""
"T","kidney_l3","CL:000084","Male","W","10","0.306373","upper pole","left",""
"Tissue-resident Macrophage","kidney_l3","","Male","W","58","1.77696","upper pole","left",""
"Vascular Smooth Muscle / Pericyte","kidney_l3","CL:0000359","Male","W","93","2.84926","upper pole","left",""
