"","cell_type","count"
"1","Afferent / Efferent Arteriole Endothelial",1
"2","Ascending Thin Limb",48
"3","Ascending Vasa Recta Endothelial",4
"4","Connecting Tubule",1807
"5","Connecting Tubule Principal",3
"6","Cortical Collecting Duct Intercalated Type A",12
"7","Cortical Collecting Duct Principal",570
"8","Cortical Thick Ascending Limb",14
"9","Cortical Vascular Smooth Muscle / Pericyte",1
"10","Descending Thin Limb Type 1",337
"11","Descending Thin Limb Type 2",10
"12","Descending Thin Limb Type 3",23
"13","Descending Vasa Recta Endothelial ",10
"14","Distal Convoluted Tubule Type 1",4
"15","Fibroblast",45
"16","Inner Medullary Collecting Duct",953
"17","Intercalated Type B",4
"18","M2 Macrophage",2
"19","Macula Densa",5
"20","Medullary Fibroblast",307
"21","Medullary Thick Ascending Limb",5523
"22","Mesangial",2
"23","Neutrophil",1
"24","Outer Medullary Collecting Duct Intercalated Type A",9
"25","Outer Medullary Collecting Duct Principal",4
"26","Papillary Tip Epithelial",60
"27","Parietal Epithelial",17
"28","Peritubular Capilary Endothelial ",1
"29","Proximal Tubule Epithelial Segment 3",10
"30","Renin-positive Juxtaglomerular Granular",1
"31","Vascular Smooth Muscle / Pericyte",13
