"cell_type","annotation_level","cell_type_ontology_term_id","sex","race","count","percentage","location","laterality","y_pos"
"Afferent / Efferent Arteriole Endothelial","kidney_l3","CL:1001096","Female","W","70","1.25651","lower pole","left","20.425"
"Ascending Thin Limb","kidney_l3","CL:1001107","Female","W","541","9.711","lower pole","left",""
"Ascending Vasa Recta Endothelial","kidney_l3","CL:1001131","Female","W","489","8.7776","lower pole","left",""
"B","kidney_l3","CL:0000785","Female","W","2","0.0359002","lower pole","left",""
"Connecting Tubule","kidney_l3","CL:1000768","Female","W","1","0.0179501","lower pole","left",""
"Connecting Tubule Principal","kidney_l3","CL:1001431","Female","W","5","0.0897505","lower pole","left",""
"Cortical Collecting Duct Intercalated Type A","kidney_l3","CL:0005011","Female","W","2","0.0359002","lower pole","left",""
"Cortical Collecting Duct Principal","kidney_l3","CL:1001431","Female","W","5","0.0897505","lower pole","left",""
"Cortical Thick Ascending Limb","kidney_l3","","Female","W","3","0.0538503","lower pole","left",""
"Cortical Vascular Smooth Muscle / Pericyte","kidney_l3","CL:0000359","Female","W","1","0.0179501","lower pole","left",""
"Cycling Mononuclear Phagocyte","kidney_l3","CL:0000113","Female","W","8","0.143601","lower pole","left",""
"Descending Thin Limb Type 1","kidney_l3","CL:1001111","Female","W","30","0.538503","lower pole","left",""
"Descending Thin Limb Type 2","kidney_l3","CL:1001111","Female","W","26","0.466703","lower pole","left",""
"Descending Thin Limb Type 3","kidney_l3","CL:1001111","Female","W","341","6.12098","lower pole","left",""
"Descending Vasa Recta Endothelial","kidney_l3","CL:1001285","Female","W","442","7.93394","lower pole","left",""
"Fibroblast","kidney_l3","CL:0000057","Female","W","4","0.0718004","lower pole","left",""
"Glomerular Capillary Endothelial","kidney_l3","CL:1001005","Female","W","2","0.0359002","lower pole","left",""
"Inner Medullary Collecting Duct","kidney_l3","CL:1000547","Female","W","1167","20.9478","lower pole","left",""
"Lymphatic Endothelial","kidney_l3","CL:0002138","Female","W","1","0.0179501","lower pole","left",""
"Mast","kidney_l3","CL:0000097","Female","W","7","0.125651","lower pole","left",""
"Medullary Fibroblast","kidney_l3","CL:0000057","Female","W","1289","23.1377","lower pole","left",""
"Medullary Thick Ascending Limb","kidney_l3","CL:1001108","Female","W","348","6.24663","lower pole","left",""
"Monocyte","kidney_l3","","Female","W","4","0.0718004","lower pole","left",""
"Monocyte-derived","kidney_l3","CL:0000576","Female","W","34","0.610303","lower pole","left",""
"Natural Killer / Natural Killer T","kidney_l3","","Female","W","6","0.107701","lower pole","left",""
"Neutrophil","kidney_l3","CL:0000775","Female","W","2","0.0359002","lower pole","left",""
"Outer Medullary Collecting Duct Intercalated Type A","kidney_l3","CL:1000717","Female","W","114","2.04631","lower pole","left",""
"Outer Medullary Collecting Duct Principal","kidney_l3","CL:1000716","Female","W","55","0.987255","lower pole","left",""
"Papillary Tip Epithelial","kidney_l3","CL:1000597","Female","W","219","3.93107","lower pole","left",""
"Parietal Epithelial","kidney_l3","CL:1000452","Female","W","1","0.0179501","lower pole","left",""
"Peritubular Capilary Endothelial","kidney_l3","CL:1001033","Female","W","19","0.341052","lower pole","left",""
"Plasma","kidney_l3","CL:0000786","Female","W","7","0.125651","lower pole","left",""
"Proximal Tubule Epithelial Segment 1","kidney_l3","CL:0002306","Female","W","2","0.0359002","lower pole","left",""
"Proximal Tubule Epithelial Segment 3","kidney_l3","CL:0002306","Female","W","2","0.0359002","lower pole","left",""
"T","kidney_l3","CL:000084","Female","W","42","0.753904","lower pole","left",""
"Tissue-resident Macrophage","kidney_l3","","Female","W","111","1.99246","lower pole","left",""
"Vascular Smooth Muscle / Pericyte","kidney_l3","CL:0000359","Female","W","169","3.03357","lower pole","left",""
