"","cell_type","count"
"1","Afferent / Efferent Arteriole Endothelial",36
"2","Ascending Thin Limb",772
"3","Ascending Vasa Recta Endothelial",327
"4","B",373
"5","Classical Dendritic",155
"6","Connecting Tubule",3698
"7","Connecting Tubule Principal",237
"8","Cortical Collecting Duct Intercalated Type A",203
"9","Cortical Collecting Duct Principal",11768
"10","Cortical Thick Ascending Limb",5578
"11","Cortical Vascular Smooth Muscle / Pericyte",1
"12","Cycling Mononuclear Phagocyte",2
"13","Descending Thin Limb Type 1",6898
"14","Descending Thin Limb Type 2",26212
"15","Descending Thin Limb Type 3",122
"16","Descending Vasa Recta Endothelial ",183
"17","Distal Convoluted Tubule Type 1",18959
"18","Distal Convoluted Tubule Type 2",1
"19","Fibroblast",735
"20","Glomerular Capillary Endothelial",426
"21","Inner Medullary Collecting Duct",13808
"22","Intercalated Type B",191
"23","Lymphatic Endothelial",335
"24","M2 Macrophage",124
"25","Macula Densa",93
"26","Mast",19
"27","Medullary Fibroblast",295
"28","Medullary Thick Ascending Limb",4516
"29","Mesangial",783
"30","Monocyte-derived",128
"31","Natural Killer T",1
"32","Outer Medullary Collecting Duct Intercalated Type A",213
"33","Outer Medullary Collecting Duct Principal",245
"34","Parietal Epithelial",618
"35","Peritubular Capilary Endothelial ",818
"36","Podocyte",41
"37","Proximal Tubule Epithelial Segment 1",106
"38","Proximal Tubule Epithelial Segment 2",1
"39","Proximal Tubule Epithelial Segment 3",140
"40","T",975
"41","Vascular Smooth Muscle / Pericyte",155
