"","cell_type","count"
"1","Ascending Thin Limb",7
"2","Ascending Vasa Recta Endothelial",8
"3","Connecting Tubule",1345
"4","Connecting Tubule Intercalated Type A",1
"5","Connecting Tubule Principal",9
"6","Cortical Collecting Duct Intercalated Type A",30
"7","Cortical Collecting Duct Principal",199
"8","Cortical Thick Ascending Limb",218
"9","Cortical Vascular Smooth Muscle / Pericyte",5
"10","Descending Thin Limb Type 1",2201
"11","Descending Thin Limb Type 2",4
"12","Descending Thin Limb Type 3",5
"13","Descending Vasa Recta Endothelial ",10
"14","Distal Convoluted Tubule Type 1",10
"15","Fibroblast",58
"16","Glomerular Capillary Endothelial",2
"17","Inner Medullary Collecting Duct",2073
"18","Intercalated Type B",2
"19","Lymphatic Endothelial",1
"20","M2 Macrophage",3
"21","Macula Densa",66
"22","Medullary Fibroblast",54
"23","Medullary Thick Ascending Limb",141
"24","Neutrophil",1
"25","Outer Medullary Collecting Duct Intercalated Type A",17
"26","Outer Medullary Collecting Duct Principal",9
"27","Parietal Epithelial",2
"28","Peritubular Capilary Endothelial ",5
"29","Proximal Tubule Epithelial Segment 3",1
"30","Vascular Smooth Muscle / Pericyte",6
