"","cell_type","count"
"1","Ascending Thin Limb",176
"2","Ascending Vasa Recta Endothelial",298
"3","B",1
"4","Connecting Tubule",1659
"5","Cortical Collecting Duct Principal",613
"6","Descending Thin Limb Type 1",1393
"7","Descending Thin Limb Type 2",1
"8","Descending Thin Limb Type 3",39
"9","Descending Vasa Recta Endothelial ",21
"10","Distal Convoluted Tubule Type 1",10
"11","Fibroblast",2
"12","Inner Medullary Collecting Duct",2970
"13","Lymphatic Endothelial",1
"14","M2 Macrophage",7
"15","Medullary Fibroblast",313
"16","Medullary Thick Ascending Limb",2
"17","Papillary Tip Epithelial",601
"18","Vascular Smooth Muscle / Pericyte",4
