"","cell_type","count"
"1","Afferent / Efferent Arteriole Endothelial",1
"2","Ascending Thin Limb",2
"3","Ascending Vasa Recta Endothelial",1
"4","Connecting Tubule",3425
"5","Connecting Tubule Principal",4
"6","Cortical Collecting Duct Intercalated Type A",1
"7","Cortical Collecting Duct Principal",113
"8","Cortical Vascular Smooth Muscle / Pericyte",62
"9","Descending Thin Limb Type 1",1193
"10","Descending Thin Limb Type 2",1
"11","Descending Thin Limb Type 3",2
"12","Descending Vasa Recta Endothelial ",17
"13","Fibroblast",953
"14","Inner Medullary Collecting Duct",12862
"15","Intercalated Type B",1
"16","Lymphatic Endothelial",2
"17","M2 Macrophage",119
"18","Macula Densa",1
"19","Medullary Fibroblast",1051
"20","Mesangial",1
"21","Non-classical monocyte",4
"22","Outer Medullary Collecting Duct Principal",134
"23","Papillary Tip Epithelial",967
"24","Parietal Epithelial",12
"25","Peritubular Capilary Endothelial ",6
"26","Podocyte",3
"27","Proximal Tubule Epithelial Segment 1",1
"28","Schwann / Neural",4
"29","Vascular Smooth Muscle / Pericyte",54
