"","cell_type","count"
"1","Afferent / Efferent Arteriole Endothelial",3
"2","Ascending Thin Limb",37
"3","Ascending Vasa Recta Endothelial",11
"4","B",2
"5","Classical Dendritic",1
"6","Connecting Tubule",2028
"7","Connecting Tubule Principal",19
"8","Cortical Collecting Duct Intercalated Type A",11
"9","Cortical Collecting Duct Principal",93
"10","Cortical Thick Ascending Limb",223
"11","Cortical Vascular Smooth Muscle / Pericyte",60
"12","Descending Thin Limb Type 1",2722
"13","Descending Thin Limb Type 2",419
"14","Descending Thin Limb Type 3",370
"15","Descending Vasa Recta Endothelial ",1
"16","Distal Convoluted Tubule Type 1",892
"17","Fibroblast",2082
"18","Glomerular Capillary Endothelial",15
"19","Inner Medullary Collecting Duct",1919
"20","Lymphatic Endothelial",2
"21","M2 Macrophage",31
"22","Macula Densa",243
"23","Medullary Fibroblast",151
"24","Medullary Thick Ascending Limb",380
"25","Mesangial",8
"26","Outer Medullary Collecting Duct Intercalated Type A",12
"27","Outer Medullary Collecting Duct Principal",12
"28","Papillary Tip Epithelial",18
"29","Parietal Epithelial",12
"30","Peritubular Capilary Endothelial ",2
"31","Plasma",1
"32","Podocyte",73
"33","Proximal Tubule Epithelial Segment 1",33
"34","Proximal Tubule Epithelial Segment 2",1
"35","Proximal Tubule Epithelial Segment 3",76
"36","Renin-positive Juxtaglomerular Granular",2
"37","Vascular Smooth Muscle / Pericyte",35
