"","cell_type","count"
"1","Ascending Thin Limb",67
"2","Connecting Tubule",64
"3","Connecting Tubule Intercalated Type A",1
"4","Connecting Tubule Principal",2
"5","Cortical Collecting Duct Intercalated Type A",21
"6","Cortical Collecting Duct Principal",49
"7","Cortical Thick Ascending Limb",112
"8","Descending Thin Limb Type 1",40
"9","Descending Thin Limb Type 2",148
"10","Descending Thin Limb Type 3",17
"11","Distal Convoluted Tubule Type 1",255
"12","Distal Convoluted Tubule Type 2",1
"13","Fibroblast",43
"14","Glomerular Capillary Endothelial",3
"15","Inner Medullary Collecting Duct",1540
"16","Intercalated Type B",2
"17","Macula Densa",32
"18","Medullary Fibroblast",11
"19","Medullary Thick Ascending Limb",1320
"20","Mesangial",1
"21","Non-classical monocyte",1
"22","Outer Medullary Collecting Duct Intercalated Type A",3
"23","Outer Medullary Collecting Duct Principal",5
"24","Parietal Epithelial",2
"25","Peritubular Capilary Endothelial ",7
"26","Podocyte",23
"27","Proximal Tubule Epithelial Segment 1",637
"28","Proximal Tubule Epithelial Segment 2",5
"29","Proximal Tubule Epithelial Segment 3",579
"30","Renin-positive Juxtaglomerular Granular",1
"31","Schwann / Neural",4
"32","Vascular Smooth Muscle / Pericyte",4
