"","cell_type","count"
"1","Afferent / Efferent Arteriole Endothelial",27
"2","Ascending Thin Limb",4
"3","B",2
"4","Connecting Tubule",1644
"5","Connecting Tubule Principal",76
"6","Cortical Collecting Duct Intercalated Type A",15
"7","Cortical Collecting Duct Principal",5
"8","Cortical Vascular Smooth Muscle / Pericyte",118
"9","Descending Thin Limb Type 1",453
"10","Descending Thin Limb Type 2",1
"11","Descending Vasa Recta Endothelial ",3
"12","Distal Convoluted Tubule Type 1",1
"13","Fibroblast",608
"14","Inner Medullary Collecting Duct",3337
"15","Intercalated Type B",6
"16","Lymphatic Endothelial",14
"17","M2 Macrophage",264
"18","Macula Densa",1
"19","Medullary Fibroblast",311
"20","Mesangial",3
"21","Monocyte-derived",6
"22","Neutrophil",1
"23","Non-classical monocyte",6
"24","Outer Medullary Collecting Duct Intercalated Type A",11
"25","Papillary Tip Epithelial",68
"26","Peritubular Capilary Endothelial ",4
"27","Plasma",1
"28","Schwann / Neural",1
"29","T",3
"30","Vascular Smooth Muscle / Pericyte",5
