"","cell_type","count"
"1","Ascending Thin Limb",53
"2","Ascending Vasa Recta Endothelial",5
"3","Connecting Tubule",1158
"4","Cortical Collecting Duct Principal",92
"5","Descending Thin Limb Type 1",4974
"6","Descending Thin Limb Type 2",10
"7","Descending Thin Limb Type 3",43
"8","Distal Convoluted Tubule Type 1",2
"9","Fibroblast",10
"10","Glomerular Capillary Endothelial",1
"11","Inner Medullary Collecting Duct",4233
"12","Medullary Fibroblast",377
"13","Medullary Thick Ascending Limb",12
"14","Papillary Tip Epithelial",2
"15","Parietal Epithelial",21
"16","Vascular Smooth Muscle / Pericyte",3
