"cell_type","annotation_level","cell_type_ontology_term_id","sex","race","count","percentage","location","laterality","y_pos"
"Afferent / Efferent Arteriole Endothelial","kidney_l3","CL:1001096","Male","W","6","0.166945","lower pole","right","32.906"
"B","kidney_l3","CL:0000785","Male","W","3","0.0834725","lower pole","right",""
"Connecting Tubule","kidney_l3","CL:1000768","Male","W","198","5.50918","lower pole","right",""
"Connecting Tubule Intercalated Type A","kidney_l3","CL:0005011","Male","W","4","0.111297","lower pole","right",""
"Connecting Tubule Principal","kidney_l3","CL:1001431","Male","W","123","3.42237","lower pole","right",""
"Cortical Collecting Duct Intercalated Type A","kidney_l3","CL:0005011","Male","W","228","6.34391","lower pole","right",""
"Cortical Collecting Duct Principal","kidney_l3","CL:1001431","Male","W","96","2.67112","lower pole","right",""
"Cortical Thick Ascending Limb","kidney_l3","","Male","W","371","10.3228","lower pole","right",""
"Cortical Vascular Smooth Muscle / Pericyte","kidney_l3","CL:0000359","Male","W","6","0.166945","lower pole","right",""
"Descending Vasa Recta Endothelial","kidney_l3","CL:1001285","Male","W","2","0.0556483","lower pole","right",""
"Distal Convoluted Tubule Type 1","kidney_l3","CL:1000849","Male","W","696","19.3656","lower pole","right",""
"Distal Convoluted Tubule Type 2","kidney_l3","CL:1000849","Male","W","52","1.44686","lower pole","right",""
"Fibroblast","kidney_l3","CL:0000057","Male","W","49","1.36338","lower pole","right",""
"Glomerular Capillary Endothelial","kidney_l3","CL:1001005","Male","W","62","1.7251","lower pole","right",""
"Intercalated Type B","kidney_l3","CL:0002201","Male","W","111","3.08848","lower pole","right",""
"Lymphatic Endothelial","kidney_l3","CL:0002138","Male","W","1","0.0278242","lower pole","right",""
"Macula Densa","kidney_l3","CL:1000850","Male","W","21","0.584307","lower pole","right",""
"Mast","kidney_l3","CL:0000097","Male","W","1","0.0278242","lower pole","right",""
"Medullary Thick Ascending Limb","kidney_l3","CL:1001108","Male","W","3","0.0834725","lower pole","right",""
"Mesangial","kidney_l3","CL:0000650","Male","W","7","0.194769","lower pole","right",""
"Monocyte","kidney_l3","","Male","W","2","0.0556483","lower pole","right",""
"Monocyte-derived","kidney_l3","CL:0000576","Male","W","26","0.723428","lower pole","right",""
"Natural Killer / Natural Killer T","kidney_l3","","Male","W","12","0.33389","lower pole","right",""
"Neutrophil","kidney_l3","CL:0000775","Male","W","2","0.0556483","lower pole","right",""
"Outer Medullary Collecting Duct Intercalated Type A","kidney_l3","CL:1000717","Male","W","2","0.0556483","lower pole","right",""
"Parietal Epithelial","kidney_l3","CL:1000452","Male","W","95","2.64329","lower pole","right",""
"Peritubular Capilary Endothelial","kidney_l3","CL:1001033","Male","W","126","3.50584","lower pole","right",""
"Plasma","kidney_l3","CL:0000786","Male","W","3","0.0834725","lower pole","right",""
"Plasmacytoid Dendritic","kidney_l3","CL:0000784","Male","W","1","0.0278242","lower pole","right",""
"Podocyte","kidney_l3","CL:0000653","Male","W","88","2.44853","lower pole","right",""
"Proximal Tubule Epithelial Segment 1","kidney_l3","CL:0002306","Male","W","653","18.1692","lower pole","right",""
"Proximal Tubule Epithelial Segment 2","kidney_l3","CL:0002306","Male","W","195","5.42571","lower pole","right",""
"Proximal Tubule Epithelial Segment 3","kidney_l3","CL:0002306","Male","W","265","7.3734","lower pole","right",""
"Renin-positive Juxtaglomerular Granular","kidney_l3","CL:0000648","Male","W","3","0.0834725","lower pole","right",""
"Schwann / Neural","kidney_l3","CL:0002573","Male","W","1","0.0278242","lower pole","right",""
"T","kidney_l3","CL:000084","Male","W","34","0.946021","lower pole","right",""
"Tissue-resident Macrophage","kidney_l3","","Male","W","39","1.08514","lower pole","right",""
"Vascular Smooth Muscle / Pericyte","kidney_l3","CL:0000359","Male","W","7","0.194769","lower pole","right",""
