"cell_type","annotation_level","cell_type_ontology_term_id","sex","race","count","percentage","location","laterality","y_pos"
"Afferent / Efferent Arteriole Endothelial","kidney_l3","CL:1001096","Male","W","16","0.742804","upper pole","left","120.171"
"B","kidney_l3","CL:0000785","Male","W","11","0.510678","upper pole","left",""
"Classical Dendritic","kidney_l3","CL:0000451","Male","W","4","0.185701","upper pole","left",""
"Connecting Tubule","kidney_l3","CL:1000768","Male","W","208","9.65645","upper pole","left",""
"Connecting Tubule Intercalated Type A","kidney_l3","CL:0005011","Male","W","4","0.185701","upper pole","left",""
"Connecting Tubule Principal","kidney_l3","CL:1001431","Male","W","65","3.01764","upper pole","left",""
"Cortical Collecting Duct Intercalated Type A","kidney_l3","CL:0005011","Male","W","213","9.88858","upper pole","left",""
"Cortical Collecting Duct Principal","kidney_l3","CL:1001431","Male","W","81","3.76045","upper pole","left",""
"Cortical Thick Ascending Limb","kidney_l3","","Male","W","88","4.08542","upper pole","left",""
"Cortical Vascular Smooth Muscle / Pericyte","kidney_l3","CL:0000359","Male","W","26","1.20706","upper pole","left",""
"Descending Thin Limb Type 1","kidney_l3","CL:1001111","Male","W","2","0.0928505","upper pole","left",""
"Descending Thin Limb Type 2","kidney_l3","CL:1001111","Male","W","1","0.0464253","upper pole","left",""
"Descending Vasa Recta Endothelial","kidney_l3","CL:1001285","Male","W","14","0.649954","upper pole","left",""
"Distal Convoluted Tubule Type 1","kidney_l3","CL:1000849","Male","W","252","11.6992","upper pole","left",""
"Distal Convoluted Tubule Type 2","kidney_l3","CL:1000849","Male","W","22","1.02136","upper pole","left",""
"Fibroblast","kidney_l3","CL:0000057","Male","W","67","3.11049","upper pole","left",""
"Glomerular Capillary Endothelial","kidney_l3","CL:1001005","Male","W","39","1.81058","upper pole","left",""
"Intercalated Type B","kidney_l3","CL:0002201","Male","W","26","1.20706","upper pole","left",""
"Lymphatic Endothelial","kidney_l3","CL:0002138","Male","W","4","0.185701","upper pole","left",""
"Macula Densa","kidney_l3","CL:1000850","Male","W","112","5.19963","upper pole","left",""
"Mast","kidney_l3","CL:0000097","Male","W","4","0.185701","upper pole","left",""
"Medullary Thick Ascending Limb","kidney_l3","CL:1001108","Male","W","1","0.0464253","upper pole","left",""
"Mesangial","kidney_l3","CL:0000650","Male","W","7","0.324977","upper pole","left",""
"Monocyte","kidney_l3","","Male","W","10","0.464253","upper pole","left",""
"Monocyte-derived","kidney_l3","CL:0000576","Male","W","27","1.25348","upper pole","left",""
"Natural Killer / Natural Killer T","kidney_l3","","Male","W","1","0.0464253","upper pole","left",""
"Neutrophil","kidney_l3","CL:0000775","Male","W","4","0.185701","upper pole","left",""
"Parietal Epithelial","kidney_l3","CL:1000452","Male","W","24","1.11421","upper pole","left",""
"Peritubular Capilary Endothelial","kidney_l3","CL:1001033","Male","W","116","5.38533","upper pole","left",""
"Plasma","kidney_l3","CL:0000786","Male","W","3","0.139276","upper pole","left",""
"Podocyte","kidney_l3","CL:0000653","Male","W","58","2.69266","upper pole","left",""
"Proximal Tubule Epithelial Segment 1","kidney_l3","CL:0002306","Male","W","264","12.2563","upper pole","left",""
"Proximal Tubule Epithelial Segment 2","kidney_l3","CL:0002306","Male","W","251","11.6527","upper pole","left",""
"Proximal Tubule Epithelial Segment 3","kidney_l3","CL:0002306","Male","W","64","2.97122","upper pole","left",""
"Schwann / Neural","kidney_l3","CL:0002573","Male","W","4","0.185701","upper pole","left",""
"T","kidney_l3","CL:000084","Male","W","35","1.62488","upper pole","left",""
"Tissue-resident Macrophage","kidney_l3","","Male","W","19","0.88208","upper pole","left",""
"Vascular Smooth Muscle / Pericyte","kidney_l3","CL:0000359","Male","W","7","0.324977","upper pole","left",""
