"","cell_type","count"
"1","Afferent / Efferent Arteriole Endothelial",1
"2","Ascending Thin Limb",38
"3","Ascending Vasa Recta Endothelial",6
"4","Connecting Tubule",214
"5","Connecting Tubule Principal",1
"6","Cortical Collecting Duct Intercalated Type A",55
"7","Cortical Collecting Duct Principal",72
"8","Cortical Thick Ascending Limb",266
"9","Cortical Vascular Smooth Muscle / Pericyte",1
"10","Descending Thin Limb Type 1",189
"11","Descending Thin Limb Type 2",131
"12","Descending Thin Limb Type 3",37
"13","Descending Vasa Recta Endothelial ",7
"14","Distal Convoluted Tubule Type 1",595
"15","Fibroblast",44
"16","Glomerular Capillary Endothelial",21
"17","Inner Medullary Collecting Duct",1548
"18","Intercalated Type B",15
"19","M2 Macrophage",3
"20","Macula Densa",16
"21","Medullary Fibroblast",11
"22","Medullary Thick Ascending Limb",782
"23","Mesangial",2
"24","Outer Medullary Collecting Duct Intercalated Type A",4
"25","Outer Medullary Collecting Duct Principal",9
"26","Parietal Epithelial",4
"27","Peritubular Capilary Endothelial ",35
"28","Podocyte",19
"29","Proximal Tubule Epithelial Segment 1",449
"30","Proximal Tubule Epithelial Segment 2",5
"31","Proximal Tubule Epithelial Segment 3",387
"32","T",1
"33","Vascular Smooth Muscle / Pericyte",6
