"","cell_type","count"
"1","Afferent / Efferent Arteriole Endothelial",178
"2","Ascending Thin Limb",3829
"3","Ascending Vasa Recta Endothelial",205
"4","B",318
"5","Classical Dendritic",98
"6","Connecting Tubule",16629
"7","Connecting Tubule Principal",21
"8","Cortical Collecting Duct Intercalated Type A",6926
"9","Cortical Collecting Duct Principal",1811
"10","Cortical Thick Ascending Limb",4043
"11","Cortical Vascular Smooth Muscle / Pericyte",10
"12","Descending Thin Limb Type 1",13850
"13","Descending Thin Limb Type 2",9948
"14","Descending Thin Limb Type 3",280
"15","Descending Vasa Recta Endothelial ",232
"16","Distal Convoluted Tubule Type 1",3173
"17","Distal Convoluted Tubule Type 2",4
"18","Fibroblast",1208
"19","Glomerular Capillary Endothelial",123
"20","Inner Medullary Collecting Duct",18451
"21","Intercalated Type B",784
"22","Lymphatic Endothelial",20
"23","M2 Macrophage",173
"24","Macula Densa",423
"25","Mast",153
"26","Medullary Fibroblast",885
"27","Medullary Thick Ascending Limb",8276
"28","Mesangial",348
"29","Monocyte-derived",2
"30","Non-classical monocyte",23
"31","Outer Medullary Collecting Duct Intercalated Type A",844
"32","Outer Medullary Collecting Duct Principal",1560
"33","Parietal Epithelial",1934
"34","Peritubular Capilary Endothelial ",1158
"35","Podocyte",247
"36","Proximal Tubule Epithelial Segment 1",1020
"37","Proximal Tubule Epithelial Segment 2",62
"38","Proximal Tubule Epithelial Segment 3",968
"39","T",222
"40","Vascular Smooth Muscle / Pericyte",549
