"","cell_type","count"
"1","Afferent / Efferent Arteriole Endothelial",1
"2","Ascending Thin Limb",15
"3","B",9
"4","Connecting Tubule",1295
"5","Cortical Collecting Duct Intercalated Type A",167
"6","Cortical Collecting Duct Principal",24
"7","Cortical Thick Ascending Limb",1168
"8","Cortical Vascular Smooth Muscle / Pericyte",1
"9","Descending Thin Limb Type 1",804
"10","Descending Thin Limb Type 2",599
"11","Descending Thin Limb Type 3",2
"12","Descending Vasa Recta Endothelial ",2
"13","Distal Convoluted Tubule Type 1",279
"14","Distal Convoluted Tubule Type 2",4
"15","Fibroblast",43
"16","Glomerular Capillary Endothelial",11
"17","Inner Medullary Collecting Duct",1813
"18","Intercalated Type B",57
"19","Lymphatic Endothelial",6
"20","M2 Macrophage",56
"21","Macula Densa",285
"22","Medullary Fibroblast",3
"23","Medullary Thick Ascending Limb",219
"24","Monocyte-derived",25
"25","Outer Medullary Collecting Duct Principal",22
"26","Parietal Epithelial",8
"27","Peritubular Capilary Endothelial ",39
"28","Plasma",20
"29","Podocyte",57
"30","Proximal Tubule Epithelial Segment 1",189
"31","Proximal Tubule Epithelial Segment 3",135
"32","T",159
"33","Vascular Smooth Muscle / Pericyte",3
