"","cell_type","count"
"1","Afferent / Efferent Arteriole Endothelial",2
"2","Ascending Thin Limb",1
"3","Ascending Vasa Recta Endothelial",5
"4","Classical Dendritic",8
"5","Connecting Tubule",460
"6","Connecting Tubule Principal",2
"7","Cortical Collecting Duct Intercalated Type A",230
"8","Cortical Collecting Duct Principal",515
"9","Cortical Vascular Smooth Muscle / Pericyte",89
"10","Descending Thin Limb Type 1",1445
"11","Descending Thin Limb Type 2",30
"12","Descending Thin Limb Type 3",22
"13","Descending Vasa Recta Endothelial ",102
"14","Fibroblast",1228
"15","Inner Medullary Collecting Duct",11199
"16","Intercalated Type B",62
"17","Lymphatic Endothelial",1
"18","M2 Macrophage",33
"19","Mast",1
"20","Medullary Fibroblast",1251
"21","Non-classical monocyte",3
"22","Papillary Tip Epithelial",2281
"23","Parietal Epithelial",82
"24","Peritubular Capilary Endothelial ",183
"25","Renin-positive Juxtaglomerular Granular",1
"26","T",1
"27","Vascular Smooth Muscle / Pericyte",6
