"","cell_type","count"
"1","Ascending Thin Limb",6
"2","Ascending Vasa Recta Endothelial",4
"3","Connecting Tubule",502
"4","Connecting Tubule Principal",2
"5","Cortical Collecting Duct Principal",76
"6","Cortical Vascular Smooth Muscle / Pericyte",1
"7","Descending Thin Limb Type 1",709
"8","Descending Thin Limb Type 2",2
"9","Descending Thin Limb Type 3",1
"10","Descending Vasa Recta Endothelial ",1
"11","Distal Convoluted Tubule Type 1",4
"12","Fibroblast",3
"13","Inner Medullary Collecting Duct",1290
"14","M2 Macrophage",3
"15","Macula Densa",2
"16","Medullary Fibroblast",37
"17","Monocyte-derived",1
"18","Papillary Tip Epithelial",57
"19","Parietal Epithelial",1
"20","Peritubular Capilary Endothelial ",12
"21","Vascular Smooth Muscle / Pericyte",2
