"","cell_type","count"
"1","Afferent / Efferent Arteriole Endothelial",3
"2","Ascending Thin Limb",1
"3","Ascending Vasa Recta Endothelial",1
"4","Connecting Tubule",248
"5","Cortical Collecting Duct Intercalated Type A",7
"6","Cortical Collecting Duct Principal",35
"7","Cortical Vascular Smooth Muscle / Pericyte",162
"8","Descending Thin Limb Type 1",727
"9","Descending Thin Limb Type 2",9
"10","Descending Thin Limb Type 3",8
"11","Descending Vasa Recta Endothelial ",9
"12","Distal Convoluted Tubule Type 1",10
"13","Fibroblast",204
"14","Glomerular Capillary Endothelial",1
"15","Inner Medullary Collecting Duct",2183
"16","Lymphatic Endothelial",3
"17","M2 Macrophage",21
"18","Macula Densa",2
"19","Medullary Fibroblast",101
"20","Medullary Thick Ascending Limb",4
"21","Mesangial",8
"22","Papillary Tip Epithelial",9
"23","Parietal Epithelial",10
"24","Peritubular Capilary Endothelial ",32
"25","Plasma",1
"26","Podocyte",3
"27","Proximal Tubule Epithelial Segment 1",1
"28","Proximal Tubule Epithelial Segment 3",3
"29","Renin-positive Juxtaglomerular Granular",1
"30","T",3
"31","Vascular Smooth Muscle / Pericyte",190
