"","cell_type","count"
"1","Afferent / Efferent Arteriole Endothelial",1
"2","Ascending Thin Limb",2
"3","Ascending Vasa Recta Endothelial",1
"4","Connecting Tubule",749
"5","Connecting Tubule Principal",28
"6","Cortical Collecting Duct Intercalated Type A",175
"7","Cortical Collecting Duct Principal",96
"8","Cortical Thick Ascending Limb",15
"9","Descending Thin Limb Type 1",1
"10","Descending Thin Limb Type 2",86
"11","Distal Convoluted Tubule Type 1",641
"12","Distal Convoluted Tubule Type 2",6
"13","Fibroblast",2
"14","Glomerular Capillary Endothelial",1
"15","Inner Medullary Collecting Duct",465
"16","Intercalated Type B",2
"17","M2 Macrophage",1
"18","Macula Densa",1
"19","Medullary Thick Ascending Limb",147
"20","Outer Medullary Collecting Duct Intercalated Type A",21
"21","Outer Medullary Collecting Duct Principal",2
"22","Parietal Epithelial",1
"23","Peritubular Capilary Endothelial ",27
"24","Podocyte",1
"25","Proximal Tubule Epithelial Segment 1",646
"26","Proximal Tubule Epithelial Segment 2",1
"27","Proximal Tubule Epithelial Segment 3",63
"28","T",1
