"cell_type","annotation_level","cell_type_ontology_term_id","sex","race","count","percentage","location","laterality","y_pos"
"Afferent / Efferent Arteriole Endothelial","kidney_l3","CL:1001096","Male","W","3","0.1868","lower pole","left","69.909"
"Ascending Vasa Recta Endothelial","kidney_l3","CL:1001131","Male","W","1","0.0622665","lower pole","left",""
"Connecting Tubule","kidney_l3","CL:1000768","Male","W","112","6.97385","lower pole","left",""
"Connecting Tubule Intercalated Type A","kidney_l3","CL:0005011","Male","W","2","0.124533","lower pole","left",""
"Connecting Tubule Principal","kidney_l3","CL:1001431","Male","W","93","5.79078","lower pole","left",""
"Cortical Collecting Duct Intercalated Type A","kidney_l3","CL:0005011","Male","W","138","8.59278","lower pole","left",""
"Cortical Collecting Duct Principal","kidney_l3","CL:1001431","Male","W","17","1.05853","lower pole","left",""
"Cortical Thick Ascending Limb","kidney_l3","","Male","W","36","2.24159","lower pole","left",""
"Cortical Vascular Smooth Muscle / Pericyte","kidney_l3","CL:0000359","Male","W","3","0.1868","lower pole","left",""
"Descending Vasa Recta Endothelial","kidney_l3","CL:1001285","Male","W","1","0.0622665","lower pole","left",""
"Distal Convoluted Tubule Type 1","kidney_l3","CL:1000849","Male","W","379","23.599","lower pole","left",""
"Distal Convoluted Tubule Type 2","kidney_l3","CL:1000849","Male","W","12","0.747198","lower pole","left",""
"Fibroblast","kidney_l3","CL:0000057","Male","W","6","0.373599","lower pole","left",""
"Glomerular Capillary Endothelial","kidney_l3","CL:1001005","Male","W","3","0.1868","lower pole","left",""
"Intercalated Type B","kidney_l3","CL:0002201","Male","W","19","1.18306","lower pole","left",""
"Macula Densa","kidney_l3","CL:1000850","Male","W","4","0.249066","lower pole","left",""
"Medullary Thick Ascending Limb","kidney_l3","CL:1001108","Male","W","1","0.0622665","lower pole","left",""
"Monocyte","kidney_l3","","Male","W","2","0.124533","lower pole","left",""
"Monocyte-derived","kidney_l3","CL:0000576","Male","W","2","0.124533","lower pole","left",""
"Natural Killer / Natural Killer T","kidney_l3","","Male","W","2","0.124533","lower pole","left",""
"Outer Medullary Collecting Duct Principal","kidney_l3","CL:1000716","Male","W","1","0.0622665","lower pole","left",""
"Parietal Epithelial","kidney_l3","CL:1000452","Male","W","30","1.868","lower pole","left",""
"Peritubular Capilary Endothelial","kidney_l3","CL:1001033","Male","W","63","3.92279","lower pole","left",""
"Podocyte","kidney_l3","CL:0000653","Male","W","6","0.373599","lower pole","left",""
"Proximal Tubule Epithelial Segment 1","kidney_l3","CL:0002306","Male","W","491","30.5729","lower pole","left",""
"Proximal Tubule Epithelial Segment 2","kidney_l3","CL:0002306","Male","W","146","9.09091","lower pole","left",""
"Proximal Tubule Epithelial Segment 3","kidney_l3","CL:0002306","Male","W","19","1.18306","lower pole","left",""
"T","kidney_l3","CL:000084","Male","W","5","0.311333","lower pole","left",""
"Tissue-resident Macrophage","kidney_l3","","Male","W","5","0.311333","lower pole","left",""
"Vascular Smooth Muscle / Pericyte","kidney_l3","CL:0000359","Male","W","4","0.249066","lower pole","left",""
