"","cell_type","count"
"1","Ascending Thin Limb",1399
"2","Ascending Vasa Recta Endothelial",24
"3","Connecting Tubule",936
"4","Cortical Collecting Duct Principal",2798
"5","Descending Thin Limb Type 1",2107
"6","Descending Thin Limb Type 2",3
"7","Descending Thin Limb Type 3",134
"8","Descending Vasa Recta Endothelial ",49
"9","Inner Medullary Collecting Duct",3258
"10","Lymphatic Endothelial",1
"11","Medullary Fibroblast",121
"12","Medullary Thick Ascending Limb",2
"13","Papillary Tip Epithelial",161
"14","Vascular Smooth Muscle / Pericyte",6
