"","cell_type","count"
"1","Afferent / Efferent Arteriole Endothelial",3
"2","Ascending Thin Limb",83
"3","Ascending Vasa Recta Endothelial",2
"4","B",1
"5","Connecting Tubule",1168
"6","Connecting Tubule Principal",1
"7","Cortical Collecting Duct Intercalated Type A",60
"8","Cortical Collecting Duct Principal",20
"9","Cortical Thick Ascending Limb",99
"10","Cortical Vascular Smooth Muscle / Pericyte",15
"11","Descending Thin Limb Type 1",47
"12","Descending Thin Limb Type 2",166
"13","Descending Thin Limb Type 3",1
"14","Descending Vasa Recta Endothelial ",2
"15","Distal Convoluted Tubule Type 1",377
"16","Fibroblast",7
"17","Glomerular Capillary Endothelial",12
"18","Inner Medullary Collecting Duct",1459
"19","Intercalated Type B",5
"20","Lymphatic Endothelial",6
"21","M2 Macrophage",36
"22","Macula Densa",15
"23","Medullary Fibroblast",2
"24","Medullary Thick Ascending Limb",408
"25","Mesangial",2
"26","Natural Killer T",9
"27","Non-classical monocyte",1
"28","Outer Medullary Collecting Duct Intercalated Type A",156
"29","Outer Medullary Collecting Duct Principal",2
"30","Papillary Tip Epithelial",1
"31","Parietal Epithelial",8
"32","Peritubular Capilary Endothelial ",166
"33","Podocyte",53
"34","Proximal Tubule Epithelial Segment 1",268
"35","Proximal Tubule Epithelial Segment 3",132
"36","T",17
"37","Vascular Smooth Muscle / Pericyte",14
